id,year_id,formation_place,accurate_back_zone_pass,accurate_fwd_zone_pass,accurate_layoffs,accurate_pass,accurate_pull_back,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,backward_pass,ball_recovery,blocked_pass,challenge_lost,crosses_18yard,crosses_18yardplus,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,final_third_entries,fouls,fwd_pass,goals_conceded,goals_conceded_ibox,hand_ball,head_clearance,head_pass,leftside_pass,long_pass_own_to_opp,losses,mins_played,open_play_pass,overrun,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_pull_back,total_sub_on,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,won_corners,won_tackle,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_launches,accurate_long_balls,att_assist_openplay,att_bx_centre,att_bx_right,att_cmiss_right,att_hd_miss,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_target,att_lf_total,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_obx_right,att_openplay,att_post_left,att_rf_target,att_rf_total,att_setpiece,att_sv_low_centre,att_sv_low_right,big_chance_missed,blocked_cross,blocked_scoring_att,corner_taken,dangerous_play,dispossessed,effective_blocked_cross,error_lead_to_shot,fouled_final_third,game_started,goals_conceded_obox,hit_woodwork,interception,interception_won,long_pass_own_to_opp_success,lost_corners,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,pen_goals_conceded,poss_won_att_3rd,post_scoring_att,shot_off_target,total_att_assist,total_corners_intobox,total_scoring_att,total_sub_off,wins,won_contest,clean_sheet,interceptions_in_box,second_goal_assist,yellow_card,att_cmiss_left,att_freekick_post,att_freekick_target,att_freekick_total,att_goal_high_centre,att_goal_low_left,att_hd_goal,att_hd_target,att_ibox_goal,att_lf_goal,att_miss_high,att_miss_high_left,att_obox_post,att_post_high,att_post_right,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_left,big_chance_created,big_chance_scored,goals,goals_openplay,last_man_tackle,shield_ball_oop,total_offside,accurate_corners_intobox,accurate_freekick_cross,accurate_through_ball,att_assist_setplay,att_bx_left,error_lead_to_goal,freekick_cross,goal_assist,goal_assist_deadball,goal_assist_intentional,goal_assist_openplay,goal_assist_setplay,six_yard_block,total_through_ball,own_goals,penalty_conceded,assist_penalty_won,att_fastbreak,att_goal_low_centre,att_goal_low_right,att_obox_goal,att_one_on_one,att_rf_goal,goal_fastbreak,penalty_won,shot_fastbreak,total_fastbreak,att_cmiss_high,touches_in_opp_box,accurate_goal_kicks,accurate_keeper_throws,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,saved_ibox,saves,total_high_claim,assist_attempt_saved,att_goal_high_right,att_hd_post,att_pen_goal,att_pen_miss,red_card,second_yellow,att_cmiss_high_left,att_freekick_goal,att_freekick_miss,att_goal_high_left,att_lg_centre,clearance_off_line,foul_throw_in,att_cmiss_high_right,assist_pass_lost,assist_own_goal,att_obxd_left,att_obx_left,diving_save,attempts_obox,assist_blocked_shot,assist_free_kick_won,accurate_keeper_sweeper,cross_not_claimed,dive_catch,dive_save,gk_smother,penalty_faced,punches,saved_obox,stand_catch,stand_save,total_keeper_sweeper,assist_handball_won,assist_post,att_obxd_right,att_lg_left,attempts_ibox,att_obp_goal,att_corner,penalty_save,att_pen_target,att_pen_post
10359,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,42,151.0,55.0,195.0,20.0,247.0,1.0,3.0,14.0,5.0,28.0,2.0,92.0,99.0,77.0,59.0,22.0,9.0,15.0,3.0,8.0,80.0,65.0,6.0,1.0,18.0,3.0,89.0,12.0,9.0,,1.0,23.0,73.0,19.0,6.0,1374.0,297.0,8.0,47.0,45.0,31.0,179.0,177.0,29.0,25.0,22.0,71.0,117.0,234.0,8.0,68.0,16.0,8.0,49.0,20.0,18.0,147.0,12.0,262.0,1.0,26.0,8.0,310.0,4.0,13.0,11.0,3.0,584.0,35.0,35.0,24.0,13.0,7.0,7.0,3.0,3.0,4.0,,2.0,15.0,17.0,4.0,1.0,3.0,5.0,4.0,13.0,,16.0,4.0,7.0,2.0,4.0,6.0,4.0,2.0,1.0,8.0,,41.0,,11.0,33.0,,7.0,5.0,11.0,2.0,8.0,4.0,,30.0,2.0,,5.0,15.0,3.0,,14.0,14.0,12.0,4.0,1.0,5.0,12.0,22.0,1.0,,5.0,,15.0,18.0,2.0,45.0,13.0,14.0,25.0,1.0,,1.0,,2.0,,,,,2.0,,2.0,4.0,2.0,3.0,,,,,1.0,,1.0,3.0,2.0,4.0,5.0,5.0,,,13.0,,,2.0,,7.0,1.0,,2.0,,1.0,2.0,,1.0,3.0,,,1.0,3.0,1.0,2.0,1.0,8.0,3.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,42,146.0,97.0,229.0,35.0,323.0,,1.0,103.0,81.0,27.0,5.0,145.0,102.0,126.0,67.0,21.0,8.0,31.0,5.0,6.0,160.0,124.0,22.0,15.0,63.0,14.0,129.0,23.0,16.0,2.0,18.0,151.0,142.0,25.0,9.0,1724.0,489.0,5.0,61.0,138.0,36.0,302.0,298.0,25.0,36.0,21.0,95.0,129.0,320.0,9.0,124.0,17.0,26.0,26.0,36.0,36.0,221.0,96.0,404.0,8.0,40.0,26.0,492.0,,9.0,8.0,1.0,772.0,46.0,46.0,27.0,11.0,5.0,6.0,3.0,3.0,29.0,1.0,15.0,21.0,13.0,5.0,1.0,5.0,9.0,4.0,14.0,,7.0,1.0,4.0,1.0,3.0,5.0,,1.0,1.0,2.0,,26.0,,4.0,18.0,,3.0,2.0,4.0,2.0,4.0,,,26.0,2.0,,5.0,18.0,7.0,,5.0,5.0,12.0,2.0,1.0,8.0,16.0,13.0,6.0,2.0,6.0,,15.0,24.0,,32.0,4.0,12.0,12.0,4.0,,,1.0,1.0,,,,1.0,2.0,1.0,3.0,5.0,,6.0,,,,,1.0,1.0,1.0,,4.0,5.0,5.0,5.0,,,25.0,,,2.0,,3.0,,,3.0,,2.0,3.0,,1.0,2.0,,,,,1.0,1.0,,1.0,4.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398,42,1.0,42.0,,,42.0,,,,,1.0,,6.0,4.0,,8.0,,,,,,,,,,,,12.0,1.0,1.0,,,,16.0,1.0,1.0,90.0,37.0,,,1.0,,3.0,3.0,3.0,,,17.0,,34.0,,44.0,1.0,,,,,,,1.0,4.0,,11.0,45.0,,,,,51.0,,,,,,1.0,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,7.0,1.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8979,42,330.0,99.0,322.0,74.0,411.0,4.0,5.0,198.0,92.0,36.0,22.0,289.0,178.0,154.0,96.0,46.0,18.0,44.0,5.0,11.0,328.0,194.0,4.0,4.0,68.0,42.0,147.0,32.0,28.0,2.0,6.0,194.0,143.0,36.0,3.0,3139.0,610.0,9.0,94.0,103.0,54.0,410.0,407.0,13.0,50.0,46.0,181.0,188.0,396.0,23.0,133.0,22.0,7.0,91.0,49.0,49.0,326.0,114.0,541.0,1.0,84.0,24.0,625.0,6.0,,35.0,5.0,1132.0,65.0,65.0,29.0,43.0,33.0,11.0,10.0,10.0,38.0,,16.0,41.0,57.0,8.0,7.0,7.0,15.0,15.0,29.0,5.0,23.0,11.0,37.0,4.0,8.0,13.0,7.0,6.0,6.0,20.0,,96.0,1.0,14.0,63.0,4.0,13.0,7.0,22.0,2.0,22.0,2.0,,27.0,2.0,,18.0,36.0,4.0,6.0,18.0,18.0,19.0,3.0,,21.0,26.0,53.0,3.0,3.0,33.0,5.0,40.0,48.0,,115.0,7.0,22.0,39.0,11.0,1.0,,5.0,5.0,,,1.0,1.0,4.0,2.0,4.0,23.0,4.0,8.0,2.0,,3.0,1.0,1.0,,,8.0,11.0,16.0,24.0,18.0,,,26.0,,,1.0,,16.0,,,6.0,,4.0,5.0,1.0,,3.0,,,1.0,9.0,6.0,9.0,1.0,11.0,18.0,4.0,7.0,9.0,9.0,2.0,,,,,,,,,,,1.0,4.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4816,42,176.0,540.0,574.0,11.0,1114.0,1.0,,68.0,64.0,30.0,34.0,199.0,137.0,173.0,250.0,40.0,36.0,6.0,1.0,8.0,189.0,209.0,51.0,25.0,202.0,50.0,456.0,31.0,26.0,,28.0,167.0,364.0,231.0,9.0,2500.0,1337.0,5.0,183.0,174.0,16.0,328.0,317.0,104.0,141.0,40.0,359.0,219.0,1099.0,26.0,608.0,106.0,62.0,34.0,7.0,7.0,316.0,4.0,751.0,20.0,12.0,134.0,1352.0,1.0,1.0,94.0,,1799.0,27.0,27.0,28.0,8.0,71.0,53.0,,,3.0,8.0,81.0,14.0,13.0,1.0,1.0,6.0,7.0,3.0,10.0,,2.0,1.0,4.0,3.0,6.0,2.0,4.0,9.0,2.0,15.0,,14.0,,2.0,19.0,4.0,1.0,1.0,,3.0,7.0,,,25.0,3.0,2.0,2.0,29.0,5.0,,68.0,68.0,146.0,11.0,1.0,7.0,8.0,5.0,6.0,1.0,5.0,,19.0,16.0,,31.0,3.0,13.0,23.0,6.0,4.0,,4.0,4.0,,,,,1.0,,1.0,1.0,,6.0,2.0,,,,1.0,1.0,,,2.0,,1.0,,,2.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4851,42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15415,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13815,42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
