id,year_id,formation_place,accurate_back_zone_pass,accurate_fwd_zone_pass,accurate_layoffs,accurate_pass,accurate_pull_back,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,backward_pass,ball_recovery,blocked_pass,challenge_lost,crosses_18yard,crosses_18yardplus,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,final_third_entries,fouls,fwd_pass,goals_conceded,goals_conceded_ibox,hand_ball,head_clearance,head_pass,leftside_pass,long_pass_own_to_opp,losses,mins_played,open_play_pass,overrun,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_pull_back,total_sub_on,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,won_corners,won_tackle,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_launches,accurate_long_balls,att_assist_openplay,att_bx_centre,att_bx_right,att_cmiss_right,att_hd_miss,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_target,att_lf_total,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_obx_right,att_openplay,att_post_left,att_rf_target,att_rf_total,att_setpiece,att_sv_low_centre,att_sv_low_right,big_chance_missed,blocked_cross,blocked_scoring_att,corner_taken,dangerous_play,dispossessed,effective_blocked_cross,error_lead_to_shot,fouled_final_third,game_started,goals_conceded_obox,hit_woodwork,interception,interception_won,long_pass_own_to_opp_success,lost_corners,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,outfielder_block,pen_goals_conceded,poss_won_att_3rd,post_scoring_att,shot_off_target,total_att_assist,total_corners_intobox,total_scoring_att,total_sub_off,wins,won_contest,clean_sheet,interceptions_in_box,second_goal_assist,yellow_card,att_cmiss_left,att_freekick_post,att_freekick_target,att_freekick_total,att_goal_high_centre,att_goal_low_left,att_hd_goal,att_hd_target,att_ibox_goal,att_lf_goal,att_miss_high,att_miss_high_left,att_obox_post,att_post_high,att_post_right,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_left,big_chance_created,big_chance_scored,goals,goals_openplay,last_man_tackle,shield_ball_oop,total_offside,accurate_corners_intobox,accurate_freekick_cross,accurate_through_ball,att_assist_setplay,att_bx_left,error_lead_to_goal,freekick_cross,goal_assist,goal_assist_deadball,goal_assist_intentional,goal_assist_openplay,goal_assist_setplay,six_yard_block,total_through_ball,own_goals,penalty_conceded,assist_penalty_won,att_fastbreak,att_goal_low_centre,att_goal_low_right,att_obox_goal,att_one_on_one,att_rf_goal,goal_fastbreak,penalty_won,shot_fastbreak,total_fastbreak,att_cmiss_high,touches_in_opp_box,accurate_goal_kicks,accurate_keeper_throws,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,saved_ibox,saves,total_high_claim,assist_attempt_saved,att_goal_high_right,att_hd_post,att_pen_goal,att_pen_miss,red_card,second_yellow,att_cmiss_high_left,att_freekick_goal,att_freekick_miss,att_goal_high_left,att_lg_centre,clearance_off_line,foul_throw_in,att_cmiss_high_right,assist_pass_lost,assist_own_goal,att_obxd_left,att_obx_left,diving_save,attempts_obox,assist_blocked_shot,assist_free_kick_won,accurate_keeper_sweeper,cross_not_claimed,dive_catch,dive_save,gk_smother,penalty_faced,punches,saved_obox,stand_catch,stand_save,total_keeper_sweeper,assist_handball_won,assist_post,att_obxd_right,att_lg_left,attempts_ibox,att_obp_goal,att_corner,penalty_save,att_pen_target,att_pen_post
4652,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5267,42,201.0,202.0,361.0,41.0,526.0,1.0,10.0,13.0,2.0,27.0,14.0,191.0,117.0,197.0,119.0,22.0,10.0,50.0,37.0,5.0,134.0,85.0,3.0,2.0,73.0,25.0,151.0,29.0,24.0,2.0,2.0,22.0,225.0,33.0,12.0,2028.0,619.0,8.0,56.0,171.0,191.0,414.0,414.0,55.0,53.0,22.0,66.0,200.0,508.0,6.0,220.0,70.0,3.0,78.0,170.0,114.0,278.0,9.0,589.0,2.0,45.0,40.0,639.0,4.0,,19.0,12.0,1150.0,60.0,60.0,28.0,26.0,11.0,36.0,37.0,19.0,4.0,1.0,18.0,26.0,9.0,6.0,5.0,,,3.0,7.0,,5.0,7.0,37.0,,3.0,12.0,3.0,16.0,3.0,22.0,,33.0,,1.0,3.0,,3.0,2.0,3.0,1.0,6.0,71.0,,46.0,1.0,,7.0,27.0,5.0,,12.0,12.0,20.0,3.0,,31.0,19.0,11.0,1.0,3.0,11.0,,23.0,50.0,57.0,40.0,18.0,10.0,36.0,2.0,2.0,,3.0,1.0,,1.0,5.0,1.0,,,,2.0,2.0,2.0,6.0,,,,,,,3.0,10.0,1.0,3.0,3.0,,,8.0,18.0,9.0,9.0,18.0,2.0,,27.0,6.0,2.0,6.0,3.0,3.0,,15.0,,,,,,1.0,1.0,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,1.0,,4.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,
4135,42,151.0,613.0,625.0,33.0,1209.0,,3.0,16.0,12.0,31.0,17.0,193.0,136.0,224.0,181.0,33.0,26.0,16.0,15.0,9.0,93.0,81.0,24.0,11.0,318.0,21.0,468.0,41.0,35.0,,11.0,58.0,372.0,256.0,13.0,2268.0,1398.0,2.0,174.0,187.0,179.0,424.0,423.0,70.0,101.0,33.0,409.0,294.0,1146.0,20.0,660.0,209.0,25.0,38.0,116.0,51.0,459.0,10.0,929.0,46.0,33.0,284.0,1473.0,,6.0,37.0,4.0,1906.0,23.0,23.0,7.0,10.0,28.0,110.0,29.0,12.0,6.0,11.0,167.0,23.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,11.0,7.0,6.0,2.0,17.0,18.0,14.0,47.0,,50.0,1.0,12.0,44.0,1.0,8.0,1.0,,5.0,20.0,73.0,,17.0,5.0,1.0,,25.0,6.0,2.0,45.0,45.0,161.0,2.0,,20.0,22.0,16.0,2.0,3.0,10.0,1.0,20.0,43.0,66.0,56.0,8.0,9.0,25.0,2.0,5.0,1.0,8.0,4.0,,1.0,4.0,,,,,1.0,,3.0,1.0,,,,2.0,,1.0,3.0,9.0,1.0,1.0,,,2.0,1.0,18.0,5.0,7.0,14.0,,,20.0,5.0,1.0,5.0,4.0,1.0,,11.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2508,42,38.0,136.0,273.0,,409.0,,,3.0,9.0,38.0,,317.0,202.0,,357.0,1.0,2.0,,,12.0,5.0,12.0,27.0,1.0,514.0,,1043.0,36.0,32.0,,1.0,1.0,73.0,952.0,3.0,3420.0,486.0,,171.0,233.0,37.0,750.0,745.0,36.0,1.0,1.0,30.0,124.0,200.0,,196.0,44.0,32.0,1.0,,,514.0,,950.0,516.0,,1066.0,1146.0,,,1.0,,1437.0,,,1.0,1.0,1.0,27.0,,,,143.0,333.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,4.0,,3.0,3.0,275.0,19.0,,1.0,4.0,,,4.0,,,,5.0,,,,23.0,1.0,15.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,79.0,324.0,47.0,273.0,82.0,61.0,99.0,49.0,,,,,,,,,,,,,,,,,,,,47.0,,,,40.0,5.0,4.0,21.0,14.0,4.0,22.0,38.0,11.0,9.0,46.0,,,,,,,,,,
4560,42,134.0,466.0,425.0,1.0,891.0,,1.0,24.0,31.0,23.0,23.0,193.0,93.0,118.0,164.0,41.0,23.0,1.0,1.0,4.0,103.0,101.0,45.0,33.0,133.0,39.0,328.0,37.0,34.0,1.0,35.0,132.0,291.0,138.0,13.0,1952.0,1057.0,1.0,104.0,197.0,11.0,221.0,215.0,59.0,101.0,41.0,327.0,163.0,884.0,23.0,513.0,39.0,51.0,20.0,2.0,2.0,231.0,2.0,553.0,55.0,1.0,121.0,1064.0,,,48.0,1.0,1329.0,15.0,15.0,9.0,,28.0,22.0,,,2.0,18.0,70.0,5.0,3.0,,,,,1.0,1.0,,,,6.0,2.0,6.0,2.0,2.0,13.0,1.0,16.0,,17.0,,1.0,14.0,,1.0,,,1.0,3.0,,,15.0,1.0,,,23.0,3.0,,42.0,42.0,85.0,5.0,1.0,3.0,2.0,3.0,4.0,6.0,4.0,,14.0,5.0,,20.0,3.0,6.0,15.0,3.0,2.0,,10.0,,,,,,1.0,,,1.0,1.0,3.0,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
4421,42,305.0,322.0,657.0,120.0,941.0,,1.0,27.0,5.0,36.0,11.0,258.0,169.0,315.0,132.0,87.0,47.0,35.0,7.0,10.0,163.0,93.0,11.0,4.0,159.0,26.0,337.0,45.0,41.0,1.0,6.0,54.0,279.0,67.0,15.0,2917.0,1142.0,6.0,225.0,182.0,223.0,530.0,526.0,39.0,72.0,87.0,262.0,325.0,899.0,51.0,365.0,55.0,15.0,43.0,167.0,79.0,493.0,41.0,995.0,12.0,123.0,56.0,1193.0,2.0,4.0,42.0,1.0,1811.0,57.0,57.0,23.0,31.0,31.0,21.0,38.0,12.0,22.0,,22.0,32.0,23.0,4.0,5.0,,1.0,12.0,6.0,1.0,6.0,7.0,24.0,2.0,4.0,9.0,20.0,15.0,15.0,54.0,,60.0,,14.0,63.0,2.0,6.0,7.0,4.0,3.0,32.0,105.0,1.0,47.0,3.0,,6.0,32.0,4.0,3.0,27.0,27.0,45.0,3.0,,31.0,26.0,32.0,5.0,1.0,21.0,3.0,24.0,57.0,88.0,88.0,6.0,11.0,24.0,6.0,,,6.0,2.0,,4.0,15.0,1.0,6.0,1.0,,8.0,1.0,5.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,7.0,3.0,11.0,6.0,,,4.0,26.0,8.0,4.0,22.0,4.0,,37.0,3.0,2.0,3.0,1.0,2.0,,13.0,,,,,,2.0,3.0,,9.0,,,,1.0,2.0,,,,,,,,,,,,,,3.0,,,,,2.0,5.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13193,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4145,42,217.0,289.0,942.0,72.0,1198.0,1.0,3.0,14.0,9.0,24.0,13.0,109.0,67.0,209.0,122.0,50.0,37.0,26.0,3.0,4.0,143.0,110.0,3.0,1.0,169.0,19.0,477.0,18.0,15.0,2.0,1.0,30.0,361.0,66.0,6.0,1800.0,1365.0,4.0,307.0,220.0,140.0,355.0,355.0,38.0,70.0,50.0,339.0,596.0,1177.0,18.0,320.0,62.0,3.0,48.0,96.0,41.0,718.0,8.0,1162.0,7.0,74.0,71.0,1386.0,4.0,2.0,36.0,3.0,1773.0,20.0,20.0,34.0,16.0,25.0,40.0,33.0,9.0,4.0,2.0,50.0,37.0,6.0,1.0,2.0,,,3.0,7.0,1.0,1.0,2.0,26.0,1.0,3.0,4.0,8.0,6.0,1.0,15.0,,25.0,1.0,,2.0,1.0,1.0,,1.0,3.0,11.0,57.0,,58.0,3.0,,12.0,22.0,3.0,1.0,16.0,16.0,47.0,2.0,,25.0,41.0,4.0,,1.0,14.0,1.0,14.0,67.0,55.0,29.0,12.0,14.0,31.0,5.0,,3.0,1.0,,,,2.0,,1.0,,,2.0,1.0,3.0,2.0,,,,,,,1.0,5.0,1.0,2.0,2.0,,,,24.0,5.0,4.0,18.0,5.0,,12.0,11.0,2.0,6.0,8.0,3.0,1.0,11.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13281,42,0.0,7.0,4.0,,11.0,,2.0,1.0,,1.0,,1.0,6.0,4.0,2.0,3.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,,5.0,1.0,,,2.0,1.0,4.0,3.0,,30.0,12.0,1.0,,1.0,,4.0,3.0,,2.0,3.0,,3.0,10.0,3.0,7.0,,3.0,,,,3.0,,6.0,1.0,,2.0,13.0,,1.0,1.0,2.0,23.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892,42,178.0,99.0,195.0,26.0,292.0,,4.0,22.0,7.0,27.0,2.0,159.0,84.0,111.0,61.0,26.0,6.0,21.0,3.0,6.0,109.0,66.0,2.0,2.0,14.0,5.0,69.0,40.0,35.0,2.0,3.0,14.0,77.0,12.0,20.0,1596.0,331.0,11.0,65.0,55.0,19.0,212.0,210.0,27.0,31.0,26.0,88.0,106.0,279.0,18.0,114.0,6.0,4.0,68.0,24.0,24.0,131.0,11.0,255.0,4.0,29.0,13.0,345.0,,8.0,13.0,4.0,630.0,46.0,46.0,21.0,7.0,13.0,4.0,2.0,2.0,1.0,1.0,9.0,4.0,5.0,,1.0,3.0,3.0,2.0,4.0,,2.0,2.0,3.0,,3.0,1.0,2.0,1.0,3.0,7.0,,15.0,,3.0,11.0,,2.0,,2.0,5.0,4.0,,,36.0,5.0,2.0,4.0,19.0,5.0,1.0,9.0,9.0,8.0,6.0,,1.0,3.0,7.0,,1.0,3.0,1.0,6.0,5.0,,17.0,10.0,1.0,26.0,,,,,1.0,,,,1.0,1.0,,,2.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,,9.0,,,1.0,,3.0,,,,,,,,,1.0,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4209,42,126.0,472.0,220.0,2.0,692.0,,,28.0,50.0,24.0,17.0,198.0,120.0,71.0,109.0,14.0,13.0,2.0,,10.0,66.0,123.0,122.0,76.0,95.0,23.0,318.0,38.0,33.0,,85.0,109.0,275.0,212.0,6.0,2136.0,805.0,,84.0,70.0,11.0,184.0,152.0,73.0,36.0,14.0,169.0,63.0,666.0,11.0,526.0,49.0,154.0,2.0,2.0,2.0,110.0,,309.0,76.0,2.0,168.0,833.0,,,45.0,,1224.0,7.0,7.0,27.0,4.0,37.0,24.0,,,,22.0,90.0,6.0,12.0,,1.0,4.0,10.0,2.0,6.0,2.0,4.0,,2.0,,2.0,2.0,2.0,,,2.0,,1.0,1.0,,5.0,2.0,2.0,1.0,1.0,6.0,4.0,,,2.0,6.0,,3.0,24.0,5.0,2.0,76.0,76.0,135.0,18.0,17.0,2.0,5.0,5.0,27.0,4.0,,2.0,8.0,7.0,,17.0,1.0,8.0,2.0,6.0,9.0,,5.0,1.0,,,,,,1.0,4.0,1.0,,2.0,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158,42,100.0,302.0,128.0,,430.0,,3.0,25.0,50.0,20.0,4.0,161.0,110.0,41.0,64.0,8.0,16.0,1.0,,4.0,62.0,101.0,66.0,38.0,78.0,18.0,291.0,26.0,21.0,,46.0,115.0,175.0,159.0,9.0,1697.0,578.0,1.0,11.0,93.0,11.0,204.0,176.0,44.0,20.0,8.0,85.0,39.0,420.0,4.0,357.0,78.0,94.0,6.0,1.0,1.0,90.0,,236.0,36.0,,102.0,592.0,,,43.0,3.0,840.0,4.0,4.0,3.0,1.0,35.0,34.0,,,,5.0,38.0,1.0,7.0,,,5.0,5.0,2.0,6.0,,,,,,1.0,4.0,,,,,,,,,2.0,2.0,,,1.0,3.0,2.0,,,3.0,3.0,,,20.0,5.0,,39.0,39.0,79.0,22.0,3.0,,1.0,,19.0,3.0,,,6.0,1.0,,8.0,1.0,7.0,5.0,7.0,3.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,42,105.0,729.0,272.0,2.0,1001.0,,5.0,29.0,58.0,22.0,7.0,131.0,99.0,60.0,92.0,6.0,5.0,,1.0,7.0,53.0,88.0,113.0,63.0,103.0,21.0,495.0,29.0,26.0,,71.0,148.0,366.0,261.0,7.0,1886.0,1133.0,,27.0,118.0,9.0,215.0,181.0,67.0,25.0,6.0,252.0,66.0,962.0,4.0,786.0,62.0,147.0,1.0,1.0,1.0,124.0,2.0,388.0,52.0,2.0,125.0,1173.0,,1.0,23.0,5.0,1455.0,4.0,4.0,6.0,1.0,20.0,25.0,,,,14.0,56.0,5.0,6.0,1.0,,2.0,4.0,3.0,3.0,,2.0,,,,,2.0,1.0,,,1.0,,,,,3.0,,,,,5.0,4.0,,1.0,1.0,5.0,1.0,,21.0,3.0,,41.0,41.0,171.0,25.0,15.0,1.0,4.0,3.0,20.0,1.0,,,3.0,5.0,,10.0,1.0,8.0,1.0,6.0,8.0,,5.0,,,,,,,,2.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9246,42,0.0,1.0,1.0,,2.0,,,2.0,,2.0,,1.0,2.0,1.0,,,1.0,,,2.0,4.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,10.0,2.0,,,,,3.0,3.0,,,,,,1.0,,1.0,,,,,,1.0,,2.0,,,,3.0,,2.0,,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10516,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4401,42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10443,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16608,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2837,42,40.0,146.0,236.0,6.0,382.0,,2.0,2.0,5.0,12.0,10.0,53.0,43.0,37.0,73.0,10.0,24.0,1.0,2.0,6.0,54.0,60.0,5.0,1.0,76.0,13.0,162.0,6.0,5.0,,1.0,29.0,143.0,59.0,2.0,658.0,444.0,,103.0,49.0,17.0,93.0,92.0,30.0,39.0,10.0,106.0,103.0,378.0,4.0,164.0,41.0,6.0,9.0,3.0,3.0,137.0,5.0,287.0,,6.0,40.0,448.0,,4.0,41.0,2.0,566.0,8.0,8.0,7.0,1.0,32.0,22.0,,,4.0,,28.0,8.0,,1.0,,,,1.0,1.0,,,,,,1.0,2.0,1.0,3.0,,4.0,,5.0,,,6.0,1.0,,,,,2.0,,,13.0,,,,8.0,1.0,,12.0,12.0,44.0,,,3.0,5.0,,,1.0,4.0,,4.0,8.0,,6.0,5.0,4.0,7.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10932,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447,42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3766,42,166.0,166.0,368.0,42.0,519.0,2.0,16.0,29.0,14.0,21.0,6.0,102.0,74.0,170.0,75.0,39.0,12.0,29.0,19.0,7.0,102.0,88.0,11.0,2.0,58.0,11.0,160.0,23.0,17.0,,2.0,35.0,108.0,34.0,10.0,1440.0,653.0,6.0,133.0,92.0,120.0,315.0,315.0,27.0,40.0,39.0,224.0,211.0,510.0,15.0,194.0,21.0,11.0,71.0,96.0,58.0,290.0,17.0,564.0,5.0,45.0,25.0,662.0,5.0,4.0,29.0,18.0,1057.0,26.0,26.0,13.0,23.0,16.0,11.0,15.0,8.0,8.0,1.0,15.0,25.0,6.0,3.0,3.0,,1.0,5.0,7.0,1.0,4.0,1.0,5.0,3.0,2.0,7.0,10.0,11.0,3.0,23.0,,35.0,1.0,6.0,38.0,,2.0,2.0,2.0,7.0,15.0,45.0,,12.0,7.0,1.0,6.0,17.0,6.0,2.0,18.0,18.0,19.0,3.0,,17.0,16.0,10.0,1.0,1.0,8.0,1.0,19.0,34.0,38.0,44.0,9.0,4.0,32.0,4.0,,,1.0,1.0,,1.0,6.0,1.0,,1.0,,2.0,,5.0,1.0,,,,1.0,,,2.0,5.0,2.0,3.0,2.0,,1.0,3.0,7.0,,2.0,6.0,8.0,,10.0,2.0,,2.0,2.0,,,4.0,,,,1.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,1.0,,4.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,42,99.0,416.0,420.0,3.0,824.0,2.0,203.0,16.0,14.0,33.0,15.0,285.0,204.0,221.0,220.0,56.0,39.0,43.0,10.0,10.0,117.0,157.0,73.0,23.0,153.0,16.0,419.0,56.0,53.0,,33.0,62.0,43.0,177.0,15.0,2970.0,1043.0,8.0,295.0,20.0,93.0,469.0,440.0,139.0,74.0,56.0,384.0,235.0,808.0,25.0,484.0,43.0,102.0,65.0,56.0,53.0,356.0,5.0,639.0,66.0,4.0,131.0,1067.0,5.0,,85.0,272.0,1907.0,28.0,28.0,12.0,19.0,68.0,15.0,12.0,12.0,2.0,12.0,46.0,26.0,2.0,,3.0,,,2.0,7.0,1.0,2.0,4.0,34.0,5.0,4.0,14.0,5.0,21.0,3.0,32.0,,31.0,1.0,1.0,12.0,4.0,2.0,1.0,3.0,22.0,7.0,3.0,,27.0,22.0,,5.0,33.0,3.0,2.0,63.0,63.0,88.0,26.0,4.0,13.0,17.0,9.0,10.0,5.0,7.0,2.0,30.0,30.0,3.0,46.0,,8.0,46.0,6.0,7.0,,2.0,3.0,1.0,1.0,8.0,,1.0,,,2.0,4.0,4.0,1.0,1.0,1.0,,,1.0,1.0,,4.0,1.0,4.0,2.0,2.0,4.0,4.0,,,1.0,1.0,10.0,1.0,,3.0,,3.0,3.0,,,1.0,,,,,2.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
