id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,own_goals
321,3,18.0,9.0,6.0,,1.0,11.0,5.0,1.0,,
592,3,14.0,1.0,3.0,1.0,5.0,6.0,3.0,1.0,,
899,3,7.0,0.0,3.0,2.0,3.0,1.0,1.0,,,
858,3,36.0,7.0,11.0,10.0,13.0,12.0,6.0,4.0,,
870,3,,,,,,,,,,
976,3,3.0,0.0,1.0,,2.0,,,,1.0,
145,3,,,,,,,,,,
251,3,30.0,4.0,14.0,,8.0,8.0,1.0,,,
851,3,,,,,,,,,,
897,3,34.0,3.0,9.0,,21.0,4.0,6.0,1.0,1.0,
119,3,,,,,,,,,,
87,3,1.0,0.0,,1.0,,1.0,,,,
221,3,16.0,0.0,,1.0,13.0,3.0,1.0,1.0,,
383,3,25.0,5.0,7.0,2.0,11.0,7.0,6.0,,,
213,3,1.0,0.0,,,1.0,,,,,
151,3,41.0,14.0,12.0,2.0,19.0,10.0,4.0,1.0,,
388,3,40.0,14.0,12.0,10.0,9.0,19.0,,11.0,,
123,3,7.0,2.0,3.0,,3.0,1.0,,,,1.0
857,3,,,,,,,,,,
99,3,6.0,2.0,3.0,,1.0,2.0,1.0,,,
254,3,8.0,3.0,3.0,1.0,2.0,3.0,1.0,,,
839,3,,,,,,,,,,
401,3,19.0,4.0,7.0,1.0,3.0,9.0,1.0,1.0,,
844,3,15.0,2.0,5.0,7.0,6.0,4.0,5.0,,1.0,
778,3,11.0,0.0,1.0,,6.0,4.0,2.0,,,
946,3,,,,,,,,,,
702,3,2.0,0.0,1.0,,1.0,,,,,
667,3,,,,,,,,,,
938,3,20.0,5.0,7.0,1.0,4.0,9.0,1.0,1.0,,
848,3,,,,,,,,,,
57,3,17.0,1.0,6.0,2.0,8.0,3.0,4.0,1.0,,
604,3,13.0,2.0,6.0,3.0,3.0,4.0,2.0,,,
898,3,24.0,4.0,8.0,,13.0,3.0,2.0,1.0,,
75,3,38.0,13.0,7.0,4.0,7.0,24.0,3.0,,,
28,3,34.0,3.0,15.0,2.0,10.0,9.0,4.0,2.0,,
974,3,19.0,4.0,7.0,4.0,5.0,7.0,,,,
514,3,15.0,3.0,4.0,3.0,6.0,5.0,2.0,1.0,,
18,3,9.0,0.0,3.0,,2.0,4.0,,1.0,,
908,3,1.0,0.0,,,1.0,,,,,
92,3,12.0,2.0,6.0,,4.0,2.0,,,,
672,3,12.0,0.0,5.0,,4.0,3.0,,2.0,,
179,3,29.0,10.0,11.0,2.0,8.0,10.0,2.0,11.0,,1.0
841,3,13.0,3.0,2.0,,7.0,4.0,,2.0,,
716,3,,,,,,,,,,
968,3,,,,,,,,,,
603,3,28.0,5.0,9.0,7.0,10.0,9.0,6.0,4.0,,
182,3,1.0,0.0,1.0,,,,,,,
809,3,23.0,1.0,6.0,2.0,9.0,8.0,,1.0,,
47,3,36.0,6.0,13.0,3.0,15.0,8.0,2.0,2.0,,
925,3,38.0,11.0,10.0,1.0,9.0,19.0,4.0,2.0,,
250,3,6.0,1.0,1.0,,2.0,3.0,,,,
240,3,15.0,3.0,2.0,,7.0,6.0,4.0,1.0,,
186,3,31.0,13.0,12.0,,8.0,11.0,4.0,1.0,1.0,
413,3,11.0,0.0,2.0,1.0,3.0,6.0,1.0,,,
890,3,,,,,,,,,,
446,3,31.0,6.0,7.0,1.0,10.0,14.0,4.0,8.0,1.0,
108,3,15.0,0.0,7.0,1.0,3.0,5.0,1.0,3.0,,
137,3,,,,,,,,,,
272,3,23.0,3.0,6.0,9.0,9.0,8.0,5.0,4.0,1.0,
326,3,36.0,22.0,7.0,5.0,6.0,23.0,6.0,2.0,,
560,3,26.0,6.0,10.0,1.0,6.0,10.0,2.0,1.0,,
731,3,,,,,,,,,,
147,3,21.0,8.0,3.0,,12.0,6.0,4.0,,,
453,3,40.0,9.0,9.0,3.0,15.0,16.0,4.0,2.0,,
955,3,13.0,2.0,5.0,2.0,3.0,5.0,2.0,,,
842,3,1.0,0.0,1.0,,,,,,,
670,3,,,,,,,,,,
698,3,,,,,,,,,,
505,3,35.0,8.0,8.0,5.0,15.0,12.0,7.0,1.0,,
960,3,,,,,,,,,,
724,3,,,,,,,,,,
140,3,11.0,2.0,7.0,1.0,3.0,1.0,,1.0,,
861,3,21.0,6.0,5.0,2.0,9.0,7.0,1.0,1.0,,
512,3,,,,,,,,,,
315,3,40.0,23.0,9.0,2.0,6.0,25.0,2.0,4.0,,
177,3,29.0,8.0,11.0,,11.0,7.0,4.0,4.0,,
101,3,33.0,10.0,10.0,,12.0,11.0,6.0,1.0,1.0,1.0
252,3,42.0,17.0,11.0,,10.0,21.0,,1.0,,
17,3,24.0,6.0,7.0,1.0,10.0,7.0,2.0,1.0,,
588,3,3.0,1.0,,,2.0,1.0,1.0,,,
849,3,14.0,0.0,3.0,4.0,6.0,5.0,1.0,,,
324,3,30.0,12.0,5.0,14.0,5.0,20.0,,3.0,,
171,3,1.0,1.0,1.0,,,,1.0,,,
909,3,15.0,0.0,6.0,3.0,8.0,1.0,,2.0,,
686,3,34.0,13.0,14.0,,11.0,9.0,6.0,1.0,,
407,3,25.0,7.0,7.0,2.0,5.0,13.0,7.0,4.0,,
694,3,42.0,16.0,13.0,,9.0,20.0,7.0,2.0,,
14,3,31.0,6.0,11.0,1.0,10.0,10.0,5.0,,1.0,1.0
498,3,16.0,2.0,7.0,,6.0,3.0,1.0,1.0,,
352,3,22.0,5.0,8.0,1.0,9.0,5.0,3.0,1.0,,
298,3,2.0,0.0,,,2.0,,,,,
494,3,,,,,,,,,,
928,3,26.0,9.0,8.0,8.0,7.0,11.0,,2.0,,
916,3,6.0,1.0,,,3.0,3.0,1.0,1.0,,
93,3,31.0,11.0,9.0,,10.0,12.0,2.0,,,
807,3,26.0,9.0,8.0,,7.0,11.0,4.0,3.0,1.0,
302,3,,,,,,,,,,
230,3,18.0,0.0,4.0,,9.0,5.0,3.0,,,
673,3,23.0,7.0,7.0,1.0,7.0,9.0,3.0,1.0,,
905,3,17.0,2.0,4.0,1.0,10.0,3.0,,3.0,,
222,3,29.0,2.0,7.0,6.0,13.0,9.0,1.0,3.0,,
965,3,41.0,10.0,13.0,20.0,12.0,16.0,6.0,10.0,,
533,3,41.0,8.0,17.0,19.0,12.0,12.0,5.0,15.0,,
846,3,6.0,0.0,1.0,,4.0,1.0,2.0,,,
872,3,2.0,0.0,,,2.0,,,,,
800,3,,,,,,,,,,
106,3,14.0,3.0,5.0,,4.0,5.0,2.0,1.0,,
279,3,23.0,5.0,7.0,,8.0,8.0,,,,1.0
70,3,39.0,15.0,8.0,3.0,6.0,25.0,8.0,5.0,,
333,3,5.0,0.0,2.0,,,3.0,,,,
685,3,5.0,0.0,1.0,,2.0,2.0,,,,
371,3,21.0,7.0,6.0,,7.0,8.0,1.0,,,
714,3,30.0,9.0,10.0,1.0,8.0,12.0,6.0,1.0,,
524,3,37.0,7.0,15.0,1.0,12.0,10.0,2.0,5.0,,
