id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_left,att_goal_high_right,att_ibox_blocked,att_lf_total,att_miss_high,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_one_on_one,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,final_third_entries,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_openplay,head_clearance,head_pass,interception,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shot_off_target,six_yard_block,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_tackle,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_throws,assist_own_goal,att_bx_centre,att_bx_right,att_cmiss_left,att_cmiss_right,att_fastbreak,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_miss,att_hd_target,att_hd_total,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_miss_high_left,att_miss_high_right,att_miss_left,att_obox_post,att_obp_goal,att_obx_right,att_post_right,att_setpiece,att_sv_high_left,att_sv_low_centre,big_chance_created,big_chance_scored,blocked_cross,clearance_off_line,dangerous_play,effective_blocked_cross,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,hit_woodwork,interceptions_in_box,offside_provoked,overrun,penalty_conceded,pen_goals_conceded,post_scoring_att,shield_ball_oop,shot_fastbreak,total_fastbreak,total_flick_on,total_offside,total_throws,won_corners,yellow_card,att_cmiss_high,att_goal_high_centre,att_goal_high_left,att_hd_goal,att_sv_low_left,error_lead_to_shot,fouled_final_third,goal_assist_setplay,own_goals,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,att_assist_setplay,att_cmiss_high_right,att_lg_centre,att_sv_high_centre,att_sv_high_right,foul_throw_in,att_freekick_miss,att_freekick_total,att_ibox_post,error_lead_to_goal,last_man_tackle,freekick_cross,assist_attempt_saved,assist_free_kick_won,accurate_pull_back,corner_taken,times_tackled,winning_goal,accurate_corners_intobox,accurate_freekick_cross,goal_assist_deadball,second_goal_assist,total_corners_intobox,att_hd_post,red_card,second_yellow,att_post_high,assist_penalty_won,att_cmiss_high_left,penalty_won,att_freekick_goal,att_freekick_target,att_obxd_left,att_obx_left,goal_fastbreak,att_post_left,att_pen_goal,att_freekick_post,assist_blocked_shot,assist_handball_won,assist_pass_lost,assist_post,att_pen_post,att_pen_target,att_obxd_right,att_corner,rescinded_red_card,att_pen_miss,att_lg_right,att_lg_left
3182,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23738,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4112,79,950.0,84.0,994.0,12.0,19.0,164.0,1939.0,1.0,62.0,83.0,34.0,16.0,191.0,94.0,17.0,15.0,13.0,0.0,,1.0,1.0,7.0,5.0,8.0,,5.0,2.0,15.0,,14.0,,3.0,20.0,1.0,225.0,170.0,1.0,50.0,9.0,25.0,13.0,9.0,17.0,17.0,7.0,127.0,163.0,82.0,46.0,332.0,23.0,732.0,32.0,,30.0,26.0,,46.0,156.0,48.0,48.0,720.0,321.0,236.0,6.0,17.0,2827.0,6.0,9.0,7.0,2196.0,11.0,169.0,323.0,73.0,368.0,368.0,6.0,73.0,91.0,50.0,571.0,16.0,,351.0,1891.0,21.0,15.0,1033.0,167.0,82.0,15.0,26.0,26.0,328689.8454589844,498.0,1241.0,45.0,19.0,261.0,2248.0,,32.0,5.0,2.0,61.0,2.0,2644.0,37.0,11.0,11.0,8.0,21.0,13.0,43.0,5.0,5.0,2.0,5.0,,15.0,1.0,,1.0,,,,,7.0,3.0,10.0,,10.0,5.0,,1.0,,1.0,2.0,,,,1.0,1.0,3.0,3.0,3.0,,11.0,,,11.0,4.0,2.0,2.0,2.0,,1.0,9.0,17.0,2.0,,1.0,1.0,,,,5.0,1.0,6.0,11.0,4.0,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21468,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23747,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15038,79,72.0,5.0,46.0,1.0,,9.0,116.0,,6.0,8.0,6.0,2.0,60.0,37.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,24.0,29.0,,7.0,1.0,,,5.0,9.0,,1.0,9.0,28.0,19.0,10.0,33.0,3.0,82.0,6.0,,15.0,11.0,,10.0,15.0,5.0,5.0,49.0,41.0,19.0,4.0,3.0,483.0,1.0,,,162.0,2.0,3.0,48.0,17.0,72.0,72.0,1.0,21.0,7.0,7.0,7.0,,,15.0,116.0,3.0,1.0,86.0,16.0,19.0,3.0,15.0,15.0,54434.6083984375,38.0,91.0,13.0,,32.0,162.0,,1.0,2.0,,15.0,,279.0,1.0,6.0,6.0,2.0,1.0,3.0,9.0,2.0,2.0,,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,4.0,,,,,,2.0,3.0,,,1.0,,,,,0.0,,39.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934,79,42.0,7.0,26.0,1.0,,5.0,68.0,,7.0,7.0,5.0,,32.0,19.0,,,,,,,,,,,,,,,,,,,,,11.0,18.0,,10.0,,2.0,,2.0,,5.0,1.0,14.0,18.0,6.0,4.0,16.0,,51.0,3.0,,10.0,8.0,,4.0,8.0,7.0,7.0,2.0,14.0,7.0,3.0,,228.0,,,,95.0,1.0,27.0,1.0,1.0,41.0,41.0,,10.0,8.0,10.0,33.0,,,11.0,66.0,3.0,,54.0,16.0,6.0,3.0,2.0,2.0,24937.50216674804,20.0,45.0,5.0,,11.0,97.0,,,2.0,2.0,6.0,1.0,157.0,,0.0,0.0,2.0,1.0,3.0,4.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,2.0,,,,,,,,,1.0,20.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6362,79,197.0,8.0,90.0,4.0,,32.0,287.0,,9.0,13.0,11.0,3.0,59.0,34.0,1.0,,0.0,1.0,,1.0,,,,,,,,,,,,,1.0,,23.0,50.0,,9.0,1.0,6.0,3.0,1.0,,2.0,3.0,24.0,30.0,42.0,25.0,33.0,7.0,129.0,7.0,,14.0,11.0,,25.0,28.0,16.0,16.0,116.0,81.0,57.0,5.0,14.0,767.0,0.0,,,330.0,8.0,21.0,49.0,6.0,63.0,63.0,,33.0,17.0,9.0,69.0,,1.0,23.0,280.0,8.0,0.0,218.0,16.0,42.0,1.0,1.0,1.0,79740.34655761719,38.0,120.0,19.0,,54.0,337.0,,1.0,1.0,4.0,13.0,,465.0,2.0,1.0,1.0,3.0,3.0,1.0,10.0,,,,14.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,2.0,,4.0,3.0,,,,,,4.0,8.0,,,1.0,,2.0,,,,,22.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,79,136.0,2.0,284.0,,34.0,5.0,415.0,1.0,29.0,5.0,24.0,11.0,114.0,69.0,3.0,7.0,10.0,,,1.0,2.0,1.0,1.0,3.0,,3.0,1.0,7.0,,7.0,,2.0,8.0,,166.0,82.0,1.0,33.0,4.0,18.0,,26.0,6.0,29.0,5.0,115.0,70.0,2.0,1.0,35.0,17.0,105.0,16.0,,21.0,16.0,,1.0,18.0,11.0,11.0,162.0,18.0,9.0,12.0,,1312.0,4.0,6.0,2.0,510.0,,60.0,152.0,45.0,227.0,227.0,5.0,36.0,41.0,33.0,79.0,4.0,,140.0,413.0,13.0,10.0,155.0,5.0,2.0,48.0,33.0,33.0,150282.96948242188,190.0,390.0,6.0,37.0,12.0,512.0,,10.0,13.0,8.0,22.0,2.0,775.0,31.0,40.0,40.0,20.0,7.0,23.0,16.0,5.0,5.0,3.0,6.0,,1.0,1.0,,0.0,1.0,,,,,,,,0.0,1.0,,,,,1.0,,,,1.0,2.0,,2.0,1.0,,1.0,,,1.0,5.0,,,,,1.0,,,6.0,0.0,3.0,1.0,,1.0,1.0,7.0,1.0,7.0,5.0,2.0,1.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
