id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_left,att_goal_high_right,att_ibox_blocked,att_lf_total,att_miss_high,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_one_on_one,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,final_third_entries,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_openplay,head_clearance,head_pass,interception,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shot_off_target,six_yard_block,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_tackle,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_throws,assist_own_goal,att_bx_centre,att_bx_right,att_cmiss_left,att_cmiss_right,att_fastbreak,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_miss,att_hd_target,att_hd_total,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_miss_high_left,att_miss_high_right,att_miss_left,att_obox_post,att_obp_goal,att_obx_right,att_post_right,att_setpiece,att_sv_high_left,att_sv_low_centre,big_chance_created,big_chance_scored,blocked_cross,clearance_off_line,dangerous_play,effective_blocked_cross,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,hit_woodwork,interceptions_in_box,offside_provoked,overrun,penalty_conceded,pen_goals_conceded,post_scoring_att,shield_ball_oop,shot_fastbreak,total_fastbreak,total_flick_on,total_offside,total_throws,won_corners,yellow_card,att_cmiss_high,att_goal_high_centre,att_goal_high_left,att_hd_goal,att_sv_low_left,error_lead_to_shot,fouled_final_third,goal_assist_setplay,own_goals,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,att_assist_setplay,att_cmiss_high_right,att_lg_centre,att_sv_high_centre,att_sv_high_right,foul_throw_in,att_freekick_miss,att_freekick_total,att_ibox_post,error_lead_to_goal,last_man_tackle,freekick_cross,assist_attempt_saved,assist_free_kick_won,accurate_pull_back,corner_taken,times_tackled,winning_goal,accurate_corners_intobox,accurate_freekick_cross,goal_assist_deadball,second_goal_assist,total_corners_intobox,att_hd_post,red_card,second_yellow,att_post_high,assist_penalty_won,att_cmiss_high_left,penalty_won,att_freekick_goal,att_freekick_target,att_obxd_left,att_obx_left,goal_fastbreak,att_post_left,att_pen_goal,att_freekick_post,assist_blocked_shot,assist_handball_won,assist_pass_lost,assist_post,att_pen_post,att_pen_target,att_obxd_right,att_corner,rescinded_red_card,att_pen_miss,att_lg_right,att_lg_left
8451,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4007,79,33.0,3.0,98.0,,18.0,2.0,131.0,,98.0,124.0,30.0,5.0,104.0,78.0,30.0,3.0,7.0,1.0,,5.0,2.0,3.0,9.0,,,3.0,,3.0,,19.0,2.0,,9.0,,43.0,22.0,3.0,7.0,5.0,3.0,,1.0,,16.0,10.0,130.0,140.0,14.0,13.0,47.0,20.0,106.0,7.0,4.0,16.0,15.0,2.0,13.0,157.0,3.0,3.0,54.0,14.0,5.0,10.0,,980.0,5.0,3.0,8.0,261.0,2.0,28.0,37.0,22.0,183.0,183.0,4.0,3.0,15.0,7.0,62.0,20.0,1.0,61.0,127.0,4.0,8.0,47.0,7.0,14.0,1.0,1.0,1.0,113489.2804260254,152.0,219.0,1.0,25.0,5.0,265.0,1.0,33.0,3.0,23.0,3.0,,409.0,62.0,29.0,29.0,15.0,10.0,1.0,1.0,0.0,0.0,36.0,,1.0,24.0,1.0,1.0,3.0,,1.0,1.0,1.0,14.0,4.0,20.0,4.0,17.0,4.0,,,2.0,1.0,5.0,,,,,5.0,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,0.0,,,,,,99.0,12.0,,3.0,3.0,1.0,0.0,1.0,2.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
14830,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15146,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12815,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4771,79,106.0,12.0,208.0,,59.0,4.0,313.0,,92.0,67.0,35.0,10.0,188.0,89.0,44.0,13.0,18.0,6.0,,8.0,21.0,5.0,5.0,6.0,,4.0,3.0,13.0,1.0,46.0,3.0,3.0,22.0,6.0,144.0,45.0,9.0,18.0,14.0,20.0,1.0,5.0,,24.0,7.0,165.0,116.0,17.0,10.0,45.0,23.0,100.0,23.0,6.0,31.0,29.0,4.0,10.0,104.0,6.0,6.0,85.0,24.0,13.0,18.0,1.0,1961.0,7.0,14.0,21.0,408.0,2.0,80.0,54.0,14.0,213.0,213.0,8.0,7.0,30.0,18.0,104.0,22.0,2.0,120.0,288.0,14.0,21.0,123.0,24.0,17.0,18.0,5.0,5.0,223104.2666015625,192.0,315.0,3.0,69.0,19.0,433.0,1.0,57.0,15.0,12.0,12.0,4.0,699.0,92.0,54.0,54.0,28.0,10.0,9.0,10.0,1.0,1.0,15.0,5.0,,26.0,2.0,,4.0,0.0,3.0,3.0,,7.0,5.0,13.0,6.0,17.0,12.0,2.0,7.0,2.0,1.0,8.0,,,,,2.0,,7.0,3.0,5.0,,0.0,,,2.0,3.0,3.0,2.0,,1.0,,,1.0,,3.0,1.0,,0.0,1.0,56.0,22.0,5.0,4.0,3.0,2.0,,,1.0,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,4.0,1.0,,,,,,,,2.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10609,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4617,79,225.0,20.0,400.0,1.0,45.0,18.0,589.0,,50.0,21.0,30.0,12.0,128.0,104.0,11.0,17.0,13.0,,,3.0,5.0,1.0,4.0,4.0,1.0,5.0,6.0,15.0,,22.0,3.0,6.0,19.0,6.0,179.0,98.0,1.0,52.0,7.0,24.0,1.0,24.0,19.0,13.0,13.0,102.0,61.0,18.0,14.0,88.0,18.0,213.0,20.0,3.0,29.0,23.0,2.0,14.0,76.0,8.0,8.0,226.0,60.0,32.0,12.0,7.0,1714.0,20.0,16.0,14.0,722.0,1.0,49.0,229.0,183.0,322.0,322.0,1.0,43.0,54.0,52.0,129.0,7.0,1.0,194.0,576.0,28.0,36.0,256.0,49.0,18.0,6.0,159.0,72.0,239987.31658935547,271.0,650.0,18.0,46.0,52.0,747.0,2.0,28.0,10.0,10.0,23.0,,1120.0,26.0,20.0,20.0,12.0,5.0,5.0,16.0,36.0,13.0,5.0,6.0,,11.0,,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,5.0,,2.0,,,1.0,1.0,,,,,,0.0,8.0,1.0,13.0,,,13.0,6.0,3.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,21.0,,8.0,16.0,3.0,1.0,,,,3.0,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,1.0,,2.0,,1.0,6.0,,,,29.0,0.0,,,93.0,,,25.0,7.0,2.0,1.0,89.0,,,,,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,
3999,79,294.0,34.0,359.0,30.0,1.0,69.0,638.0,,28.0,59.0,28.0,7.0,237.0,174.0,4.0,2.0,15.0,2.0,1.0,0.0,6.0,2.0,2.0,1.0,,1.0,,2.0,,1.0,,,0.0,,174.0,105.0,,57.0,1.0,22.0,9.0,59.0,23.0,6.0,7.0,70.0,127.0,102.0,47.0,248.0,11.0,436.0,28.0,1.0,27.0,26.0,1.0,47.0,127.0,42.0,42.0,30.0,238.0,93.0,7.0,23.0,2462.0,9.0,7.0,1.0,908.0,12.0,361.0,6.0,100.0,458.0,458.0,2.0,63.0,40.0,57.0,283.0,4.0,,175.0,628.0,15.0,16.0,357.0,104.0,102.0,8.0,82.0,82.0,271763.4423828125,320.0,648.0,121.0,1.0,209.0,923.0,2.0,6.0,2.0,,39.0,,1627.0,18.0,18.0,18.0,29.0,14.0,5.0,31.0,15.0,15.0,1.0,212.0,,2.0,,0.0,1.0,,,,,,,,1.0,3.0,,1.0,,,,0.0,,,,,2.0,,,2.0,,24.0,,,24.0,1.0,1.0,1.0,1.0,,,4.0,2.0,3.0,,2.0,,,,,5.0,3.0,277.0,19.0,1.0,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14164,79,59.0,4.0,93.0,3.0,1.0,5.0,148.0,,10.0,9.0,7.0,2.0,64.0,45.0,,,3.0,,,,,,,,,,,,,,,,,,25.0,38.0,,23.0,,4.0,2.0,14.0,6.0,6.0,1.0,24.0,54.0,34.0,15.0,35.0,2.0,114.0,7.0,,10.0,7.0,,15.0,19.0,15.0,15.0,50.0,49.0,25.0,4.0,11.0,628.0,2.0,1.0,,202.0,7.0,,95.0,17.0,114.0,114.0,3.0,23.0,12.0,23.0,14.0,,,51.0,147.0,11.0,3.0,79.0,12.0,34.0,15.0,20.0,20.0,73683.8837890625,70.0,144.0,20.0,1.0,28.0,203.0,,,1.0,,29.0,,444.0,1.0,9.0,9.0,3.0,2.0,13.0,18.0,4.0,4.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,12.0,3.0,,,,,,2.0,1.0,,,,,,,,,,70.0,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13559,79,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.268310546875,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3517,79,525.0,27.0,201.0,24.0,0.0,75.0,726.0,,66.0,116.0,28.0,11.0,187.0,128.0,20.0,3.0,1.0,,,2.0,2.0,2.0,1.0,,,3.0,,3.0,,3.0,1.0,2.0,8.0,,56.0,124.0,3.0,13.0,2.0,15.0,8.0,1.0,,2.0,9.0,103.0,182.0,213.0,108.0,93.0,20.0,373.0,27.0,3.0,32.0,24.0,,108.0,126.0,63.0,63.0,265.0,195.0,117.0,9.0,26.0,2388.0,,1.0,10.0,859.0,12.0,79.0,84.0,5.0,175.0,175.0,2.0,89.0,33.0,13.0,194.0,11.0,,59.0,705.0,12.0,1.0,584.0,60.0,213.0,6.0,1.0,1.0,249706.1209716797,117.0,305.0,82.0,0.0,158.0,888.0,,23.0,2.0,1.0,47.0,,1322.0,36.0,7.0,7.0,14.0,10.0,6.0,26.0,0.0,0.0,,2.0,,16.0,0.0,1.0,,,1.0,,2.0,5.0,5.0,12.0,3.0,7.0,7.0,1.0,,,1.0,6.0,,,,1.0,4.0,0.0,2.0,,1.0,2.0,1.0,,2.0,8.0,,,,,2.0,17.0,15.0,1.0,1.0,1.0,1.0,3.0,,,2.0,1.0,2.0,1.0,8.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,79,31.0,,11.0,,,1.0,42.0,,,1.0,4.0,,9.0,3.0,,,,,,,,,,,,,,,,,,,,,6.0,5.0,,1.0,,1.0,,,,,,1.0,1.0,,,5.0,,14.0,,,3.0,3.0,,,2.0,2.0,2.0,15.0,3.0,2.0,4.0,0.0,68.0,,,,49.0,,4.0,3.0,,8.0,8.0,,3.0,2.0,1.0,15.0,,,4.0,41.0,1.0,,36.0,1.0,,,,,10488.721862792974,6.0,14.0,1.0,,3.0,50.0,,,,4.0,,,54.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15111,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3905,79,453.0,50.0,601.0,6.0,3.0,74.0,1031.0,2.0,29.0,36.0,24.0,11.0,140.0,70.0,1.0,6.0,29.0,,,,,1.0,,1.0,,5.0,,6.0,,1.0,,1.0,7.0,,300.0,147.0,1.0,53.0,1.0,23.0,7.0,70.0,22.0,6.0,6.0,81.0,120.0,45.0,23.0,193.0,18.0,391.0,21.0,,21.0,20.0,,23.0,100.0,20.0,20.0,532.0,155.0,73.0,5.0,15.0,1913.0,14.0,26.0,1.0,1243.0,6.0,31.0,386.0,176.0,411.0,411.0,10.0,83.0,54.0,53.0,43.0,5.0,,327.0,1010.0,25.0,41.0,499.0,119.0,45.0,18.0,122.0,96.0,248505.435546875,462.0,889.0,30.0,3.0,151.0,1266.0,1.0,7.0,3.0,3.0,52.0,5.0,1886.0,25.0,20.0,20.0,20.0,13.0,13.0,30.0,23.0,13.0,0.0,208.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,4.0,,,,,,,1.0,7.0,,8.0,,,8.0,1.0,5.0,2.0,3.0,,,3.0,11.0,4.0,,1.0,,1.0,,,1.0,3.0,239.0,11.0,1.0,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,1.0,,,,4.0,,,1.0,28.0,,,10.0,1.0,1.0,,26.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
4767,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13195,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10498,79,209.0,37.0,650.0,3.0,91.0,33.0,831.0,4.0,42.0,8.0,36.0,32.0,224.0,151.0,28.0,12.0,48.0,5.0,,5.0,31.0,6.0,3.0,5.0,,6.0,1.0,11.0,2.0,36.0,,2.0,6.0,2.0,261.0,140.0,4.0,99.0,10.0,24.0,2.0,74.0,15.0,69.0,15.0,189.0,159.0,18.0,5.0,131.0,46.0,357.0,34.0,6.0,43.0,37.0,4.0,5.0,27.0,19.0,19.0,298.0,58.0,30.0,14.0,3.0,2810.0,25.0,34.0,16.0,1081.0,2.0,245.0,221.0,202.0,546.0,546.0,21.0,48.0,71.0,99.0,195.0,14.0,0.0,417.0,802.0,36.0,59.0,231.0,87.0,18.0,64.0,121.0,93.0,363554.7038574219,621.0,1001.0,20.0,102.0,69.0,1111.0,5.0,40.0,23.0,2.0,46.0,14.0,1744.0,115.0,77.0,77.0,52.0,7.0,55.0,29.0,28.0,17.0,6.0,13.0,,18.0,2.0,1.0,,1.0,2.0,1.0,2.0,3.0,,3.0,6.0,8.0,9.0,6.0,8.0,1.0,,4.0,,,1.0,,,2.0,5.0,8.0,4.0,11.0,,,11.0,6.0,3.0,3.0,3.0,,,,0.0,8.0,,1.0,,,1.0,2.0,19.0,10.0,16.0,34.0,4.0,2.0,,1.0,,1.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,1.0,,1.0,,4.0,,,2.0,31.0,,,11.0,,,1.0,28.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
3547,79,220.0,31.0,479.0,,24.0,23.0,698.0,2.0,7.0,7.0,20.0,11.0,100.0,62.0,6.0,9.0,12.0,2.0,,2.0,12.0,2.0,2.0,4.0,,2.0,3.0,9.0,,12.0,,1.0,3.0,1.0,112.0,101.0,1.0,14.0,6.0,16.0,2.0,,3.0,25.0,5.0,73.0,104.0,5.0,4.0,93.0,15.0,200.0,12.0,1.0,16.0,15.0,,4.0,24.0,8.0,8.0,274.0,77.0,55.0,4.0,,1187.0,2.0,13.0,5.0,791.0,2.0,82.0,82.0,41.0,183.0,183.0,7.0,41.0,53.0,14.0,222.0,4.0,,259.0,682.0,8.0,15.0,236.0,67.0,5.0,55.0,3.0,3.0,141834.33947753906,332.0,575.0,4.0,26.0,44.0,808.0,2.0,15.0,2.0,8.0,15.0,9.0,1035.0,24.0,24.0,24.0,37.0,11.0,45.0,10.0,1.0,1.0,,2.0,,4.0,,,,,,,,,,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,1.0,2.0,4.0,,,,,,1.0,3.0,2.0,3.0,,,1.0,,6.0,,2.0,,1.0,,,2.0,1.0,2.0,3.0,6.0,1.0,,1.0,,0.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24214,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19680,79,122.0,12.0,349.0,0.0,92.0,11.0,471.0,3.0,45.0,21.0,29.0,18.0,64.0,46.0,50.0,6.0,15.0,10.0,,7.0,7.0,2.0,4.0,2.0,,3.0,1.0,6.0,1.0,50.0,7.0,16.0,39.0,9.0,219.0,53.0,13.0,32.0,9.0,19.0,4.0,2.0,,26.0,3.0,126.0,86.0,6.0,4.0,32.0,28.0,88.0,19.0,13.0,12.0,8.0,13.0,4.0,35.0,8.0,8.0,115.0,14.0,10.0,1.0,2.0,1671.0,6.0,12.0,33.0,567.0,0.0,111.0,62.0,28.0,207.0,207.0,11.0,8.0,34.0,32.0,169.0,14.0,2.0,190.0,448.0,16.0,19.0,141.0,15.0,6.0,37.0,2.0,2.0,189710.80932617188,273.0,452.0,0.0,106.0,15.0,591.0,,56.0,14.0,10.0,23.0,7.0,860.0,130.0,43.0,43.0,18.0,25.0,24.0,15.0,,,6.0,3.0,,21.0,2.0,0.0,3.0,2.0,5.0,4.0,2.0,5.0,2.0,10.0,13.0,9.0,19.0,3.0,2.0,1.0,1.0,4.0,,,,,1.0,1.0,7.0,4.0,13.0,,,,,4.0,3.0,2.0,3.0,4.0,3.0,,,3.0,,,2.0,,2.0,2.0,19.0,15.0,3.0,14.0,6.0,,2.0,,3.0,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,3.0,1.0,,,3.0,0.0,,,,2.0,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,
13477,79,33.0,1.0,38.0,,,6.0,71.0,,,0.0,3.0,,18.0,17.0,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,2.0,,1.0,,1.0,3.0,2.0,,3.0,6.0,2.0,1.0,12.0,,25.0,2.0,,9.0,5.0,,1.0,3.0,1.0,1.0,6.0,11.0,10.0,3.0,1.0,162.0,,,,81.0,,30.0,,4.0,22.0,22.0,,4.0,2.0,2.0,29.0,,,16.0,71.0,1.0,,39.0,6.0,2.0,1.0,4.0,4.0,18555.25073242188,20.0,46.0,2.0,,10.0,81.0,,,1.0,1.0,5.0,,112.0,,5.0,5.0,,,1.0,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,4.0,,,,,,,1.0,,,1.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14778,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14758,79,2.0,,5.0,,1.0,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,6.0,,,,8.0,,,4.0,,1.0,1.0,,,,1.0,1.0,,,2.0,7.0,,,2.0,,,,,,1273.10571289062,3.0,6.0,,1.0,,8.0,,,,1.0,,,8.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
