id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,red_card,wins,yellow_card,own_goals
1166,8,,,,,,,,,,
775,8,18.0,5.0,4.0,,,8.0,,6.0,1.0,
1546,8,29.0,9.0,10.0,2.0,,12.0,,7.0,10.0,1.0
1351,8,2.0,0.0,,,,1.0,,1.0,,
616,8,27.0,3.0,4.0,,,20.0,,3.0,,
80,8,20.0,4.0,4.0,3.0,2.0,8.0,,8.0,1.0,
1723,8,,,,,,,,,,
1682,8,11.0,3.0,3.0,3.0,3.0,2.0,,6.0,,
1301,8,,,,,,,,,,
776,8,34.0,6.0,7.0,3.0,3.0,13.0,,14.0,5.0,1.0
1500,8,,,,,,,,,,
1240,8,31.0,5.0,11.0,5.0,5.0,11.0,,9.0,1.0,
1534,8,1.0,0.0,,,,1.0,,,,
1727,8,29.0,6.0,8.0,6.0,6.0,9.0,1.0,12.0,9.0,
1067,8,2.0,0.0,,,,,,2.0,,
1464,8,20.0,2.0,7.0,,,5.0,,8.0,2.0,
1634,8,8.0,1.0,1.0,1.0,2.0,2.0,,5.0,,
1151,8,33.0,8.0,11.0,4.0,7.0,8.0,,14.0,,
1236,8,21.0,5.0,5.0,,,11.0,,5.0,,
25,8,26.0,8.0,9.0,12.0,6.0,7.0,,10.0,2.0,
1690,8,7.0,0.0,,2.0,,4.0,,3.0,,
396,8,4.0,0.0,,,,1.0,,3.0,1.0,1.0
1713,8,33.0,1.0,8.0,9.0,1.0,8.0,,17.0,7.0,
1558,8,35.0,11.0,13.0,2.0,2.0,11.0,1.0,11.0,3.0,
1687,8,33.0,4.0,7.0,2.0,3.0,16.0,1.0,10.0,9.0,
1494,8,1.0,0.0,,,,1.0,,,,
961,8,20.0,4.0,4.0,1.0,1.0,10.0,,6.0,5.0,
1619,8,8.0,2.0,1.0,,,4.0,1.0,3.0,2.0,
627,8,6.0,0.0,1.0,4.0,1.0,3.0,,2.0,1.0,
1553,8,21.0,2.0,7.0,5.0,2.0,11.0,,3.0,2.0,
1559,8,35.0,7.0,13.0,2.0,1.0,12.0,1.0,10.0,4.0,
1557,8,9.0,0.0,3.0,,,3.0,,3.0,1.0,
1442,8,,,,,,,,,,
1146,8,,,,,,,,,,
1800,8,,,,,,,,,,
1764,8,,,,,,,,,,
1284,8,34.0,3.0,11.0,9.0,6.0,16.0,,7.0,2.0,
