id,year_id,appearances,clean_sheet,losses,wins,draws,goals,yellow_card,goal_assist,own_goals,red_card
2225,13,26.0,1.0,11.0,8.0,7.0,2.0,,,,
2064,13,29.0,6.0,4.0,18.0,7.0,11.0,7.0,2.0,,
1598,13,14.0,3.0,3.0,6.0,5.0,1.0,,2.0,,
2681,13,38.0,6.0,19.0,7.0,12.0,,1.0,9.0,,
2219,13,,,,,,,,,,
2745,13,,,,,,,,,,
2776,13,,,,,,,,,,
1513,13,,,,,,,,,,
706,13,27.0,5.0,9.0,7.0,11.0,4.0,8.0,3.0,,
2183,13,,,,,,,,,,
2247,13,,,,,,,,,,
2694,13,,,,,,,,,,
2161,13,,,,,,,,,,
1833,13,,,,,,,,,,
1505,13,35.0,11.0,13.0,12.0,10.0,,6.0,,,
336,13,33.0,10.0,5.0,18.0,10.0,9.0,3.0,3.0,,1.0
2380,13,3.0,0.0,2.0,,1.0,,,,,
1980,13,,,,,,,,,,
2766,13,11.0,3.0,6.0,4.0,1.0,,1.0,,,
2774,13,18.0,2.0,10.0,5.0,3.0,1.0,4.0,,,
660,13,33.0,3.0,14.0,4.0,15.0,,3.0,3.0,,
2780,13,4.0,0.0,3.0,,1.0,1.0,,,,
2046,13,,,,,,,,,,
2207,13,,,,,,,,,,
2730,13,,,,,,,,,,
2508,13,,,,,,,,,,
1959,13,25.0,3.0,12.0,6.0,7.0,6.0,3.0,3.0,,1.0
1934,13,34.0,9.0,10.0,12.0,12.0,10.0,,4.0,,
2412,13,13.0,7.0,1.0,9.0,3.0,,1.0,,,
2718,13,29.0,4.0,11.0,14.0,4.0,8.0,6.0,4.0,,
1529,13,17.0,3.0,8.0,4.0,5.0,1.0,,,,
1497,13,26.0,2.0,5.0,15.0,6.0,10.0,2.0,8.0,,
2277,13,,,,,,,,,,
1246,13,34.0,7.0,15.0,6.0,13.0,,4.0,,,
1306,13,31.0,5.0,14.0,11.0,6.0,8.0,7.0,9.0,,
2650,13,,,,,,,,,,
1218,13,31.0,9.0,9.0,13.0,9.0,,,,,
2617,13,,,,,,,,,,
2567,13,1.0,0.0,1.0,,,,,,,
2454,13,36.0,23.0,1.0,28.0,7.0,1.0,6.0,2.0,,
2129,13,,,,,,,,,,
2450,13,,,,,,,,,,
1215,13,23.0,2.0,10.0,8.0,5.0,1.0,,3.0,,
2078,13,26.0,4.0,12.0,9.0,5.0,6.0,,6.0,,
1042,13,20.0,7.0,6.0,7.0,7.0,1.0,3.0,1.0,,
1915,13,,,,,,,,,,
2324,13,,,,,,,,,,
2359,13,5.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,,
2391,13,,,,,,,,,,
146,13,32.0,13.0,9.0,17.0,6.0,,,,,
2222,13,,,,,,,,,,
2402,13,31.0,4.0,16.0,9.0,6.0,6.0,,4.0,,
2556,13,,,,,,,,,,
1003,13,2.0,0.0,1.0,1.0,,,,,,
1380,13,37.0,1.0,19.0,6.0,12.0,7.0,5.0,4.0,,
2828,13,,,,,,,,,,
2751,13,13.0,3.0,2.0,6.0,5.0,,2.0,,,
259,13,28.0,9.0,12.0,6.0,10.0,,7.0,1.0,,
2340,13,,,,,,,,,,
1438,13,,,,,,,,,,
2798,13,,,,,,,,,,
2460,13,23.0,0.0,10.0,9.0,4.0,1.0,1.0,,,
2720,13,,,,,,,,,,
2738,13,,,,,,,,,,
2319,13,,,,,,,,,,
271,13,13.0,1.0,5.0,4.0,4.0,,1.0,,,
1278,13,17.0,0.0,6.0,2.0,9.0,1.0,,,,
2331,13,,,,,,,,,,
2956,13,,,,,,,,,,
2379,13,,,,,,,,,,
2528,13,7.0,0.0,1.0,3.0,3.0,,1.0,1.0,,
2740,13,8.0,0.0,1.0,4.0,3.0,,,,,
2012,13,30.0,9.0,11.0,11.0,8.0,3.0,6.0,1.0,,
2807,13,,,,,,,,,,
2420,13,,,,,,,,,,
2286,13,9.0,0.0,3.0,5.0,1.0,2.0,,,,
1677,13,34.0,6.0,13.0,9.0,12.0,1.0,3.0,1.0,,
2815,13,9.0,0.0,3.0,4.0,2.0,2.0,1.0,,,
2503,13,,,,,,,,,,
2637,13,16.0,7.0,6.0,5.0,5.0,,5.0,1.0,,
2362,13,,,,,,,,,,
2100,13,25.0,2.0,6.0,8.0,11.0,1.0,,1.0,,
2432,13,,,,,,,,,,
2785,13,11.0,0.0,6.0,2.0,3.0,,,,,
2724,13,13.0,1.0,5.0,5.0,3.0,3.0,1.0,,,
1842,13,1.0,0.0,1.0,,,,,,,
1384,13,26.0,1.0,11.0,8.0,7.0,4.0,4.0,2.0,,
2555,13,,,,,,,,,,
1213,13,10.0,0.0,6.0,1.0,3.0,,,,,
1423,13,38.0,11.0,16.0,12.0,10.0,3.0,5.0,7.0,,
2456,13,2.0,0.0,,1.0,1.0,,,1.0,,
2032,13,37.0,8.0,11.0,16.0,10.0,,4.0,2.0,,1.0
2636,13,19.0,6.0,7.0,6.0,6.0,4.0,1.0,3.0,,
2691,13,,,,,,,,,,
2625,13,10.0,0.0,2.0,4.0,4.0,,4.0,,,
2741,13,,,,,,,,,,
2731,13,14.0,3.0,3.0,5.0,6.0,3.0,,2.0,,
2755,13,14.0,2.0,7.0,3.0,4.0,,2.0,1.0,,
1944,13,,,,,,,,,,
2088,13,,,,,,,,,,
2794,13,16.0,1.0,7.0,2.0,7.0,,,1.0,,
2804,13,27.0,11.0,9.0,11.0,7.0,1.0,4.0,,,
2018,13,36.0,13.0,14.0,8.0,14.0,1.0,8.0,2.0,,
2298,13,1.0,0.0,1.0,,,,,,,1.0
1367,13,2.0,0.0,1.0,,1.0,,,,,
2634,13,15.0,9.0,5.0,5.0,5.0,,2.0,,,
1882,13,11.0,0.0,3.0,6.0,2.0,,,,,1.0
2177,13,,,,,,,,,,
2040,13,36.0,5.0,10.0,16.0,10.0,4.0,5.0,2.0,,
2329,13,28.0,5.0,15.0,4.0,9.0,,,,,
2550,13,24.0,2.0,15.0,3.0,6.0,2.0,3.0,2.0,,
2717,13,18.0,1.0,5.0,8.0,5.0,,2.0,,,
1927,13,1.0,0.0,,,1.0,,,,,
1693,13,1.0,0.0,1.0,,,,,,,
2647,13,1.0,0.0,,1.0,,,,,,
2123,13,31.0,1.0,9.0,11.0,11.0,4.0,1.0,3.0,,
2660,13,2.0,0.0,,1.0,1.0,,,,,
2821,13,,,,,,,,,,
1717,13,23.0,6.0,2.0,16.0,5.0,2.0,1.0,1.0,2.0,
2640,13,10.0,0.0,3.0,5.0,2.0,,3.0,,,
2728,13,17.0,3.0,2.0,8.0,7.0,,,,,
2133,13,9.0,0.0,5.0,,4.0,,1.0,,,
2209,13,31.0,1.0,11.0,12.0,8.0,6.0,2.0,2.0,,
2419,13,1.0,0.0,,1.0,,,,,,
1887,13,29.0,4.0,10.0,14.0,5.0,6.0,3.0,2.0,,
2628,13,,,,,,,,,,
2278,13,,,,,,,,,,
2073,13,,,,,,,,,,
89,13,28.0,4.0,11.0,7.0,10.0,7.0,,,,
1037,13,14.0,2.0,7.0,2.0,5.0,1.0,1.0,,,1.0
116,13,1.0,0.0,1.0,,,,,,,
1849,13,,,,,,,,,,
1962,13,31.0,1.0,13.0,7.0,11.0,2.0,3.0,1.0,,1.0
2288,13,16.0,2.0,6.0,7.0,3.0,2.0,1.0,,,
1719,13,35.0,16.0,5.0,20.0,10.0,2.0,2.0,1.0,,1.0
2146,13,,,,,,,,,,
741,13,4.0,0.0,3.0,1.0,,1.0,,,,
2786,13,13.0,0.0,7.0,3.0,3.0,,2.0,,,
2452,13,16.0,1.0,,13.0,3.0,,2.0,,,
2513,13,35.0,7.0,12.0,12.0,11.0,4.0,3.0,1.0,,
2411,13,,,,,,,,,,
2414,13,,,,,,,,,,
2721,13,,,,,,,,,,
1597,13,36.0,4.0,14.0,11.0,11.0,8.0,6.0,5.0,,
2295,13,1.0,0.0,1.0,,,,,,,
2392,13,,,,,,,,,,
1217,13,,,,,,,,,,
2334,13,,,,,,,,,,
2675,13,20.0,5.0,6.0,6.0,8.0,,3.0,,,2.0
153,13,36.0,11.0,10.0,14.0,12.0,,4.0,2.0,,
2518,13,3.0,1.0,,,3.0,,,,,
2416,13,,,,,,,,,,
1711,13,10.0,0.0,4.0,5.0,1.0,,1.0,,,
2436,13,29.0,3.0,10.0,6.0,13.0,2.0,6.0,1.0,,
2004,13,,,,,,,,,,
2664,13,6.0,0.0,5.0,,1.0,,,,,
2113,13,,,,,,,,,,
2690,13,,,,,,,,,,
2677,13,,,,,,,,,,
1095,13,32.0,3.0,17.0,9.0,6.0,,4.0,,1.0,
239,13,38.0,7.0,12.0,16.0,10.0,1.0,1.0,5.0,,
1828,13,,,,,,,,,,
1721,13,,,,,,,,,,
1974,13,17.0,4.0,6.0,7.0,4.0,2.0,,,,
111,13,12.0,1.0,8.0,3.0,1.0,,4.0,1.0,,
1017,13,31.0,9.0,9.0,16.0,6.0,1.0,1.0,,,
1751,13,36.0,11.0,13.0,12.0,11.0,,1.0,,,
2290,13,,,,,,,,,,
1853,13,22.0,0.0,9.0,6.0,7.0,4.0,1.0,3.0,,
2338,13,,,,,,,,,,
1055,13,,,,,,,,,,
1295,13,,,,,,,,,,
2439,13,,,,,,,,,,
1242,13,38.0,9.0,15.0,11.0,12.0,,,,,
2184,13,15.0,2.0,6.0,8.0,1.0,,2.0,,,
2045,13,,,,,,,,,,
2008,13,24.0,3.0,10.0,9.0,5.0,3.0,3.0,2.0,,
880,13,,,,,,,,,,
1353,13,36.0,25.0,1.0,28.0,7.0,3.0,7.0,1.0,,
2296,13,6.0,1.0,3.0,2.0,1.0,,,,,
2682,13,,,,,,,,,,
1749,13,,,,,,,,,,
1033,13,30.0,3.0,15.0,6.0,9.0,,2.0,2.0,,
1282,13,18.0,4.0,5.0,7.0,6.0,,2.0,,,
2656,13,34.0,6.0,1.0,25.0,8.0,4.0,4.0,3.0,,
1942,13,,,,,,,,,,
2712,13,,,,,,,,,,
356,13,26.0,14.0,7.0,8.0,11.0,1.0,4.0,,,
2217,13,,,,,,,,,,
2024,13,21.0,2.0,8.0,5.0,8.0,,6.0,1.0,,1.0
2224,13,1.0,0.0,,,1.0,,,,,
181,13,15.0,2.0,7.0,5.0,3.0,2.0,4.0,3.0,1.0,
2309,13,,,,,,,,,,
1571,13,26.0,2.0,11.0,12.0,3.0,,1.0,1.0,,
2228,13,,,,,,,,,,
2308,13,,,,,,,,,,
2117,13,17.0,2.0,3.0,9.0,5.0,6.0,1.0,1.0,,
2070,13,34.0,7.0,16.0,10.0,8.0,,4.0,,,
2707,13,2.0,0.0,1.0,1.0,,1.0,,,,
2116,13,,,,,,,,,,
2795,13,6.0,1.0,3.0,,3.0,,,,,
2333,13,,,,,,,,,,
2763,13,,,,,,,,,,
1309,13,21.0,2.0,7.0,6.0,8.0,2.0,,1.0,,
2626,13,,,,,,,,,,
1984,13,,,,,,,,,,
1131,13,36.0,9.0,13.0,11.0,12.0,2.0,5.0,1.0,,
2697,13,3.0,0.0,2.0,,1.0,1.0,1.0,,,
2693,13,12.0,0.0,6.0,1.0,5.0,,1.0,,,
1909,13,16.0,1.0,4.0,9.0,3.0,5.0,,1.0,,
2616,13,26.0,1.0,3.0,16.0,7.0,5.0,2.0,,,1.0
2552,13,,,,,,,,,,
2229,13,,,,,,,,,,
1132,13,32.0,13.0,5.0,20.0,7.0,6.0,9.0,6.0,,
922,13,20.0,6.0,6.0,5.0,9.0,1.0,1.0,,,
1830,13,31.0,7.0,14.0,12.0,5.0,,5.0,1.0,1.0,
2759,13,1.0,0.0,1.0,,,,,,,
2279,13,19.0,1.0,4.0,11.0,4.0,,1.0,1.0,,
2710,13,,,,,,,,,,
2825,13,,,,,,,,,,
1179,13,,,,,,,,,,
2536,13,,,,,,,,,,
2686,13,21.0,3.0,10.0,5.0,6.0,,3.0,,,
2652,13,1.0,0.0,,,1.0,,,,,
1558,13,34.0,12.0,12.0,15.0,7.0,1.0,3.0,1.0,,
2166,13,,,,,,,,,,
958,13,7.0,0.0,3.0,1.0,3.0,1.0,,1.0,,
2683,13,22.0,2.0,11.0,3.0,8.0,,4.0,2.0,,
406,13,23.0,2.0,10.0,7.0,6.0,3.0,1.0,1.0,,
1206,13,24.0,4.0,8.0,7.0,9.0,,2.0,3.0,,1.0
2242,13,,,,,,,,,,
