id,year_id,appearances,clean_sheet,losses,wins,draws,goals,yellow_card,goal_assist,own_goals,red_card
1740,13,23.0,2.0,7.0,6.0,10.0,4.0,,,,1.0
1080,13,17.0,3.0,8.0,5.0,4.0,,,,,
1426,13,21.0,3.0,11.0,4.0,6.0,1.0,,,2.0,
2122,13,35.0,9.0,10.0,12.0,13.0,5.0,1.0,11.0,,
2196,13,29.0,3.0,10.0,6.0,13.0,3.0,2.0,3.0,,
1082,13,37.0,4.0,18.0,7.0,12.0,6.0,,6.0,,
2425,13,,,,,,,,,,
2772,13,27.0,3.0,12.0,4.0,11.0,,,1.0,,
2788,13,,,,,,,,,,
890,13,36.0,6.0,16.0,5.0,15.0,,1.0,,,
1184,13,35.0,11.0,11.0,12.0,12.0,2.0,5.0,3.0,2.0,1.0
1371,13,34.0,11.0,13.0,12.0,9.0,1.0,4.0,3.0,,
9436,13,,,,,,,,,,
2074,13,7.0,0.0,6.0,,1.0,1.0,1.0,,,
2187,13,17.0,1.0,8.0,5.0,4.0,1.0,1.0,,,
1824,13,,,,,,,,,,
1840,13,28.0,4.0,9.0,10.0,9.0,2.0,1.0,2.0,,
1881,13,36.0,13.0,11.0,18.0,7.0,,9.0,1.0,,
1004,13,30.0,7.0,1.0,23.0,6.0,6.0,1.0,7.0,,
2202,13,,,,,,,,,,
2641,13,29.0,1.0,9.0,13.0,7.0,1.0,3.0,1.0,1.0,
2538,13,,,,,,,,,,
2830,13,5.0,0.0,3.0,,2.0,,,,,
2746,13,,,,,,,,,,
2170,13,,,,,,,,,,
2109,13,24.0,5.0,8.0,11.0,5.0,,,,,
2163,13,5.0,0.0,2.0,2.0,1.0,,,,,
2516,13,12.0,4.0,3.0,4.0,5.0,,,,,
1342,13,36.0,8.0,11.0,16.0,9.0,,1.0,,,1.0
2053,13,10.0,1.0,,8.0,2.0,,,,,
2208,13,27.0,3.0,9.0,11.0,7.0,,4.0,,,
2643,13,27.0,2.0,8.0,10.0,9.0,5.0,2.0,1.0,1.0,
2806,13,2.0,1.0,,1.0,1.0,,,,,
2031,13,29.0,5.0,9.0,12.0,8.0,,5.0,3.0,1.0,
1381,13,7.0,0.0,2.0,2.0,3.0,2.0,,,,
1710,13,32.0,5.0,13.0,14.0,5.0,2.0,2.0,,,
2739,13,,,,,,,,,,
2005,13,3.0,0.0,1.0,,2.0,,,,,
177,13,,,,,,,,,,
2325,13,,,,,,,,,,
960,13,27.0,3.0,9.0,9.0,9.0,,,,,
2659,13,14.0,1.0,,10.0,4.0,,1.0,,,
1952,13,23.0,1.0,9.0,7.0,7.0,4.0,,1.0,,
670,13,10.0,1.0,4.0,2.0,4.0,1.0,3.0,1.0,,1.0
2789,13,25.0,0.0,14.0,6.0,5.0,4.0,3.0,,,
2773,13,28.0,0.0,14.0,4.0,10.0,,2.0,2.0,,1.0
2199,13,5.0,1.0,,,5.0,,1.0,,,
2523,13,,,,,,,,,,
1049,13,18.0,0.0,6.0,7.0,5.0,1.0,,2.0,,
2606,13,,,,,,,,,,
2193,13,3.0,0.0,2.0,1.0,,,,,,
2615,13,,,,,,,,,,
2642,13,5.0,0.0,,,,,,,,
1072,13,,,,,,,,,,
2716,13,15.0,1.0,6.0,5.0,4.0,,5.0,1.0,,1.0
407,13,31.0,13.0,4.0,19.0,8.0,1.0,9.0,2.0,,
1193,13,4.0,0.0,2.0,1.0,1.0,,,,,
1502,13,28.0,0.0,12.0,3.0,13.0,2.0,2.0,,,
1402,13,20.0,1.0,9.0,7.0,4.0,3.0,2.0,3.0,,
2793,13,27.0,5.0,11.0,4.0,12.0,2.0,1.0,,3.0,
2017,13,22.0,5.0,8.0,6.0,8.0,,2.0,,,
2127,13,31.0,3.0,11.0,9.0,11.0,1.0,4.0,3.0,,
2560,13,9.0,1.0,3.0,1.0,5.0,,3.0,,,
2753,13,1.0,0.0,,,1.0,,,,,
1681,13,,,,,,,,,,
2824,13,4.0,0.0,3.0,1.0,,,,,,
1210,13,3.0,0.0,2.0,1.0,,,2.0,,,
1336,13,36.0,7.0,14.0,10.0,12.0,,7.0,1.0,,2.0
2646,13,1.0,0.0,1.0,,,,,,,
2661,13,25.0,0.0,1.0,18.0,6.0,4.0,3.0,,,
1848,13,36.0,12.0,14.0,12.0,10.0,,,,,
2427,13,,,,,,,,,,
1627,13,38.0,13.0,14.0,14.0,10.0,2.0,2.0,,,
1249,13,35.0,5.0,11.0,14.0,10.0,8.0,5.0,2.0,,
252,13,38.0,11.0,12.0,13.0,13.0,,,,,
1805,13,32.0,3.0,12.0,12.0,8.0,7.0,2.0,6.0,,1.0
1757,13,38.0,11.0,13.0,18.0,7.0,1.0,3.0,3.0,,
2791,13,2.0,0.0,1.0,,1.0,,,,,
1359,13,10.0,1.0,4.0,4.0,2.0,,,,,
2665,13,32.0,10.0,14.0,7.0,11.0,,3.0,1.0,,
2757,13,25.0,1.0,10.0,6.0,9.0,6.0,3.0,1.0,,
1850,13,31.0,7.0,13.0,10.0,8.0,,4.0,1.0,,
2519,13,8.0,0.0,1.0,2.0,5.0,,1.0,1.0,,
2221,13,,,,,,,,,,
1864,13,,,,,,,,,,
2075,13,35.0,7.0,17.0,11.0,7.0,1.0,3.0,,2.0,1.0
2002,13,35.0,15.0,4.0,23.0,8.0,,1.0,,,
1515,13,28.0,3.0,13.0,10.0,5.0,1.0,3.0,2.0,,
2631,13,,,,,,,,,,
2684,13,23.0,1.0,14.0,3.0,6.0,3.0,1.0,2.0,,
2382,13,10.0,0.0,6.0,,4.0,,1.0,1.0,,
800,13,38.0,25.0,1.0,29.0,8.0,13.0,6.0,18.0,,
2688,13,18.0,1.0,10.0,4.0,4.0,,,1.0,,1.0
2818,13,3.0,1.0,,1.0,2.0,,,,,
2666,13,,,,,,,,,,
1831,13,33.0,15.0,3.0,24.0,6.0,1.0,4.0,4.0,,
2619,13,12.0,3.0,5.0,4.0,3.0,1.0,3.0,,,
1114,13,20.0,2.0,8.0,7.0,5.0,,1.0,1.0,,
2076,13,,,,,,,,,,
2668,13,20.0,5.0,9.0,4.0,7.0,1.0,3.0,,,
2205,13,,,,,,,,,,
2613,13,,,,,,,,,,
2761,13,,,,,,,,,,
2317,13,,,,,,,,,,
2803,13,28.0,9.0,10.0,8.0,10.0,1.0,2.0,2.0,,
