id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,own_goals,red_card
509,5,16.0,4.0,7.0,1.0,6.0,3.0,1.0,,,
243,5,32.0,9.0,9.0,1.0,6.0,17.0,11.0,1.0,,1.0
1266,5,,,,,,,,,,
331,5,36.0,11.0,12.0,8.0,5.0,19.0,6.0,8.0,,
710,5,19.0,8.0,6.0,,2.0,11.0,4.0,3.0,,
194,5,25.0,5.0,6.0,5.0,7.0,12.0,3.0,4.0,,
1005,5,1.0,0.0,,,1.0,,,,,
523,5,18.0,5.0,5.0,,6.0,7.0,3.0,,,1.0
1227,5,25.0,3.0,7.0,5.0,11.0,7.0,,3.0,,
471,5,12.0,7.0,3.0,,5.0,4.0,5.0,1.0,,
327,5,2.0,0.0,1.0,,,1.0,,,,
1205,5,23.0,2.0,4.0,6.0,8.0,11.0,,2.0,,
74,5,36.0,10.0,14.0,2.0,13.0,9.0,2.0,,1.0,
1247,5,28.0,2.0,8.0,4.0,11.0,9.0,4.0,7.0,,
991,5,29.0,8.0,9.0,12.0,8.0,12.0,5.0,9.0,,1.0
1112,5,35.0,9.0,12.0,2.0,15.0,8.0,10.0,,,
795,5,29.0,7.0,10.0,1.0,11.0,8.0,3.0,,,
260,5,38.0,12.0,11.0,2.0,8.0,19.0,2.0,8.0,,
810,5,,,,,,,,,,
325,5,16.0,3.0,5.0,2.0,5.0,6.0,1.0,,,1.0
136,5,1.0,0.0,,,1.0,,,,,
942,5,23.0,8.0,9.0,2.0,8.0,6.0,6.0,1.0,,
1098,5,33.0,3.0,12.0,1.0,9.0,12.0,6.0,4.0,,
1048,5,1.0,0.0,,,1.0,,,,,
589,5,27.0,5.0,10.0,,7.0,10.0,2.0,2.0,,
400,5,7.0,0.0,3.0,,3.0,1.0,2.0,,,
44,5,,,,,,,,,,
403,5,1.0,0.0,,,1.0,,,,,
1115,5,,,,,,,,,,
130,5,23.0,2.0,9.0,,10.0,4.0,3.0,,,1.0
1241,5,35.0,6.0,15.0,10.0,8.0,12.0,3.0,3.0,,
32,5,20.0,10.0,6.0,,7.0,7.0,2.0,1.0,,
1281,5,1.0,0.0,,,,1.0,,,,
722,5,38.0,11.0,10.0,,18.0,10.0,3.0,3.0,,
1190,5,32.0,16.0,13.0,4.0,9.0,10.0,7.0,5.0,,
9,5,33.0,13.0,10.0,,7.0,16.0,6.0,,,
376,5,17.0,3.0,3.0,1.0,8.0,6.0,2.0,,,
1085,5,,,,,,,,,,
1043,5,25.0,1.0,7.0,3.0,12.0,6.0,2.0,2.0,,
749,5,6.0,1.0,2.0,,1.0,3.0,,,,
318,5,2.0,0.0,,,,2.0,,,,
109,5,31.0,5.0,8.0,2.0,9.0,14.0,3.0,2.0,,
1074,5,2.0,0.0,,,2.0,,,,,
789,5,25.0,4.0,8.0,,11.0,6.0,2.0,1.0,,
852,5,,,,,,,,,,
808,5,6.0,0.0,1.0,1.0,4.0,1.0,,,,
1175,5,24.0,5.0,8.0,,10.0,6.0,2.0,,,
342,5,36.0,14.0,11.0,11.0,5.0,20.0,5.0,12.0,,
915,5,2.0,1.0,1.0,1.0,,1.0,1.0,,,
332,5,26.0,8.0,6.0,5.0,4.0,16.0,5.0,2.0,,
398,5,32.0,8.0,14.0,,12.0,6.0,3.0,1.0,,
779,5,,,,,,,,,,
1252,5,29.0,7.0,6.0,,15.0,8.0,2.0,,,
396,5,,,,,,,,,,
1211,5,,,,,,,,,,
1186,5,1.0,0.0,,,1.0,,,,,
587,5,37.0,11.0,11.0,1.0,12.0,14.0,1.0,,,
989,5,28.0,10.0,8.0,4.0,5.0,15.0,5.0,1.0,,
1161,5,4.0,0.0,1.0,,1.0,2.0,,1.0,,
1099,5,,,,,,,,,,
362,5,,,,,,,,,,
1212,5,22.0,3.0,4.0,3.0,3.0,15.0,1.0,3.0,,
755,5,27.0,5.0,9.0,,12.0,6.0,2.0,2.0,,
671,5,,,,,,,,,,
1240,5,25.0,3.0,13.0,6.0,4.0,8.0,3.0,6.0,,
256,5,18.0,1.0,6.0,,8.0,4.0,5.0,1.0,1.0,
