id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,own_goals,red_card
335,5,26.0,8.0,8.0,3.0,1.0,17.0,2.0,6.0,,
1180,5,14.0,1.0,6.0,,6.0,2.0,1.0,1.0,,
1143,5,21.0,4.0,7.0,,8.0,6.0,1.0,,,1.0
388,5,25.0,6.0,4.0,1.0,13.0,8.0,1.0,3.0,,
809,5,36.0,5.0,11.0,8.0,10.0,15.0,2.0,4.0,,
416,5,5.0,2.0,1.0,,2.0,2.0,,,,
851,5,2.0,1.0,1.0,,1.0,,,,,
321,5,31.0,12.0,9.0,1.0,4.0,18.0,4.0,3.0,,
1066,5,,,,,,,,,,
974,5,13.0,1.0,2.0,1.0,8.0,3.0,,,,
897,5,36.0,9.0,10.0,,14.0,12.0,5.0,2.0,,
1133,5,,,,,,,,,,
685,5,18.0,2.0,7.0,,7.0,4.0,3.0,,,
1144,5,5.0,2.0,1.0,,2.0,2.0,,1.0,,
1006,5,2.0,0.0,,,2.0,,,,,
329,5,32.0,4.0,11.0,1.0,7.0,14.0,1.0,2.0,,1.0
839,5,1.0,1.0,,,,1.0,,,,
423,5,20.0,12.0,11.0,,5.0,4.0,2.0,,,
938,5,35.0,7.0,14.0,6.0,15.0,6.0,4.0,,,
1231,5,,,,,,,,,,
860,5,13.0,4.0,4.0,,6.0,3.0,,2.0,,
1609,5,,,,,,,,,,
1147,5,,,,,,,,,,
844,5,29.0,6.0,10.0,8.0,5.0,15.0,11.0,3.0,,1.0
1127,5,6.0,2.0,,,4.0,2.0,,1.0,,
1201,5,13.0,3.0,5.0,,4.0,4.0,2.0,1.0,,
628,5,3.0,0.0,2.0,,1.0,,,,,
614,5,12.0,0.0,3.0,1.0,4.0,5.0,1.0,1.0,,
1028,5,12.0,1.0,5.0,1.0,4.0,3.0,1.0,,,
1223,5,,,,,,,,,,
254,5,7.0,0.0,3.0,,2.0,2.0,,,,
28,5,8.0,1.0,2.0,1.0,5.0,1.0,,,,
841,5,2.0,0.0,1.0,,1.0,,,,,
908,5,35.0,6.0,11.0,10.0,13.0,11.0,8.0,6.0,,
946,5,1.0,0.0,,,1.0,,,,,
365,5,22.0,3.0,6.0,4.0,10.0,6.0,3.0,3.0,,
898,5,7.0,0.0,2.0,,4.0,1.0,2.0,,,
179,5,18.0,5.0,7.0,1.0,4.0,7.0,2.0,9.0,,
75,5,35.0,11.0,14.0,1.0,12.0,9.0,4.0,,,
1045,5,14.0,4.0,1.0,2.0,8.0,5.0,2.0,,,
514,5,25.0,1.0,9.0,6.0,8.0,8.0,3.0,3.0,,1.0
848,5,4.0,0.0,1.0,,2.0,1.0,,,,
92,5,12.0,0.0,3.0,,2.0,7.0,,,,
18,5,2.0,0.0,,,1.0,1.0,,,,
1080,5,16.0,3.0,5.0,,3.0,8.0,,,,
1038,5,3.0,0.0,,,3.0,,,,,
603,5,24.0,2.0,7.0,5.0,8.0,9.0,,2.0,,
716,5,,,,,,,,,,
968,5,,,,,,,,,,
1255,5,,,,,,,,,,
793,5,,,,,,,,,,
560,5,32.0,11.0,7.0,2.0,14.0,11.0,7.0,2.0,,
1000,5,,,,,,,,,,
890,5,32.0,6.0,12.0,,12.0,8.0,,1.0,1.0,
1097,5,29.0,0.0,12.0,3.0,6.0,11.0,2.0,2.0,,
315,5,31.0,12.0,9.0,1.0,5.0,17.0,1.0,,,
505,5,19.0,6.0,8.0,2.0,3.0,8.0,3.0,,,
714,5,8.0,2.0,,1.0,2.0,6.0,,,,
925,5,8.0,0.0,1.0,,5.0,2.0,,,,
1277,5,16.0,3.0,4.0,6.0,7.0,5.0,1.0,3.0,,
842,5,14.0,3.0,3.0,1.0,4.0,7.0,1.0,,,
1082,5,25.0,4.0,7.0,5.0,10.0,8.0,2.0,2.0,,
1089,5,,,,,,,,,,
670,5,35.0,7.0,11.0,3.0,15.0,9.0,6.0,1.0,,
1036,5,1.0,0.0,,,1.0,,,,,
1196,5,16.0,4.0,6.0,4.0,5.0,5.0,3.0,1.0,,
177,5,,,,,,,,,,
35,5,38.0,19.0,10.0,3.0,11.0,17.0,4.0,3.0,,
252,5,38.0,12.0,11.0,,8.0,19.0,,,,
1156,5,,,,,,,,,,
1263,5,1.0,0.0,,,1.0,,1.0,,,
389,5,30.0,2.0,10.0,11.0,7.0,13.0,5.0,2.0,,
960,5,1.0,0.0,,,1.0,,,,,
1225,5,32.0,5.0,10.0,4.0,12.0,10.0,9.0,7.0,,
994,5,,,,,,,,,,
425,5,10.0,3.0,1.0,,6.0,3.0,2.0,,,
101,5,18.0,6.0,5.0,,5.0,8.0,3.0,1.0,,
1034,5,27.0,2.0,7.0,,14.0,6.0,1.0,,1.0,
1288,5,14.0,3.0,5.0,,6.0,3.0,6.0,,,
909,5,15.0,1.0,2.0,3.0,8.0,5.0,,,,
1044,5,,,,,,,,,,
1276,5,,,,,,,,,,
45,5,3.0,0.0,1.0,,1.0,1.0,,,,
1159,5,,,,,,,,,,
1118,5,7.0,1.0,1.0,2.0,4.0,2.0,,,,
849,5,20.0,2.0,6.0,4.0,7.0,7.0,4.0,2.0,,
1267,5,6.0,0.0,1.0,1.0,3.0,2.0,,,,
261,5,2.0,0.0,1.0,,,1.0,1.0,,,
324,5,20.0,6.0,7.0,4.0,7.0,6.0,,2.0,,
358,5,,,,,,,,,,
407,5,21.0,6.0,7.0,2.0,3.0,11.0,5.0,2.0,,1.0
171,5,,,,,,,,,,
1072,5,35.0,5.0,11.0,12.0,14.0,10.0,5.0,8.0,,
1283,5,6.0,0.0,3.0,,2.0,1.0,1.0,,,
1193,5,31.0,9.0,9.0,,11.0,11.0,,,,
1195,5,10.0,1.0,5.0,,2.0,3.0,,,,
524,5,37.0,9.0,14.0,,14.0,9.0,2.0,,,
14,5,33.0,14.0,9.0,1.0,7.0,17.0,6.0,2.0,,
1249,5,,,,,,,,,,
694,5,36.0,17.0,13.0,2.0,14.0,9.0,5.0,,,
222,5,,,,,,,,,,
916,5,5.0,0.0,2.0,,1.0,2.0,,,,
807,5,31.0,7.0,10.0,,8.0,13.0,3.0,3.0,,
928,5,17.0,3.0,6.0,8.0,6.0,5.0,2.0,2.0,,
1221,5,6.0,1.0,3.0,1.0,2.0,1.0,,,,
800,5,13.0,1.0,2.0,,7.0,4.0,1.0,,,
1049,5,1.0,0.0,1.0,,,,,,,
230,5,,,,,,,,,,
36,5,29.0,8.0,10.0,,12.0,7.0,3.0,,,
93,5,5.0,3.0,2.0,,,3.0,,,,
1204,5,15.0,3.0,4.0,,4.0,7.0,1.0,,,
673,5,,,,,,,,,,
498,5,,,,,,,,,,
1078,5,3.0,0.0,2.0,,1.0,,,1.0,,
