id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
2232,11,25.0,4.0,8.0,,,4.0,13.0,7.0,,
1504,11,12.0,3.0,3.0,,,5.0,4.0,1.0,,
1391,11,24.0,9.0,8.0,,1.0,6.0,10.0,3.0,,
2313,11,1.0,0.0,,,,1.0,,,,
1262,11,1.0,0.0,,,,1.0,,,,
2169,11,20.0,2.0,3.0,1.0,2.0,12.0,5.0,2.0,,
1924,11,,,,,,,,,,
1533,11,31.0,8.0,8.0,2.0,,6.0,17.0,6.0,1.0,
1451,11,18.0,2.0,3.0,9.0,3.0,9.0,6.0,2.0,,
2037,11,36.0,4.0,13.0,7.0,4.0,13.0,10.0,5.0,,
2057,11,,,,,,,,,,
2080,11,28.0,6.0,7.0,3.0,1.0,10.0,11.0,3.0,,
2185,11,32.0,2.0,8.0,3.0,1.0,12.0,12.0,3.0,,
2227,11,,,,,,,,,,
2315,11,,,,,,,,,,
2125,11,34.0,10.0,6.0,,1.0,14.0,14.0,7.0,,
528,11,15.0,5.0,3.0,,,4.0,8.0,1.0,,
2109,11,30.0,12.0,6.0,,,7.0,17.0,,,
2202,11,,,,,,,,,,
338,11,28.0,5.0,6.0,10.0,3.0,13.0,9.0,5.0,,1.0
1218,11,38.0,10.0,10.0,,,15.0,13.0,1.0,,
2246,11,25.0,5.0,5.0,1.0,1.0,13.0,7.0,2.0,,
2387,11,,,,,,,,,,
2194,11,16.0,2.0,2.0,5.0,,7.0,7.0,4.0,,
1837,11,,,,,,,,,,
1,11,28.0,8.0,7.0,,,4.0,17.0,,,
2285,11,26.0,3.0,8.0,1.0,1.0,6.0,12.0,3.0,,1.0
89,11,35.0,12.0,4.0,17.0,4.0,11.0,20.0,7.0,,
2223,11,,,,,,,,,,
903,11,,,,,,,,,,
2289,11,29.0,4.0,9.0,3.0,2.0,7.0,13.0,5.0,,
336,11,33.0,6.0,6.0,14.0,3.0,3.0,24.0,4.0,,
1037,11,27.0,10.0,9.0,1.0,,7.0,11.0,2.0,,
1770,11,15.0,0.0,2.0,1.0,,7.0,6.0,2.0,,
1931,11,3.0,0.0,1.0,,,2.0,,,,
2369,11,29.0,2.0,5.0,,1.0,19.0,5.0,4.0,,
2122,11,2.0,0.0,,,,1.0,1.0,,,
741,11,38.0,8.0,12.0,8.0,1.0,16.0,10.0,2.0,,
2241,11,,,,,,,,,,
1833,11,,,,,,,,,,
2038,11,,,,,,,,,,
669,11,14.0,2.0,1.0,,1.0,7.0,6.0,1.0,,
1962,11,28.0,2.0,4.0,5.0,2.0,9.0,15.0,2.0,,
1828,11,,,,,,,,,,
1908,11,,,,,,,,,,
2046,11,,,,,,,,,,
1711,11,21.0,0.0,8.0,,4.0,6.0,7.0,2.0,,
1597,11,31.0,2.0,4.0,7.0,6.0,9.0,18.0,1.0,,
2334,11,,,,,,,,,,
153,11,36.0,9.0,10.0,2.0,,14.0,12.0,3.0,,
2007,11,,,,,,,,,,
2036,11,,,,,,,,,,
2403,11,,,,,,,,,,
2263,11,,,,,,,,,,
1803,11,,,,,,,,,,
1934,11,31.0,6.0,5.0,1.0,3.0,15.0,11.0,2.0,,2.0
1217,11,37.0,5.0,8.0,9.0,6.0,5.0,24.0,4.0,,
2132,11,6.0,0.0,,,,3.0,3.0,,,
359,11,,,,,,,,,,
742,11,28.0,1.0,6.0,5.0,,18.0,4.0,6.0,,
1526,11,38.0,8.0,12.0,8.0,6.0,16.0,10.0,3.0,,
1004,11,26.0,8.0,10.0,9.0,5.0,7.0,9.0,3.0,,
1849,11,,,,,,,,,,
1719,11,34.0,10.0,7.0,1.0,6.0,4.0,23.0,2.0,,
2161,11,3.0,1.0,,,,1.0,2.0,,,
239,11,24.0,4.0,3.0,2.0,3.0,8.0,13.0,5.0,,
2396,11,,,,,,,,,,
2392,11,,,,,,,,,,
2295,11,14.0,4.0,2.0,1.0,,7.0,5.0,2.0,,
1554,11,2.0,0.0,1.0,,,1.0,,,,
1581,11,,,,,,,,,,
843,11,,,,,,,,,,
2004,11,,,,,,,,,,
2288,11,,,,,,,,,,
307,11,29.0,9.0,5.0,,,12.0,12.0,1.0,,
78,11,,,,,,,,,,
576,11,36.0,4.0,8.0,12.0,4.0,16.0,12.0,3.0,,
2146,11,1.0,0.0,,,,1.0,,,,
2023,11,1.0,0.0,,,,,1.0,,,
2384,11,31.0,0.0,7.0,5.0,,21.0,3.0,,,
1862,11,18.0,3.0,4.0,4.0,2.0,6.0,8.0,4.0,,
2314,11,5.0,2.0,1.0,,,3.0,1.0,1.0,,
1980,11,16.0,1.0,7.0,,2.0,8.0,1.0,2.0,1.0,
2113,11,,,,,,,,,,
1721,11,1.0,0.0,,,,,1.0,,,
1832,11,2.0,1.0,,,,,2.0,,,
406,11,,,,,,,,,,
1584,11,14.0,5.0,3.0,,,4.0,7.0,4.0,,
1974,11,,,,,,,,,,
2203,11,9.0,3.0,2.0,2.0,1.0,2.0,5.0,1.0,,
1075,11,,,,,,,,,,
1295,11,8.0,1.0,2.0,,,2.0,4.0,,,
2296,11,28.0,5.0,5.0,2.0,2.0,13.0,10.0,4.0,,1.0
583,11,,,,,,,,,,
1017,11,35.0,9.0,8.0,,,11.0,16.0,4.0,1.0,1.0
2338,11,,,,,,,,,,
2290,11,,,,,,,,,,
2077,11,5.0,0.0,1.0,,1.0,2.0,2.0,,,
111,11,4.0,0.0,1.0,,1.0,2.0,1.0,,,
2186,11,1.0,0.0,,,,1.0,,,,
1853,11,15.0,0.0,1.0,,1.0,8.0,6.0,3.0,,
1751,11,21.0,4.0,3.0,,,16.0,2.0,,,
2229,11,,,,,,,,,,
1883,11,,,,,,,,,,
880,11,21.0,3.0,4.0,1.0,,9.0,8.0,3.0,1.0,
1033,11,33.0,7.0,12.0,,,10.0,11.0,3.0,,
2406,11,,,,,,,,,,
1749,11,27.0,1.0,11.0,2.0,,8.0,8.0,,,
1353,11,20.0,5.0,4.0,3.0,2.0,3.0,13.0,3.0,,
2001,11,1.0,0.0,,,,,1.0,,,
2184,11,12.0,2.0,5.0,,,5.0,2.0,4.0,,1.0
847,11,13.0,3.0,6.0,,1.0,4.0,3.0,4.0,,
2045,11,,,,,,,,,,
1758,11,19.0,2.0,6.0,,,10.0,3.0,1.0,,
1206,11,23.0,4.0,8.0,4.0,3.0,8.0,7.0,6.0,,
1282,11,12.0,0.0,1.0,,,7.0,4.0,1.0,,
2308,11,,,,,,,,,,
2357,11,4.0,0.0,,,,3.0,1.0,,,
1941,11,,,,,,,,,,
2350,11,11.0,0.0,,1.0,,11.0,,,,
1935,11,13.0,3.0,2.0,,,4.0,7.0,3.0,,1.0
1942,11,,,,,,,,,,
356,11,12.0,2.0,5.0,1.0,,2.0,5.0,4.0,,1.0
1356,11,29.0,2.0,6.0,4.0,1.0,20.0,3.0,,,
1571,11,32.0,10.0,7.0,,,9.0,16.0,5.0,,
2034,11,8.0,0.0,3.0,,1.0,4.0,1.0,1.0,,
2217,11,,,,,,,,,,
2367,11,11.0,0.0,2.0,,,9.0,,,,
2021,11,,,,,,,,,,
2008,11,,,,,,,,,,
1654,11,,,,,,,,,,
2329,11,25.0,9.0,10.0,,,6.0,9.0,,,
2302,11,,,,,,,,,,
181,11,33.0,8.0,4.0,5.0,2.0,13.0,16.0,5.0,,1.0
2233,11,,,,,,,,,,
2242,11,29.0,4.0,5.0,,3.0,10.0,14.0,4.0,1.0,
1664,11,26.0,7.0,4.0,,,8.0,14.0,1.0,,
2039,11,,,,,,,,,,
2040,11,33.0,3.0,13.0,1.0,2.0,12.0,8.0,5.0,,
2190,11,,,,,,,,,,
2326,11,,,,,,,,,,
2238,11,,,,,,,,,,
1950,11,15.0,4.0,2.0,,,8.0,5.0,4.0,,
2024,11,37.0,10.0,12.0,1.0,1.0,9.0,16.0,6.0,,1.0
1717,11,32.0,9.0,6.0,,,4.0,22.0,,,
2209,11,31.0,4.0,13.0,7.0,3.0,10.0,8.0,,,
958,11,31.0,6.0,10.0,,3.0,10.0,11.0,1.0,,
2133,11,31.0,1.0,10.0,5.0,4.0,9.0,12.0,3.0,,
1884,11,,,,,,,,,,
1131,11,14.0,5.0,1.0,,,6.0,7.0,1.0,,1.0
1401,11,3.0,0.0,1.0,,,2.0,,,,
2309,11,,,,,,,,,,
1887,11,2.0,0.0,,,,1.0,1.0,,,
2073,11,13.0,3.0,4.0,,,5.0,4.0,1.0,,
2003,11,20.0,2.0,4.0,1.0,2.0,2.0,14.0,1.0,,
1208,11,35.0,10.0,10.0,19.0,5.0,8.0,17.0,,,
2278,11,,,,,,,,,,
2322,11,,,,,,,,,,
1948,11,21.0,2.0,5.0,,2.0,10.0,6.0,1.0,,
1922,11,,,,,,,,,,
1623,11,9.0,1.0,4.0,1.0,,3.0,2.0,1.0,,1.0
19,11,19.0,3.0,7.0,,,2.0,10.0,4.0,,
1250,11,17.0,0.0,4.0,1.0,3.0,5.0,8.0,2.0,,
1518,11,28.0,1.0,5.0,4.0,3.0,11.0,12.0,10.0,,
2293,11,,,,,,,,,,
1096,11,21.0,6.0,5.0,1.0,1.0,6.0,10.0,2.0,,
2048,11,33.0,4.0,12.0,7.0,2.0,11.0,10.0,1.0,,
2200,11,,,,,,,,,,
1768,11,32.0,2.0,7.0,6.0,4.0,22.0,3.0,3.0,,
921,11,25.0,4.0,5.0,1.0,1.0,4.0,16.0,7.0,,
