id,year_id,formation_place,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_freekick_cross,accurate_fwd_zone_pass,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_right,att_freekick_total,att_ibox_miss,att_lf_total,att_lg_centre,att_miss_high,att_miss_left,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_target,att_rf_total,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,duel_lost,duel_won,effective_blocked_cross,effective_clearance,final_third_entries,fouled_final_third,fouls,freekick_cross,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,hand_ball,head_pass,interception,interception_won,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,second_goal_assist,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_flick_on,accurate_launches,accurate_pull_back,accurate_through_ball,att_bx_centre,att_goal_high_left,att_hd_goal,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_target,att_lf_target,att_miss_right,att_obox_post,att_post_high,big_chance_created,big_chance_missed,big_chance_scored,clean_sheet,draws,effective_head_clearance,error_lead_to_shot,goals,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,hit_woodwork,interceptions_in_box,offside_provoked,overrun,penalty_conceded,penalty_won,pen_goals_conceded,post_scoring_att,shield_ball_oop,six_yard_block,total_fastbreak,total_flick_on,total_pull_back,total_through_ball,att_bx_left,att_miss_high_left,att_one_on_one,att_sv_high_centre,assist_pass_lost,att_cmiss_left,att_cmiss_right,att_fastbreak,att_freekick_goal,att_freekick_miss,att_freekick_target,att_goal_low_right,att_hd_miss,att_hd_target,att_ibox_post,att_lf_goal,att_miss_high_right,att_obox_goal,att_obxd_right,att_obx_right,att_post_right,att_rf_goal,att_setpiece,shot_fastbreak,att_sv_high_right,att_cmiss_high_left,att_goal_high_right,assist_penalty_won,att_cmiss_high,att_goal_low_centre,att_sv_high_left,error_lead_to_goal,foul_throw_in,att_goal_high_centre,att_goal_low_left,att_lg_right,att_obxd_left,att_pen_goal,att_pen_target,goal_assist_deadball,goal_assist_setplay,att_hd_post,clearance_off_line,own_goals,att_freekick_post,attempts_ibox,att_cmiss_high_right,att_obp_goal,att_obx_left,att_post_left,touches_in_opp_box,red_card,second_yellow,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,dive_save,diving_save,goal_kicks,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,stand_catch,total_keeper_sweeper,assist_attempt_saved,attempts_obox,goal_fastbreak,cross_not_claimed,dive_catch,gk_smother,good_high_claim,penalty_faced,penalty_save,stand_save,total_high_claim,assist_blocked_shot,assist_free_kick_won,assist_handball_won,assist_own_goal,att_lg_left,dangerous_play,att_pen_miss,assist_post,att_pen_post
7481,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4780,22,0.0,55.0,5.0,,6.0,6.0,,86.0,9.0,6.0,135.0,49.0,3.0,6.0,6.0,,58.0,46.0,3.0,,1.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,3.0,3.0,,2.0,,,,38.0,16.0,2.0,9.0,,9.0,,7.0,10.0,1.0,18.0,27.0,2.0,13.0,28.0,1.0,5.0,,78.0,5.0,16.0,12.0,4.0,,16.0,4.0,4.0,,57.0,33.0,24.0,5.0,,405.0,,3.0,1.0,172.0,,3.0,72.0,14.0,58.0,58.0,,11.0,5.0,9.0,2.0,,3.0,37.0,134.0,3.0,3.0,67.0,11.0,13.0,1.0,,17.0,17.0,59.0,125.0,17.0,9.0,17.0,,175.0,4.0,2.0,1.0,12.0,54.0,297.0,1.0,1.0,8.0,,1.0,1.0,7.0,,1.0,7.0,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,8.0,,,,,,,8.0,,,1.0,,,,,,,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4186,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3644,22,0.0,23.0,,,,,,18.0,,1.0,41.0,14.0,5.0,1.0,5.0,,15.0,7.0,,,,,,,,,,,,,,,,,,,,13.0,10.0,1.0,6.0,,2.0,,1.0,2.0,1.0,9.0,5.0,1.0,5.0,4.0,,2.0,,17.0,,2.0,2.0,,,1.0,3.0,3.0,,15.0,10.0,6.0,,1.0,107.0,,,,51.0,,2.0,8.0,2.0,15.0,15.0,1.0,8.0,1.0,6.0,6.0,,,8.0,41.0,4.0,,27.0,,5.0,,,3.0,3.0,11.0,27.0,3.0,,2.0,,51.0,,,5.0,4.0,15.0,87.0,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3743,22,238.0,157.0,15.0,1.0,1.0,,,285.0,41.0,18.0,441.0,2.0,14.0,,22.0,2.0,90.0,87.0,9.0,1.0,,,2.0,11.0,,,3.0,8.0,7.0,3.0,18.0,20.0,3.0,14.0,1.0,,1.0,108.0,56.0,,29.0,11.0,10.0,9.0,10.0,3.0,14.0,51.0,34.0,,4.0,70.0,3.0,9.0,,146.0,10.0,14.0,11.0,3.0,1.0,21.0,13.0,13.0,,149.0,58.0,42.0,12.0,1.0,1135.0,4.0,6.0,6.0,521.0,,78.0,103.0,13.0,155.0,155.0,3.0,17.0,36.0,29.0,131.0,,9.0,138.0,431.0,15.0,10.0,176.0,23.0,4.0,10.0,9.0,22.0,13.0,187.0,380.0,4.0,43.0,28.0,2.0,534.0,26.0,6.0,12.0,21.0,2.0,699.0,17.0,17.0,8.0,7.0,5.0,11.0,17.0,1.0,3.0,1.0,1.0,,5.0,,,1.0,3.0,2.0,1.0,1.0,2.0,,,1.0,1.0,2.0,1.0,3.0,1.0,,2.0,2.0,,,,1.0,,,,2.0,,,,,,2.0,,7.0,1.0,2.0,2.0,3.0,,2.0,,1.0,2.0,,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4141,22,0.0,344.0,23.0,4.0,26.0,22.0,,510.0,4.0,50.0,828.0,170.0,15.0,38.0,30.0,4.0,93.0,113.0,24.0,3.0,,6.0,9.0,41.0,,8.0,3.0,9.0,20.0,5.0,35.0,33.0,1.0,5.0,3.0,3.0,2.0,195.0,140.0,13.0,46.0,11.0,18.0,10.0,74.0,23.0,14.0,73.0,145.0,13.0,61.0,150.0,12.0,13.0,2.0,344.0,21.0,21.0,16.0,5.0,3.0,74.0,31.0,31.0,2.0,35.0,163.0,85.0,4.0,17.0,1969.0,12.0,22.0,13.0,1005.0,3.0,335.0,23.0,37.0,363.0,363.0,9.0,73.0,58.0,46.0,446.0,,29.0,245.0,813.0,18.0,34.0,387.0,60.0,61.0,38.0,8.0,107.0,99.0,336.0,740.0,36.0,4.0,96.0,2.0,1020.0,53.0,1.0,9.0,51.0,196.0,1686.0,21.0,21.0,36.0,22.0,22.0,32.0,41.0,2.0,2.0,8.0,1.0,,4.0,,,7.0,2.0,,7.0,9.0,10.0,,,9.0,,,8.0,4.0,34.0,1.0,1.0,1.0,7.0,6.0,7.0,34.0,1.0,,3.0,6.0,,1.0,1.0,,3.0,,1.0,5.0,3.0,3.0,8.0,5.0,1.0,1.0,,2.0,4.0,1.0,,4.0,2.0,,5.0,2.0,,,3.0,1.0,,,,1.0,2.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561,22,0.0,7.0,,,,,,30.0,7.0,,37.0,,,,1.0,1.0,,1.0,2.0,,,1.0,,,,,,2.0,,,2.0,1.0,,2.0,,,,18.0,5.0,,1.0,2.0,,,,,4.0,8.0,4.0,,,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,2.0,2.0,,5.0,1.0,,,,70.0,1.0,1.0,,43.0,,14.0,1.0,1.0,13.0,13.0,1.0,1.0,3.0,1.0,18.0,,,15.0,37.0,,2.0,8.0,,,5.0,,,,18.0,35.0,,7.0,,,43.0,2.0,1.0,,1.0,,58.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,22,272.0,395.0,48.0,23.0,33.0,10.0,9.0,500.0,38.0,63.0,862.0,3.0,10.0,12.0,26.0,12.0,95.0,110.0,14.0,17.0,2.0,16.0,4.0,6.0,,3.0,8.0,8.0,16.0,11.0,33.0,34.0,17.0,48.0,5.0,7.0,2.0,152.0,98.0,4.0,23.0,12.0,22.0,60.0,9.0,1.0,8.0,63.0,70.0,4.0,34.0,183.0,,18.0,23.0,348.0,20.0,13.0,12.0,1.0,,53.0,15.0,15.0,,236.0,168.0,104.0,4.0,9.0,1702.0,19.0,15.0,24.0,1014.0,3.0,137.0,96.0,71.0,278.0,278.0,4.0,36.0,58.0,23.0,311.0,2.0,21.0,202.0,840.0,12.0,34.0,422.0,127.0,34.0,12.0,58.0,91.0,33.0,323.0,716.0,10.0,38.0,102.0,2.0,1047.0,57.0,8.0,6.0,44.0,3.0,1373.0,13.0,13.0,7.0,16.0,7.0,15.0,33.0,4.0,1.0,1.0,,1.0,12.0,,1.0,3.0,4.0,4.0,7.0,1.0,6.0,,1.0,2.0,3.0,3.0,7.0,6.0,18.0,,6.0,1.0,3.0,1.0,2.0,18.0,1.0,2.0,,1.0,,,,1.0,,1.0,,2.0,,6.0,4.0,1.0,,1.0,,4.0,3.0,,2.0,5.0,4.0,1.0,2.0,,1.0,,2.0,2.0,,,,5.0,2.0,,2.0,,1.0,,,1.0,1.0,,,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,22,155.0,402.0,16.0,,,,,209.0,,43.0,611.0,31.0,42.0,43.0,20.0,3.0,106.0,118.0,5.0,,1.0,,3.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,3.0,,,,48.0,78.0,6.0,16.0,2.0,7.0,,1.0,,2.0,67.0,86.0,6.0,146.0,79.0,,11.0,,357.0,15.0,20.0,15.0,5.0,,40.0,15.0,15.0,,187.0,171.0,117.0,4.0,12.0,1439.0,3.0,4.0,1.0,700.0,13.0,48.0,98.0,8.0,131.0,130.0,,51.0,27.0,16.0,115.0,,4.0,62.0,605.0,6.0,7.0,429.0,43.0,147.0,17.0,,1.0,1.0,104.0,279.0,39.0,,77.0,1.0,707.0,7.0,,5.0,33.0,41.0,1014.0,9.0,9.0,1.0,12.0,10.0,2.0,28.0,2.0,,9.0,,1.0,4.0,,,3.0,2.0,,,,2.0,,1.0,3.0,1.0,,3.0,4.0,78.0,1.0,,,2.0,1.0,2.0,79.0,1.0,3.0,1.0,1.0,,,2.0,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4715,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
