id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_fwd_zone_pass,accurate_launches,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,assist_penalty_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_bx_right,att_corner,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_miss,att_ibox_target,att_lf_target,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_target,att_rf_total,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,fifty_fifty,final_third_entries,fouled_final_third,fouls,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,penalty_conceded,penalty_won,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,red_card,rightside_pass,second_goal_assist,shield_ball_oop,shot_off_target,six_yard_block,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_goal_kicks,att_bx_left,att_cmiss_high,att_cmiss_left,att_goal_high_left,att_goal_high_right,att_goal_low_left,att_hd_goal,att_hd_miss,att_hd_post,att_ibox_goal,att_ibox_post,att_miss_high_left,att_post_high,att_rf_goal,att_setpiece,att_sv_high_centre,big_chance_scored,goals,goals_openplay,goal_kicks,post_scoring_att,total_sub_on,accurate_flick_on,accurate_layoffs,accurate_pull_back,accurate_through_ball,att_cmiss_right,att_goal_low_centre,att_lf_goal,att_obox_goal,att_one_on_one,total_through_ball,att_assist_setplay,att_goal_low_right,att_sv_high_left,corner_taken,accurate_corners_intobox,freekick_cross,total_corners_intobox,total_fastbreak,assist_pass_lost,accurate_freekick_cross,assist_own_goal,att_freekick_target,att_freekick_total,att_obox_post,att_post_left,goal_assist_deadball,goal_assist_setplay,assist_free_kick_won,att_cmiss_high_left,att_freekick_goal,att_freekick_miss,att_freekick_post,att_pen_goal,att_pen_target,att_sv_high_right,assist_handball_won,att_fastbreak,att_goal_high_centre,att_pen_post,att_post_right,shot_fastbreak,clearance_off_line,second_yellow,assist_blocked_shot,att_cmiss_high_right,goal_fastbreak,assist_attempt_saved,assist_post,att_obxd_left,att_obx_left,att_obp_goal,foul_throw_in,accurate_keeper_sweeper,accurate_keeper_throws,dive_save,diving_save,good_high_claim,keeper_pick_up,keeper_throws,own_goals,punches,saved_ibox,saved_obox,saves,stand_save,total_high_claim,total_keeper_sweeper,att_obxd_right,dangerous_play,cross_not_claimed,dive_catch,gk_smother,penalty_faced,stand_catch,att_lg_centre,att_obx_right,penalty_save,back_pass,att_lg_left,att_lg_right,att_pen_miss
11044,363,673.0,25.0,,,487.0,3.0,47.0,1160.0,9.0,21.0,42.0,16.0,,4.0,54.0,40.0,5.0,1.0,4.0,4.0,,5.0,1.0,3.0,1.0,3.0,1.0,0.0,3.0,,,1.0,1.0,1.0,,,1.0,1.0,,,0.0,,,100.0,66.0,1.0,1.0,,9.0,2.0,4.0,7.0,,1.0,1.0,2.0,34.0,65.0,,28.0,16.0,,,24.0,138.0,,9.0,434.0,14.0,10.0,9.0,1.0,,,,1.0,16.0,68.0,,11.0,3.0,11.0,,204.0,215.0,170.0,2.0,7.0,1343.0,10.0,1.0,3.0,1.0,1256.0,7.0,1.0,294.0,21.0,1.0,,11.0,2.0,126.0,126.0,1.0,32.0,33.0,9.0,,536.0,,,3.0,1.0,12.0,138.0,1143.0,5.0,1.0,4.0,713.0,54.0,28.0,2.0,1.0,1.0,175.0,,562.0,15.0,,90.0,2.0,1274.0,,6.0,,13.0,9.0,1397.0,12.0,8.0,8.0,9.0,0.0,12.0,2.0,2.0,6.0,1.0,1.0,0.0,,0.0,,,0.0,,2.0,,0.0,,1.0,,,,1.0,,0.0,0.0,1.0,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23696,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13872,363,133.0,8.0,2.0,1.0,204.0,1.0,9.0,335.0,1.0,8.0,2.0,17.0,,6.0,37.0,19.0,7.0,5.0,9.0,5.0,,1.0,,,2.0,4.0,1.0,1.0,3.0,5.0,0.0,,1.0,,3.0,1.0,5.0,9.0,1.0,8.0,0.0,1.0,,69.0,59.0,1.0,1.0,,15.0,2.0,7.0,,,1.0,9.0,4.0,37.0,27.0,,5.0,2.0,,,10.0,35.0,1.0,7.0,100.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,,7.0,,7.0,,87.0,18.0,15.0,6.0,,560.0,,2.0,9.0,3.0,363.0,,1.0,62.0,36.0,,,6.0,1.0,68.0,68.0,7.0,23.0,29.0,15.0,,114.0,,,7.0,1.0,3.0,105.0,329.0,9.0,16.0,11.0,142.0,16.0,5.0,13.0,3.0,2.0,125.0,2.0,231.0,2.0,2.0,13.0,3.0,370.0,,12.0,4.0,9.0,1.0,479.0,15.0,14.0,14.0,10.0,0.0,7.0,6.0,,2.0,1.0,,1.0,3.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,12.0,1.0,1.0,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66516,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30528,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6528,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49495,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5179,363,178.0,13.0,4.0,4.0,409.0,,9.0,583.0,2.0,79.0,45.0,31.0,,12.0,160.0,74.0,25.0,10.0,17.0,17.0,3.0,4.0,,5.0,7.0,11.0,6.0,2.0,6.0,3.0,2.0,6.0,3.0,3.0,4.0,3.0,10.0,29.0,7.0,22.0,7.0,1.0,1.0,174.0,104.0,2.0,5.0,4.0,39.0,10.0,16.0,6.0,7.0,2.0,42.0,13.0,198.0,161.0,4.0,14.0,9.0,,,72.0,82.0,11.0,29.0,180.0,22.0,22.0,20.0,2.0,,,,5.0,9.0,80.0,,7.0,,7.0,,172.0,57.0,42.0,13.0,1.0,1973.0,1.0,6.0,11.0,10.0,722.0,2.0,6.0,85.0,176.0,,1.0,24.0,3.0,310.0,310.0,17.0,27.0,60.0,39.0,,200.0,,,15.0,,33.0,219.0,579.0,18.0,79.0,17.0,215.0,28.0,14.0,75.0,9.0,9.0,288.0,27.0,520.0,1.0,15.0,18.0,3.0,726.0,1.0,35.0,13.0,25.0,2.0,1158.0,73.0,75.0,75.0,53.0,0.0,5.0,38.0,10.0,14.0,3.0,,3.0,,2.0,,,,,5.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,9.0,7.0,14.0,,,3.0,,,,1.0,2.0,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13866,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8006,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23817,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20055,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15134,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5066,363,1136.0,43.0,,,540.0,7.0,62.0,1676.0,10.0,37.0,64.0,29.0,,8.0,200.0,118.0,4.0,,5.0,2.0,,4.0,,2.0,,3.0,,,,1.0,1.0,1.0,,,,,,,,2.0,,,,67.0,145.0,,,,18.0,,12.0,10.0,,1.0,3.0,10.0,73.0,96.0,,95.0,40.0,1.0,,56.0,141.0,,24.0,655.0,29.0,30.0,27.0,3.0,1.0,1.0,1.0,1.0,40.0,125.0,,30.0,4.0,30.0,,678.0,291.0,213.0,3.0,16.0,2586.0,16.0,1.0,5.0,1.0,1832.0,14.0,1.0,55.0,220.0,1.0,,17.0,3.0,212.0,212.0,1.0,85.0,59.0,18.0,,466.0,,1.0,3.0,,34.0,145.0,1646.0,8.0,5.0,6.0,1223.0,105.0,95.0,4.0,1.0,1.0,200.0,,644.0,35.0,,144.0,1.0,1866.0,,4.0,1.0,22.0,15.0,2114.0,8.0,9.0,9.0,8.0,0.0,16.0,2.0,1.0,10.0,,,,1.0,,,,,,2.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19851,363,181.0,21.0,4.0,,287.0,1.0,19.0,464.0,1.0,15.0,14.0,18.0,,15.0,92.0,38.0,8.0,7.0,11.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,13.0,2.0,,3.0,1.0,2.0,2.0,3.0,6.0,12.0,1.0,1.0,3.0,,1.0,86.0,60.0,2.0,1.0,,27.0,3.0,19.0,,2.0,1.0,14.0,4.0,79.0,70.0,,5.0,1.0,,,38.0,73.0,6.0,19.0,187.0,11.0,10.0,10.0,,1.0,1.0,1.0,,1.0,20.0,,7.0,1.0,7.0,,187.0,50.0,38.0,4.0,1.0,950.0,1.0,8.0,7.0,6.0,543.0,1.0,,99.0,71.0,,,50.0,2.0,182.0,182.0,7.0,22.0,31.0,27.0,,110.0,,,6.0,0.0,22.0,144.0,439.0,11.0,26.0,15.0,210.0,49.0,5.0,20.0,31.0,5.0,205.0,6.0,391.0,6.0,12.0,30.0,,570.0,1.0,15.0,11.0,28.0,1.0,770.0,23.0,21.0,21.0,20.0,0.0,10.0,8.0,11.0,22.0,5.0,,1.0,,2.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,7.0,3.0,12.0,,1.0,1.0,,1.0,,,1.0,3.0,1.0,,26.0,4.0,2.0,26.0,1.0,0.0,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
51223,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52201,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8578,363,42.0,8.0,1.0,1.0,84.0,1.0,5.0,125.0,21.0,20.0,5.0,8.0,,7.0,56.0,32.0,1.0,1.0,2.0,,,,,,1.0,,,1.0,2.0,,,,,,,1.0,1.0,2.0,,,,,,33.0,25.0,,,5.0,15.0,1.0,12.0,,16.0,6.0,4.0,1.0,50.0,41.0,5.0,6.0,1.0,,,17.0,24.0,1.0,10.0,56.0,7.0,10.0,7.0,3.0,,,,,1.0,14.0,,5.0,,5.0,,8.0,17.0,5.0,6.0,4.0,551.0,1.0,1.0,1.0,1.0,172.0,4.0,1.0,63.0,6.0,,,21.0,1.0,91.0,91.0,2.0,12.0,11.0,15.0,,75.0,,1.0,,,9.0,53.0,125.0,8.0,8.0,2.0,60.0,19.0,6.0,11.0,22.0,22.0,72.0,,134.0,6.0,1.0,16.0,,172.0,,2.0,3.0,26.0,25.0,312.0,11.0,8.0,8.0,3.0,0.0,1.0,7.0,5.0,11.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10422,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5790,363,491.0,28.0,,,107.0,6.0,40.0,598.0,,24.0,33.0,15.0,,7.0,129.0,80.0,7.0,1.0,4.0,7.0,,6.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,2.0,,3.0,1.0,,,53.0,103.0,1.0,1.0,2.0,11.0,3.0,13.0,4.0,,2.0,7.0,3.0,61.0,82.0,2.0,38.0,19.0,,2.0,43.0,45.0,,15.0,218.0,14.0,12.0,12.0,,,,,,19.0,53.0,,20.0,1.0,20.0,,281.0,89.0,45.0,4.0,12.0,1205.0,5.0,2.0,2.0,3.0,703.0,13.0,,12.0,78.0,0.0,,8.0,1.0,143.0,143.0,,63.0,40.0,11.0,,166.0,,1.0,2.0,1.0,22.0,29.0,584.0,5.0,9.0,4.0,548.0,57.0,38.0,8.0,2.0,2.0,56.0,,172.0,25.0,,81.0,,718.0,,8.0,3.0,34.0,,898.0,9.0,11.0,11.0,9.0,0.0,8.0,6.0,3.0,21.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
13278,363,269.0,22.0,31.0,10.0,611.0,1.0,21.0,849.0,12.0,22.0,7.0,34.0,,25.0,207.0,116.0,45.0,24.0,39.0,14.0,3.0,4.0,2.0,4.0,11.0,14.0,15.0,6.0,21.0,4.0,4.0,6.0,7.0,11.0,9.0,4.0,24.0,59.0,11.0,44.0,11.0,5.0,1.0,345.0,168.0,9.0,4.0,2.0,66.0,22.0,31.0,4.0,36.0,10.0,73.0,13.0,216.0,183.0,2.0,7.0,3.0,,,97.0,93.0,15.0,46.0,234.0,31.0,33.0,30.0,3.0,4.0,4.0,2.0,1.0,3.0,14.0,3.0,20.0,,20.0,,98.0,47.0,33.0,16.0,0.0,2751.0,,23.0,38.0,23.0,989.0,1.0,7.0,295.0,33.0,,,183.0,5.0,540.0,540.0,29.0,54.0,85.0,66.0,,372.0,1.0,,24.0,1.0,32.0,367.0,795.0,30.0,119.0,61.0,309.0,47.0,7.0,128.0,134.0,64.0,490.0,10.0,874.0,8.0,18.0,39.0,12.0,1049.0,3.0,69.0,12.0,35.0,12.0,1789.0,140.0,107.0,107.0,59.0,1.0,5.0,82.0,39.0,11.0,5.0,,21.0,3.0,4.0,,1.0,1.0,,2.0,,4.0,1.0,2.0,,3.0,1.0,0.0,3.0,4.0,4.0,,1.0,3.0,1.0,15.0,3.0,3.0,3.0,1.0,1.0,,2.0,6.0,18.0,1.0,2.0,84.0,23.0,18.0,72.0,3.0,,3.0,,1.0,4.0,,,1.0,2.0,,1.0,,2.0,,,1.0,0.0,,3.0,,,1.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,363,525.0,86.0,,,97.0,44.0,183.0,622.0,,,6.0,38.0,,,327.0,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,304.0,,,,,,1.0,12.0,,,1.0,8.0,2.0,10.0,,19.0,1.0,1.0,,4.0,62.0,,,527.0,38.0,45.0,44.0,1.0,,,,,1.0,1.0,,0.0,0.0,0.0,,185.0,278.0,97.0,12.0,12.0,3420.0,,,,,447.0,,,39.0,57.0,,,1.0,10.0,280.0,280.0,,28.0,,,,186.0,,,,,3.0,16.0,325.0,,1.0,,620.0,148.0,19.0,,,,62.0,,278.0,170.0,,454.0,,898.0,,,,,,1248.0,,1.0,1.0,5.0,0.0,18.0,,,,,212.0,,,,,,,,,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,179.0,18.0,57.0,22.0,254.0,180.0,,9.0,75.0,38.0,114.0,6.0,23.0,5.0,,,,3.0,2.0,10.0,3.0,,,,,,,
9566,363,1245.0,117.0,1.0,1.0,700.0,7.0,152.0,1944.0,13.0,43.0,135.0,34.0,,20.0,240.0,135.0,33.0,3.0,6.0,32.0,,27.0,6.0,24.0,9.0,15.0,7.0,,0.0,5.0,2.0,5.0,3.0,,2.0,1.0,3.0,5.0,2.0,7.0,2.0,2.0,1.0,77.0,199.0,0.0,,,14.0,9.0,11.0,13.0,3.0,0.0,6.0,10.0,105.0,203.0,,122.0,86.0,1.0,3.0,84.0,246.0,1.0,40.0,795.0,34.0,36.0,33.0,3.0,1.0,,1.0,1.0,86.0,235.0,1.0,60.0,9.0,60.0,,526.0,363.0,251.0,4.0,13.0,3048.0,20.0,0.0,7.0,10.0,2166.0,23.0,1.0,496.0,63.0,,0.0,21.0,4.0,315.0,315.0,3.0,129.0,67.0,14.0,,829.0,,7.0,17.0,2.0,42.0,276.0,1889.0,5.0,12.0,7.0,1346.0,188.0,122.0,14.0,3.0,3.0,370.0,1.0,884.0,41.0,,247.0,1.0,2227.0,,36.0,1.0,29.0,13.0,2626.0,53.0,10.0,10.0,31.0,0.0,20.0,8.0,4.0,17.0,11.0,,,1.0,2.0,,,,2.0,13.0,,2.0,,2.0,,,4.0,2.0,0.0,2.0,,,,,1.0,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4509,363,331.0,43.0,10.0,4.0,520.0,3.0,50.0,841.0,8.0,17.0,14.0,28.0,,18.0,198.0,119.0,11.0,9.0,15.0,6.0,3.0,1.0,,,4.0,4.0,3.0,2.0,10.0,2.0,,2.0,4.0,2.0,5.0,2.0,8.0,16.0,3.0,10.0,2.0,1.0,1.0,254.0,130.0,1.0,2.0,6.0,39.0,6.0,34.0,2.0,17.0,22.0,19.0,2.0,103.0,73.0,6.0,23.0,11.0,1.0,,56.0,116.0,2.0,24.0,262.0,23.0,40.0,36.0,4.0,2.0,2.0,1.0,,11.0,30.0,,14.0,1.0,14.0,,285.0,87.0,47.0,21.0,7.0,2032.0,2.0,7.0,13.0,5.0,963.0,8.0,2.0,159.0,257.0,,,86.0,3.0,282.0,282.0,8.0,59.0,63.0,39.0,1.0,198.0,,,9.0,,32.0,280.0,806.0,18.0,28.0,20.0,368.0,92.0,23.0,24.0,71.0,46.0,359.0,1.0,702.0,13.0,15.0,103.0,1.0,999.0,,20.0,4.0,25.0,8.0,1329.0,24.0,29.0,29.0,20.0,0.0,5.0,15.0,13.0,16.0,8.0,,2.0,1.0,,,,,,,,,,1.0,,,0.0,1.0,,,,,,5.0,,14.0,,,1.0,,,,,1.0,3.0,,,25.0,6.0,7.0,25.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
4487,363,350.0,69.0,12.0,12.0,483.0,20.0,108.0,821.0,228.0,23.0,34.0,34.0,,14.0,330.0,198.0,3.0,18.0,25.0,1.0,2.0,7.0,,1.0,1.0,1.0,,1.0,2.0,4.0,1.0,4.0,1.0,2.0,13.0,3.0,17.0,12.0,2.0,18.0,1.0,1.0,,188.0,196.0,7.0,,12.0,49.0,3.0,41.0,10.0,26.0,57.0,10.0,8.0,106.0,127.0,12.0,79.0,44.0,,1.0,72.0,331.0,1.0,19.0,620.0,34.0,47.0,43.0,4.0,1.0,1.0,1.0,,44.0,130.0,1.0,56.0,9.0,56.0,,342.0,297.0,118.0,16.0,28.0,3060.0,11.0,14.0,12.0,4.0,1171.0,13.0,4.0,27.0,360.0,,,159.0,2.0,554.0,554.0,16.0,98.0,82.0,49.0,,44.0,,2.0,14.0,,44.0,262.0,809.0,23.0,23.0,26.0,425.0,196.0,79.0,40.0,84.0,84.0,486.0,0.0,853.0,110.0,,308.0,,1194.0,1.0,21.0,,54.0,266.0,1957.0,21.0,38.0,38.0,13.0,0.0,10.0,27.0,15.0,32.0,5.0,,,,,,,1.0,,1.0,,1.0,,4.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
23687,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
