id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
1731,9,,,,,,,,,,
1805,9,32.0,5.0,10.0,11.0,4.0,13.0,9.0,5.0,,
1949,9,33.0,5.0,12.0,4.0,4.0,12.0,9.0,3.0,,1.0
1893,9,,,,,,,,,,
1502,9,27.0,1.0,7.0,3.0,5.0,7.0,13.0,1.0,,
1468,9,2.0,0.0,,,,1.0,1.0,,,
1905,9,,,,,,,,,,
1681,9,,,,,,,,,,
324,9,10.0,1.0,4.0,,1.0,4.0,2.0,,,
1636,9,,,,,,,,,,
694,9,24.0,4.0,5.0,,3.0,9.0,10.0,1.0,,
1049,9,17.0,1.0,2.0,2.0,4.0,5.0,10.0,2.0,,
1621,9,32.0,4.0,10.0,4.0,7.0,12.0,10.0,5.0,,1.0
14,9,28.0,11.0,8.0,,,6.0,14.0,3.0,,
1995,9,,,,,,,,,,
1730,9,,,,,,,,,,
1669,9,1.0,0.0,1.0,,,,,,,
1757,9,30.0,7.0,9.0,4.0,2.0,9.0,12.0,2.0,,1.0
1627,9,18.0,7.0,7.0,1.0,1.0,5.0,6.0,,,
1572,9,,,,,,,,,,
916,9,25.0,2.0,4.0,,4.0,15.0,6.0,2.0,,
1520,9,32.0,8.0,7.0,2.0,2.0,14.0,11.0,4.0,,
1848,9,25.0,9.0,6.0,,,9.0,10.0,1.0,,
928,9,2.0,0.0,1.0,,,1.0,,,,
1515,9,23.0,5.0,7.0,,2.0,7.0,9.0,3.0,,
1864,9,,,,,,,,,,
1359,9,23.0,4.0,6.0,,,12.0,5.0,1.0,,1.0
1683,9,,,,,,,,,,
1973,9,3.0,0.0,1.0,,1.0,,2.0,,,
1058,9,24.0,2.0,7.0,1.0,3.0,12.0,5.0,2.0,,
800,9,30.0,6.0,8.0,7.0,3.0,13.0,9.0,3.0,,
1539,9,8.0,1.0,2.0,,,4.0,2.0,,,
1645,9,14.0,1.0,3.0,3.0,,7.0,4.0,,,1.0
1169,9,,,,,,,,,,
905,9,17.0,1.0,6.0,,1.0,11.0,,4.0,,
533,9,8.0,0.0,1.0,1.0,,5.0,2.0,1.0,,
1902,9,,,,,,,,,,
1352,9,1.0,0.0,1.0,,,,,,,
1831,9,18.0,6.0,3.0,2.0,,2.0,13.0,3.0,,
1845,9,7.0,1.0,3.0,,,4.0,,2.0,,
721,9,22.0,2.0,4.0,,,10.0,8.0,3.0,,
1925,9,5.0,0.0,4.0,1.0,,,1.0,1.0,,
1916,9,15.0,2.0,,,,11.0,4.0,1.0,,
973,9,25.0,6.0,8.0,3.0,4.0,8.0,9.0,,,
1306,9,,,,,,,,,,
1763,9,,,,,,,,,,
530,9,,,,,,,,,,
1199,9,15.0,6.0,5.0,,3.0,3.0,7.0,4.0,,
1959,9,21.0,0.0,3.0,,2.0,11.0,7.0,2.0,,
