id,year_id,appearances,clean_sheet,draws,goals,losses,own_goals,wins,yellow_card,goal_assist,red_card
483,2,17.0,2.0,6.0,,6.0,,5.0,5.0,,
173,2,,,,,,,,,,
257,2,1.0,0.0,,,1.0,,,,,
752,2,6.0,0.0,3.0,,2.0,,1.0,1.0,1.0,
372,2,24.0,6.0,11.0,,5.0,,8.0,3.0,1.0,1.0
542,2,1.0,0.0,,,1.0,,,,,
391,2,5.0,0.0,2.0,,2.0,,1.0,1.0,,1.0
291,2,30.0,7.0,14.0,1.0,12.0,,4.0,1.0,,
495,2,32.0,8.0,12.0,,5.0,,15.0,,1.0,
785,2,41.0,14.0,13.0,,16.0,,12.0,3.0,,
732,2,13.0,3.0,5.0,,5.0,,3.0,1.0,,
299,2,2.0,0.0,,,2.0,,,1.0,,
420,2,25.0,4.0,9.0,,8.0,,8.0,1.0,1.0,
191,2,23.0,0.0,6.0,1.0,11.0,,6.0,,1.0,
422,2,33.0,5.0,10.0,1.0,16.0,1.0,7.0,6.0,,
142,2,32.0,6.0,10.0,8.0,13.0,,9.0,1.0,1.0,
43,2,40.0,12.0,11.0,5.0,14.0,,15.0,1.0,5.0,
444,2,22.0,2.0,6.0,1.0,8.0,,8.0,4.0,,1.0
124,2,34.0,13.0,11.0,1.0,11.0,,12.0,,3.0,
434,2,22.0,1.0,6.0,1.0,12.0,,4.0,1.0,,
196,2,24.0,3.0,3.0,6.0,12.0,,9.0,,,
681,2,3.0,0.0,,,3.0,,,,,
79,2,40.0,13.0,8.0,4.0,7.0,,25.0,2.0,8.0,
262,2,35.0,5.0,8.0,4.0,13.0,,14.0,2.0,1.0,
675,2,,,,,,,,,,
301,2,11.0,1.0,3.0,,5.0,,3.0,,,
386,2,13.0,2.0,4.0,1.0,5.0,,4.0,,4.0,
442,2,16.0,2.0,4.0,,7.0,,5.0,,,
711,2,0.0,,2.0,,3.0,,11.0,0.0,,
135,2,1.0,0.0,,,,,1.0,,,
479,2,25.0,7.0,10.0,3.0,10.0,,5.0,3.0,,
504,2,38.0,10.0,14.0,,8.0,,16.0,1.0,1.0,
684,2,2.0,0.0,,,2.0,,,,,
704,2,12.0,1.0,7.0,5.0,2.0,,3.0,1.0,1.0,
274,2,18.0,1.0,3.0,2.0,10.0,,5.0,,2.0,
523,2,37.0,5.0,6.0,,21.0,1.0,10.0,4.0,1.0,1.0
620,2,24.0,5.0,9.0,,9.0,,6.0,2.0,2.0,
597,2,23.0,4.0,9.0,2.0,9.0,,5.0,1.0,3.0,
706,2,,,,,,,,,,
558,2,39.0,8.0,7.0,3.0,15.0,1.0,17.0,6.0,3.0,
568,2,39.0,6.0,11.0,3.0,17.0,,11.0,7.0,2.0,
60,2,38.0,11.0,12.0,10.0,13.0,,13.0,,3.0,
586,2,37.0,11.0,10.0,,10.0,1.0,17.0,3.0,1.0,
307,2,40.0,15.0,10.0,,4.0,,26.0,,1.0,
582,2,41.0,11.0,11.0,,13.0,,17.0,1.0,,
777,2,30.0,7.0,7.0,1.0,11.0,,12.0,3.0,,
660,2,,,,,,,,,,
556,2,42.0,7.0,12.0,6.0,19.0,,11.0,1.0,,
762,2,2.0,0.0,1.0,,1.0,,,,,
232,2,10.0,3.0,5.0,,1.0,,4.0,1.0,,
631,2,30.0,11.0,4.0,4.0,8.0,,18.0,1.0,10.0,
89,2,40.0,14.0,9.0,31.0,8.0,,23.0,2.0,4.0,
20,2,18.0,5.0,6.0,,5.0,,7.0,3.0,2.0,
802,2,,,,,,,,,,
116,2,24.0,3.0,6.0,4.0,11.0,,7.0,,1.0,
78,2,38.0,15.0,8.0,2.0,7.0,1.0,23.0,,6.0,
237,2,28.0,6.0,16.0,3.0,5.0,,7.0,3.0,4.0,
141,2,8.0,1.0,3.0,,2.0,,3.0,,,
297,2,15.0,3.0,7.0,,6.0,,2.0,,,
24,2,,,,,,,,,,
576,2,19.0,5.0,3.0,13.0,8.0,,8.0,2.0,5.0,
1,2,39.0,19.0,17.0,,5.0,,17.0,,2.0,1.0
336,2,,,,,,,,,,
310,2,,,,,,,,,,
328,2,30.0,8.0,7.0,9.0,3.0,,20.0,1.0,6.0,
593,2,,,,,,,,,,
691,2,28.0,8.0,10.0,1.0,12.0,,6.0,,2.0,
456,2,25.0,2.0,10.0,3.0,8.0,,7.0,,4.0,
103,2,35.0,9.0,10.0,,15.0,,10.0,6.0,1.0,
42,2,9.0,2.0,2.0,,4.0,,3.0,,,
117,2,19.0,3.0,6.0,5.0,5.0,,8.0,2.0,1.0,
305,2,33.0,6.0,13.0,6.0,12.0,,8.0,,1.0,
41,2,24.0,6.0,7.0,3.0,8.0,,9.0,2.0,1.0,
172,2,42.0,11.0,8.0,,22.0,,12.0,,,
491,2,10.0,2.0,5.0,1.0,3.0,,2.0,,1.0,
239,2,36.0,14.0,13.0,10.0,7.0,,16.0,3.0,5.0,
275,2,42.0,8.0,9.0,14.0,16.0,,17.0,2.0,1.0,
26,2,25.0,6.0,12.0,3.0,4.0,,9.0,,4.0,
33,2,15.0,4.0,3.0,,5.0,,7.0,,,1.0
235,2,4.0,0.0,1.0,,,,3.0,,,
708,2,21.0,8.0,5.0,,5.0,,11.0,,,1.0
674,2,18.0,2.0,4.0,13.0,8.0,,6.0,,4.0,
95,2,9.0,1.0,5.0,,1.0,,3.0,,,
244,2,6.0,1.0,2.0,,2.0,,2.0,1.0,,
441,2,26.0,8.0,8.0,,7.0,,11.0,,,
111,2,30.0,6.0,7.0,3.0,17.0,,6.0,,4.0,
189,2,29.0,6.0,6.0,,14.0,,9.0,4.0,,
276,2,8.0,2.0,2.0,,3.0,,3.0,2.0,,
242,2,33.0,13.0,10.0,3.0,8.0,,15.0,,5.0,
769,2,38.0,2.0,15.0,3.0,20.0,,3.0,3.0,4.0,
373,2,3.0,0.0,3.0,,,,,,,
688,2,,,,,,,,,,
215,2,,,,,,,,,,
66,2,,,,,,,,,,
216,2,42.0,14.0,16.0,1.0,17.0,,9.0,,1.0,
594,2,7.0,1.0,3.0,,2.0,,2.0,1.0,,
390,2,41.0,9.0,17.0,25.0,12.0,,12.0,3.0,11.0,
583,2,2.0,1.0,,,,,2.0,,,
308,2,,,,,,,,,,
