id,year_id,appearances,clean_sheet,draws,goals,losses,own_goals,wins,yellow_card,goal_assist,red_card
108,2,21.0,0.0,4.0,,13.0,,4.0,2.0,,
186,2,32.0,5.0,6.0,1.0,18.0,,8.0,3.0,1.0,
250,2,19.0,7.0,2.0,,6.0,,11.0,,,
446,2,25.0,3.0,7.0,,8.0,,10.0,1.0,3.0,
47,2,30.0,4.0,8.0,2.0,11.0,,11.0,,3.0,
714,2,14.0,2.0,2.0,,6.0,,6.0,,,
731,2,2.0,0.0,2.0,,,,,,,
477,2,18.0,7.0,7.0,,9.0,,2.0,3.0,,
560,2,18.0,2.0,5.0,1.0,8.0,,5.0,,1.0,
453,2,33.0,5.0,9.0,3.0,12.0,,12.0,,1.0,
698,2,,,,,,,,,,
339,2,36.0,12.0,8.0,12.0,3.0,,25.0,4.0,6.0,
137,2,,,,,,,,,,
326,2,39.0,14.0,9.0,8.0,4.0,,26.0,6.0,10.0,
315,2,42.0,17.0,11.0,2.0,4.0,,27.0,3.0,6.0,
505,2,36.0,5.0,14.0,1.0,9.0,,13.0,1.0,3.0,
534,2,2.0,0.0,,,2.0,,,1.0,,
272,2,11.0,1.0,2.0,,5.0,,4.0,1.0,1.0,
140,2,16.0,3.0,5.0,,6.0,,5.0,,2.0,
77,2,,,,,,,,,,
252,2,14.0,2.0,1.0,,8.0,,5.0,,,
284,2,8.0,1.0,2.0,,5.0,,1.0,1.0,,
177,2,38.0,10.0,8.0,,20.0,,10.0,5.0,,
724,2,2.0,0.0,,,1.0,,1.0,1.0,1.0,
670,2,,,,,,,,,,
512,2,18.0,2.0,6.0,5.0,3.0,,9.0,,3.0,
101,2,28.0,8.0,7.0,1.0,10.0,,11.0,4.0,1.0,
425,2,37.0,4.0,11.0,5.0,19.0,,7.0,5.0,1.0,
17,2,27.0,10.0,11.0,,4.0,,12.0,1.0,1.0,
197,2,,,,,,,,,,
588,2,13.0,5.0,6.0,,3.0,,4.0,2.0,,
185,2,,,,,,,,,,
699,2,6.0,1.0,2.0,1.0,2.0,,2.0,,,
524,2,41.0,6.0,7.0,2.0,23.0,,11.0,4.0,5.0,
171,2,,,,,,,,,,
222,2,37.0,9.0,15.0,5.0,14.0,,8.0,3.0,2.0,
352,2,24.0,6.0,12.0,,10.0,,2.0,2.0,,
93,2,40.0,11.0,12.0,,15.0,,13.0,1.0,,
498,2,10.0,1.0,3.0,,6.0,,1.0,,,
94,2,,,,,,,,,,
818,2,11.0,1.0,4.0,,4.0,,3.0,1.0,,
489,2,19.0,0.0,8.0,3.0,9.0,,2.0,,1.0,1.0
407,2,37.0,13.0,9.0,5.0,3.0,,25.0,4.0,6.0,
193,2,39.0,9.0,7.0,16.0,21.0,,11.0,1.0,3.0,
382,2,38.0,10.0,15.0,,12.0,,11.0,1.0,7.0,
811,2,,,,,,,,,,
378,2,42.0,10.0,17.0,1.0,13.0,1.0,12.0,3.0,,
751,2,15.0,0.0,5.0,1.0,5.0,,5.0,,1.0,
758,2,1.0,0.0,,,1.0,,,,,
302,2,,,,,,,,,,
693,2,,,,,,,,,,
494,2,2.0,1.0,,,1.0,,1.0,,,
673,2,29.0,9.0,9.0,1.0,11.0,,9.0,3.0,,
387,2,,,,,,,,,,
665,2,,,,,,,,,,
21,2,22.0,9.0,9.0,,5.0,,8.0,2.0,,
13,2,33.0,15.0,16.0,,5.0,1.0,12.0,2.0,2.0,
742,2,,,,,,,,,,
91,2,25.0,4.0,5.0,,12.0,,8.0,,,
279,2,31.0,10.0,12.0,,14.0,,5.0,2.0,,
725,2,40.0,15.0,8.0,34.0,9.0,,23.0,2.0,13.0,
449,2,,,,,,,,,,
280,2,11.0,2.0,6.0,,1.0,,4.0,,,
333,2,,,,,,,,,,
547,2,,,,,,,,,,
209,2,16.0,2.0,5.0,1.0,10.0,,1.0,1.0,2.0,
635,2,28.0,4.0,11.0,,15.0,,2.0,2.0,,
748,2,9.0,2.0,6.0,,2.0,,1.0,,,
261,2,38.0,8.0,9.0,,14.0,,15.0,2.0,6.0,1.0
84,2,11.0,3.0,5.0,,2.0,,4.0,,,
546,2,,,,,,,,,,
357,2,16.0,2.0,7.0,,7.0,,2.0,2.0,1.0,
27,2,1.0,0.0,,,1.0,,,,,
65,2,,,,,,,,,,
678,2,26.0,7.0,6.0,5.0,10.0,,10.0,2.0,,
696,2,31.0,7.0,7.0,3.0,15.0,,9.0,2.0,1.0,
14,2,33.0,10.0,12.0,,4.0,,17.0,4.0,2.0,
324,2,31.0,9.0,7.0,6.0,3.0,,21.0,1.0,6.0,
694,2,42.0,18.0,16.0,,8.0,1.0,18.0,2.0,5.0,
298,2,2.0,1.0,,,1.0,,1.0,,,
719,2,,,,,,,,,,
488,2,41.0,16.0,16.0,11.0,8.0,,17.0,2.0,11.0,
230,2,17.0,2.0,4.0,,8.0,,5.0,,3.0,
474,2,4.0,0.0,1.0,,3.0,,,,,
690,2,,,,,,,,,,
797,2,,,,,,,,,,
528,2,10.0,1.0,,,6.0,,4.0,1.0,,
668,2,14.0,2.0,4.0,,5.0,,5.0,,,
69,2,,,,,,,,,,
100,2,28.0,4.0,10.0,1.0,13.0,,5.0,2.0,,
807,2,14.0,4.0,5.0,,4.0,,5.0,,2.0,
813,2,2.0,0.0,,,2.0,,,,,
800,2,,,,,,,,,,
36,2,2.0,0.0,,,1.0,,1.0,,,
538,2,39.0,6.0,7.0,5.0,20.0,,12.0,7.0,5.0,
40,2,20.0,3.0,5.0,2.0,9.0,,6.0,2.0,1.0,
537,2,14.0,1.0,1.0,,11.0,,2.0,,2.0,
52,2,27.0,8.0,6.0,1.0,8.0,,13.0,,3.0,
282,2,29.0,8.0,12.0,1.0,9.0,,8.0,4.0,,
454,2,1.0,0.0,,,1.0,,,,,
338,2,5.0,1.0,2.0,1.0,2.0,,1.0,,,
188,2,,,,,,,,,,
486,2,,,,,,,,,,
212,2,32.0,4.0,9.0,8.0,13.0,,10.0,1.0,4.0,
229,2,37.0,14.0,14.0,,8.0,,15.0,2.0,2.0,
669,2,1.0,0.0,,,1.0,,,,,
290,2,22.0,5.0,11.0,,8.0,,3.0,1.0,1.0,
192,2,39.0,11.0,7.0,4.0,21.0,,11.0,7.0,2.0,
598,2,42.0,12.0,11.0,9.0,13.0,,18.0,,5.0,
384,2,15.0,2.0,9.0,3.0,4.0,,2.0,,,
217,2,7.0,1.0,2.0,,4.0,,1.0,,1.0,
577,2,10.0,1.0,4.0,1.0,2.0,,4.0,,,
689,2,,,,,,,,,,
715,2,15.0,3.0,1.0,,3.0,,11.0,1.0,1.0,
234,2,40.0,16.0,16.0,4.0,8.0,,16.0,5.0,,
389,2,27.0,3.0,12.0,12.0,8.0,,7.0,1.0,1.0,
596,2,18.0,4.0,3.0,1.0,6.0,,9.0,1.0,4.0,
821,2,2.0,0.0,,,1.0,,1.0,,,
35,2,17.0,5.0,3.0,,7.0,,7.0,1.0,,
49,2,4.0,0.0,,,3.0,,1.0,,,
45,2,,,,,,,,,,
550,2,26.0,2.0,10.0,,13.0,,3.0,3.0,2.0,
551,2,25.0,3.0,5.0,,15.0,,5.0,5.0,2.0,
604,2,36.0,11.0,10.0,11.0,9.0,1.0,17.0,5.0,4.0,
592,2,23.0,5.0,4.0,1.0,7.0,,12.0,2.0,3.0,
783,2,,,,,,,,,,
16,2,3.0,0.0,2.0,,,,1.0,,,
591,2,28.0,9.0,6.0,,11.0,,11.0,,1.0,
57,2,12.0,2.0,3.0,1.0,7.0,,2.0,1.0,,
323,2,3.0,1.0,2.0,,,,1.0,,,
773,2,36.0,0.0,12.0,12.0,21.0,,3.0,2.0,1.0,
462,2,36.0,7.0,10.0,16.0,14.0,1.0,12.0,2.0,8.0,1.0
746,2,33.0,9.0,16.0,9.0,11.0,,6.0,3.0,4.0,
119,2,9.0,1.0,3.0,1.0,5.0,,1.0,1.0,1.0,
419,2,37.0,5.0,12.0,,19.0,,6.0,2.0,2.0,
695,2,1.0,0.0,,,,,1.0,,,
519,2,41.0,13.0,6.0,,14.0,,21.0,,,
134,2,,,,,,,,,,
300,2,21.0,4.0,8.0,3.0,8.0,,5.0,2.0,3.0,
289,2,1.0,0.0,,,1.0,,,,,
515,2,1.0,0.0,1.0,,,,,,,
472,2,21.0,7.0,11.0,,7.0,,3.0,1.0,2.0,
247,2,3.0,0.0,1.0,,1.0,,1.0,,,
481,2,14.0,3.0,7.0,,3.0,,4.0,2.0,1.0,
786,2,32.0,10.0,9.0,,13.0,,10.0,1.0,,
87,2,30.0,10.0,7.0,7.0,5.0,,18.0,2.0,3.0,
46,2,9.0,3.0,4.0,1.0,3.0,,2.0,,,
200,2,27.0,10.0,13.0,,9.0,,5.0,,,
388,2,39.0,11.0,10.0,9.0,10.0,,19.0,,11.0,
466,2,,,,,,,,,,
277,2,28.0,4.0,8.0,12.0,9.0,,11.0,,1.0,
682,2,3.0,1.0,,,2.0,,1.0,,,
180,2,32.0,8.0,4.0,1.0,17.0,1.0,11.0,3.0,3.0,
335,2,38.0,11.0,9.0,13.0,4.0,,25.0,,7.0,
321,2,1.0,1.0,1.0,,,,,,,
518,2,5.0,2.0,,,3.0,,2.0,,,
461,2,,,,,,,,,,
416,2,16.0,3.0,7.0,,8.0,,1.0,,,
526,2,,,,,,,,,,
3,2,35.0,17.0,16.0,,6.0,1.0,13.0,1.0,2.0,
83,2,15.0,3.0,5.0,1.0,3.0,,7.0,1.0,1.0,
125,2,40.0,11.0,13.0,,14.0,,13.0,,1.0,
329,2,,,,,,,,,,
62,2,29.0,10.0,9.0,8.0,9.0,,11.0,1.0,5.0,
600,2,16.0,3.0,6.0,1.0,6.0,,4.0,,,
687,2,16.0,3.0,4.0,1.0,8.0,,4.0,,1.0,
