id,year_id,appearances,clean_sheet,draws,losses,wins,goal_assist,yellow_card,goals,red_card,own_goals
397,7,29.0,9.0,9.0,13.0,7.0,,7.0,1.0,,
939,7,,,,,,,,,,
1430,7,,,,,,,,,,
1282,7,31.0,5.0,10.0,14.0,7.0,1.0,8.0,,,2.0
1571,7,,,,,,,,,,
1338,7,,,,,,,,,,
1626,7,6.0,1.0,1.0,3.0,2.0,,1.0,,,
552,7,,,,,,,,,,
1209,7,5.0,2.0,,,5.0,,,,,
1309,7,6.0,0.0,,4.0,2.0,1.0,,,,
112,7,35.0,10.0,15.0,10.0,10.0,3.0,10.0,1.0,,
1131,7,5.0,0.0,2.0,,3.0,,,,,
181,7,34.0,11.0,8.0,16.0,10.0,1.0,8.0,1.0,,
1274,7,16.0,5.0,7.0,4.0,5.0,,1.0,2.0,,
1356,7,30.0,5.0,13.0,2.0,15.0,4.0,2.0,10.0,,
1014,7,15.0,3.0,4.0,6.0,5.0,2.0,3.0,,,
1132,7,34.0,17.0,10.0,4.0,20.0,3.0,7.0,3.0,1.0,
1303,7,,,,,,,,,,
922,7,,,,,,,,,,
1150,7,9.0,3.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,
1298,7,23.0,5.0,7.0,3.0,13.0,,5.0,,,
1644,7,6.0,0.0,1.0,5.0,,,2.0,,,
997,7,,,,,,,,,,
1235,7,21.0,2.0,4.0,14.0,3.0,4.0,5.0,6.0,1.0,
1179,7,35.0,9.0,13.0,11.0,11.0,5.0,9.0,9.0,1.0,
932,7,17.0,4.0,8.0,6.0,3.0,1.0,3.0,5.0,,
894,7,22.0,5.0,7.0,9.0,6.0,1.0,2.0,3.0,,
733,7,25.0,9.0,11.0,7.0,7.0,1.0,4.0,,,
720,7,34.0,9.0,9.0,13.0,12.0,4.0,2.0,,1.0,1.0
1070,7,31.0,8.0,10.0,10.0,11.0,,4.0,1.0,,
1521,7,,,,,,,,,,
912,7,,,,,,,,,,
1558,7,14.0,2.0,1.0,7.0,6.0,2.0,2.0,,,
1567,7,18.0,1.0,9.0,2.0,7.0,3.0,5.0,3.0,,
228,7,21.0,4.0,6.0,5.0,10.0,2.0,3.0,,,
245,7,31.0,7.0,8.0,13.0,10.0,2.0,9.0,10.0,,
80,7,30.0,7.0,12.0,12.0,6.0,4.0,6.0,3.0,1.0,
1181,7,,,,,,,,,,
1585,7,,,,,,,,,,
1328,7,,,,,,,,,,
664,7,2.0,0.0,,2.0,,,,,,
796,7,,,,,,,,,,
107,7,22.0,8.0,9.0,3.0,10.0,4.0,7.0,,1.0,
11,7,30.0,16.0,10.0,3.0,17.0,2.0,8.0,,,
404,7,2.0,0.0,,2.0,,,1.0,,,
1534,7,,,,,,,,,,
1643,7,3.0,0.0,,2.0,1.0,,,,,
1332,7,,,,,,,,,,
252,7,26.0,5.0,6.0,11.0,9.0,,1.0,,,
994,7,,,,,,,,,,
1381,7,11.0,1.0,5.0,4.0,2.0,1.0,,2.0,,
1402,7,15.0,1.0,1.0,8.0,6.0,5.0,,6.0,,
1200,7,9.0,0.0,4.0,4.0,1.0,,,,,
1210,7,22.0,6.0,9.0,1.0,12.0,,2.0,3.0,,
799,7,25.0,0.0,9.0,13.0,3.0,2.0,5.0,1.0,,
1615,7,38.0,11.0,7.0,18.0,13.0,5.0,4.0,2.0,,
1336,7,21.0,2.0,8.0,10.0,3.0,1.0,3.0,1.0,,
1453,7,1.0,0.0,,1.0,,,1.0,,,
1565,7,25.0,8.0,7.0,6.0,12.0,1.0,5.0,2.0,,
1283,7,6.0,0.0,2.0,1.0,3.0,,2.0,,,
1468,7,13.0,0.0,4.0,6.0,3.0,3.0,1.0,2.0,,
1621,7,22.0,4.0,3.0,9.0,10.0,,5.0,5.0,,
1195,7,19.0,5.0,4.0,9.0,6.0,,,,,
1502,7,12.0,1.0,2.0,1.0,9.0,2.0,,6.0,,
909,7,36.0,11.0,9.0,13.0,14.0,4.0,1.0,14.0,,
1473,7,,,,,,,,,,
524,7,23.0,5.0,8.0,11.0,4.0,1.0,1.0,,,
916,7,17.0,0.0,6.0,10.0,1.0,1.0,,,,
1193,7,36.0,12.0,13.0,12.0,11.0,,2.0,,,
1627,7,1.0,0.0,,1.0,,,,,,
407,7,35.0,9.0,12.0,3.0,20.0,,8.0,2.0,,
1249,7,21.0,1.0,7.0,11.0,3.0,2.0,5.0,1.0,,
694,7,,,,,,,,,,
807,7,26.0,3.0,9.0,10.0,7.0,3.0,3.0,,,
1520,7,38.0,9.0,12.0,18.0,8.0,2.0,4.0,3.0,,
1049,7,38.0,8.0,13.0,7.0,18.0,9.0,3.0,6.0,,
629,7,10.0,0.0,2.0,5.0,3.0,,,,1.0,
1387,7,,,,,,,,,,
1495,7,,,,,,,,,,
1204,7,7.0,0.0,1.0,1.0,5.0,,,,,
1280,7,9.0,0.0,,5.0,4.0,2.0,4.0,1.0,,
1572,7,,,,,,,,,,
1645,7,7.0,1.0,,1.0,6.0,,,2.0,,
1169,7,37.0,9.0,13.0,12.0,12.0,,7.0,,,
800,7,38.0,16.0,9.0,13.0,16.0,3.0,4.0,5.0,,1.0
1359,7,,,,,,,,,,
14,7,34.0,18.0,11.0,4.0,19.0,1.0,5.0,1.0,2.0,
872,7,1.0,0.0,,1.0,,,,,,
973,7,9.0,1.0,2.0,4.0,3.0,,,1.0,,
1641,7,7.0,1.0,3.0,,4.0,1.0,,,,
1539,7,4.0,0.0,2.0,2.0,,,2.0,,,
1388,7,7.0,1.0,2.0,1.0,4.0,,1.0,,,
1439,7,26.0,2.0,8.0,9.0,9.0,3.0,2.0,5.0,,
1515,7,2.0,1.0,1.0,,1.0,,,,,
928,7,17.0,5.0,5.0,5.0,7.0,2.0,2.0,3.0,,
1477,7,22.0,1.0,7.0,8.0,7.0,2.0,1.0,,1.0,
1199,7,37.0,12.0,12.0,13.0,12.0,3.0,6.0,1.0,,
1300,7,27.0,14.0,5.0,3.0,19.0,3.0,4.0,4.0,2.0,
996,7,,,,,,,,,,
1352,7,17.0,2.0,7.0,,10.0,,3.0,,,
1114,7,15.0,4.0,3.0,5.0,7.0,1.0,3.0,,,
533,7,30.0,2.0,5.0,17.0,8.0,7.0,10.0,6.0,,
1148,7,33.0,12.0,12.0,2.0,19.0,1.0,7.0,4.0,1.0,
93,7,1.0,0.0,,,1.0,,,,,
70,7,31.0,9.0,12.0,3.0,16.0,2.0,4.0,,1.0,
1603,7,16.0,3.0,3.0,9.0,4.0,1.0,5.0,,1.0,
1221,7,5.0,0.0,1.0,1.0,3.0,,1.0,2.0,,
225,7,,,,,,,,,,
936,7,10.0,0.0,2.0,7.0,1.0,,1.0,,,
1296,7,6.0,4.0,1.0,1.0,4.0,,,,,
812,7,14.0,4.0,2.0,6.0,6.0,,5.0,2.0,,
1497,7,16.0,1.0,4.0,3.0,9.0,,4.0,1.0,,
1192,7,2.0,0.0,2.0,,,,,,,
1625,7,,,,,,,,,,
1630,7,3.0,1.0,1.0,2.0,,,,,,
1596,7,10.0,0.0,5.0,3.0,2.0,1.0,1.0,,,
1246,7,33.0,7.0,7.0,16.0,10.0,,3.0,,1.0,1.0
1524,7,,,,,,,,,,
1556,7,27.0,8.0,8.0,13.0,6.0,,7.0,1.0,1.0,
1403,7,2.0,0.0,,1.0,1.0,,,,,
757,7,6.0,0.0,2.0,3.0,1.0,,,,,
1529,7,1.0,0.0,,1.0,,,,,,
530,7,20.0,3.0,5.0,7.0,8.0,1.0,1.0,,,
293,7,30.0,11.0,7.0,10.0,13.0,2.0,4.0,1.0,1.0,
1306,7,8.0,1.0,5.0,1.0,2.0,,,,,
1511,7,10.0,0.0,4.0,5.0,1.0,,4.0,1.0,,
1411,7,8.0,0.0,4.0,,4.0,,,,,
1414,7,,,,,,,,,,
259,7,20.0,2.0,6.0,8.0,6.0,2.0,2.0,1.0,1.0,
426,7,10.0,2.0,4.0,3.0,3.0,,,3.0,,
146,7,34.0,13.0,10.0,7.0,17.0,,,,,
1046,7,,,,,,,,,,
1648,7,6.0,0.0,1.0,4.0,1.0,,1.0,,,
67,7,6.0,1.0,2.0,,4.0,,1.0,,,
238,7,29.0,5.0,7.0,12.0,10.0,2.0,5.0,3.0,,
1525,7,,,,,,,,,,
1052,7,26.0,3.0,10.0,9.0,7.0,2.0,4.0,1.0,1.0,
1042,7,,,,,,,,,,
413,7,,,,,,,,,,
1003,7,16.0,4.0,5.0,6.0,5.0,,3.0,,,
900,7,,,,,,,,,,
271,7,28.0,4.0,7.0,10.0,11.0,6.0,2.0,4.0,,
1509,7,,,,,,,,,,
1448,7,3.0,1.0,1.0,1.0,1.0,,,,,
1278,7,,,,,,,,,,
1113,7,,,,,,,,,,
1527,7,25.0,4.0,9.0,11.0,5.0,,,8.0,,
1304,7,1.0,0.0,,,1.0,,,,,
1407,7,17.0,1.0,6.0,4.0,7.0,2.0,,,,
1232,7,1.0,1.0,,,1.0,,,,,
1542,7,1.0,0.0,,,1.0,,,,,
1506,7,,,,,,,,,,
1616,7,4.0,0.0,1.0,2.0,1.0,,,1.0,,
456,7,22.0,2.0,9.0,8.0,5.0,,3.0,,,
1438,7,1.0,0.0,1.0,,,,,,,
