id,year_id,appearances,clean_sheet,draws,losses,wins,goal_assist,yellow_card,goals,red_card,own_goals
505,7,1.0,0.0,,,1.0,,,,,
1514,7,23.0,5.0,8.0,12.0,3.0,1.0,1.0,,,
315,7,29.0,10.0,10.0,3.0,16.0,2.0,2.0,2.0,1.0,
453,7,26.0,10.0,10.0,8.0,8.0,1.0,2.0,,,
326,7,34.0,8.0,7.0,13.0,14.0,4.0,9.0,6.0,,
1460,7,,,,,,,,,,
670,7,31.0,8.0,9.0,12.0,10.0,2.0,2.0,5.0,,
125,7,38.0,11.0,7.0,18.0,13.0,1.0,3.0,2.0,1.0,
1135,7,35.0,6.0,12.0,4.0,19.0,5.0,1.0,17.0,,
566,7,32.0,8.0,12.0,11.0,9.0,9.0,6.0,3.0,,
924,7,6.0,1.0,1.0,4.0,1.0,,2.0,,,
1040,7,,,,,,,,,,
1639,7,8.0,1.0,,5.0,3.0,1.0,,,,
1273,7,,,,,,,,,,
1562,7,23.0,4.0,5.0,12.0,6.0,,3.0,4.0,,
1277,7,27.0,7.0,11.0,8.0,8.0,2.0,2.0,9.0,,
128,7,25.0,6.0,7.0,8.0,10.0,1.0,6.0,,,
1339,7,,,,,,,,,,
1608,7,2.0,0.0,1.0,,1.0,,,,,
1543,7,16.0,0.0,6.0,7.0,3.0,2.0,1.0,5.0,1.0,
1415,7,4.0,1.0,1.0,1.0,2.0,,,,,
1158,7,,,,,,,,,,
3,7,26.0,16.0,7.0,3.0,16.0,,4.0,1.0,,
726,7,6.0,0.0,1.0,2.0,3.0,1.0,,1.0,,
1394,7,22.0,0.0,7.0,7.0,8.0,1.0,2.0,4.0,,
509,7,24.0,2.0,6.0,13.0,5.0,1.0,4.0,3.0,,
269,7,13.0,1.0,3.0,6.0,4.0,,,,,
1308,7,32.0,8.0,8.0,10.0,14.0,1.0,3.0,2.0,,1.0
569,7,24.0,3.0,7.0,12.0,5.0,3.0,4.0,3.0,,
104,7,3.0,0.0,,2.0,1.0,,,,,
1185,7,37.0,14.0,10.0,16.0,11.0,5.0,8.0,3.0,,
1499,7,,,,,,,,,,
1474,7,3.0,0.0,2.0,1.0,,,,,,
590,7,24.0,3.0,9.0,6.0,9.0,,1.0,,,
518,7,,,,,,,,,,
1145,7,28.0,9.0,11.0,3.0,14.0,2.0,6.0,3.0,,
1219,7,2.0,0.0,,1.0,1.0,,,,,
1227,7,34.0,4.0,12.0,12.0,10.0,4.0,2.0,6.0,,
1591,7,4.0,0.0,2.0,2.0,,,,,,
1005,7,35.0,5.0,6.0,18.0,11.0,7.0,4.0,5.0,,
1251,7,4.0,0.0,,2.0,2.0,,,1.0,,
600,7,23.0,2.0,9.0,7.0,7.0,1.0,,,,
1272,7,12.0,5.0,3.0,4.0,5.0,,,,,
331,7,34.0,9.0,13.0,3.0,18.0,11.0,6.0,6.0,,
745,7,11.0,2.0,3.0,7.0,1.0,,,3.0,,
1205,7,32.0,6.0,9.0,11.0,12.0,4.0,4.0,7.0,,
991,7,29.0,13.0,6.0,4.0,19.0,13.0,5.0,12.0,,
1241,7,34.0,6.0,6.0,16.0,12.0,2.0,7.0,6.0,,
1496,7,,,,,,,,,,
1582,7,25.0,0.0,9.0,2.0,14.0,3.0,2.0,1.0,,
136,7,,,,,,,,,,
260,7,23.0,3.0,3.0,11.0,9.0,2.0,5.0,,,
325,7,,,,,,,,,,
1190,7,35.0,14.0,12.0,6.0,17.0,2.0,8.0,9.0,,
589,7,28.0,5.0,9.0,12.0,7.0,,,,,1.0
1606,7,28.0,5.0,8.0,15.0,5.0,1.0,3.0,1.0,,
1466,7,4.0,0.0,1.0,2.0,1.0,,1.0,,,
243,7,18.0,5.0,6.0,5.0,7.0,,8.0,,,
32,7,15.0,9.0,4.0,3.0,8.0,,1.0,,,
1458,7,23.0,2.0,5.0,13.0,5.0,,,,,
1390,7,1.0,0.0,,,1.0,,,,,
1112,7,4.0,2.0,1.0,2.0,1.0,,1.0,,,
779,7,9.0,0.0,3.0,2.0,4.0,,,,,
285,7,,,,,,,,,,
1588,7,1.0,0.0,,,1.0,,,,,
942,7,32.0,4.0,10.0,10.0,12.0,5.0,6.0,,,
1508,7,,,,,,,,,,
1549,7,1.0,0.0,,1.0,,,,,,
852,7,13.0,1.0,5.0,4.0,4.0,,3.0,,1.0,
1043,7,7.0,0.0,2.0,4.0,1.0,,,,,
1361,7,33.0,4.0,8.0,17.0,8.0,6.0,10.0,4.0,,
1155,7,25.0,4.0,7.0,12.0,6.0,1.0,3.0,,,
1583,7,4.0,0.0,3.0,,1.0,,,,,
1516,7,18.0,5.0,5.0,8.0,5.0,,2.0,,,
9,7,19.0,6.0,7.0,2.0,10.0,,3.0,,,
663,7,,,,,,,,,,
789,7,3.0,1.0,1.0,1.0,1.0,,,,,
1613,7,,,,,,,,,,
1624,7,3.0,0.0,,2.0,1.0,,,,,
1410,7,13.0,0.0,6.0,2.0,5.0,,1.0,1.0,,
1247,7,30.0,7.0,7.0,10.0,13.0,11.0,3.0,3.0,,
256,7,23.0,2.0,4.0,12.0,7.0,1.0,7.0,,,
1393,7,21.0,1.0,6.0,8.0,7.0,,3.0,9.0,,
1547,7,4.0,0.0,,2.0,2.0,,,,,
332,7,31.0,7.0,12.0,3.0,16.0,3.0,3.0,2.0,1.0,
74,7,16.0,3.0,4.0,1.0,11.0,2.0,1.0,,,
1472,7,,,,,,,,,,
1456,7,,,,,,,,,,
513,7,5.0,0.0,2.0,2.0,1.0,,,1.0,,
1416,7,,,,,,,,,,
775,7,20.0,6.0,7.0,5.0,8.0,,4.0,,1.0,
523,7,23.0,6.0,7.0,9.0,7.0,1.0,2.0,,,
1501,7,1.0,0.0,1.0,,,,,,,
1186,7,30.0,1.0,10.0,15.0,5.0,1.0,6.0,4.0,,
376,7,6.0,0.0,1.0,4.0,1.0,,,,,
749,7,16.0,1.0,2.0,8.0,6.0,,,1.0,,
1633,7,,,,,,,,,,
1589,7,,,,,,,,,,
1333,7,34.0,10.0,13.0,14.0,7.0,1.0,7.0,1.0,,
1634,7,,,,,,,,,,
25,7,8.0,2.0,,4.0,4.0,2.0,1.0,9.0,,
1546,7,29.0,9.0,9.0,11.0,9.0,,4.0,5.0,,
1240,7,31.0,7.0,5.0,14.0,12.0,6.0,9.0,8.0,,
318,7,,,,,,,,,,
1537,7,10.0,1.0,5.0,1.0,4.0,,2.0,1.0,,
776,7,37.0,12.0,13.0,13.0,11.0,3.0,3.0,,,
1557,7,18.0,8.0,8.0,7.0,3.0,1.0,2.0,,1.0,
915,7,34.0,7.0,9.0,11.0,14.0,3.0,5.0,1.0,1.0,2.0
466,7,31.0,3.0,8.0,17.0,6.0,2.0,1.0,9.0,,
396,7,11.0,6.0,4.0,1.0,6.0,,2.0,1.0,,
1553,7,2.0,0.0,,1.0,1.0,,,,,
398,7,34.0,4.0,8.0,20.0,6.0,,7.0,2.0,1.0,
808,7,1.0,0.0,,1.0,,,,,,
1500,7,,,,,,,,,,
1619,7,16.0,3.0,3.0,8.0,5.0,,4.0,1.0,,
1146,7,,,,,,,,,,
1494,7,,,,,,,,,,
1220,7,2.0,0.0,1.0,1.0,,,,,,
1229,7,,,,,,,,,,
1354,7,,,,,,,,,,
923,7,,,,,,,,,,
1067,7,,,,,,,,,,
105,7,,,,,,,,,,
1442,7,,,,,,,,,,
627,7,20.0,2.0,3.0,8.0,9.0,3.0,5.0,1.0,1.0,
999,7,12.0,3.0,4.0,7.0,1.0,,1.0,,,
937,7,32.0,10.0,12.0,8.0,12.0,1.0,6.0,1.0,,
193,7,31.0,11.0,10.0,11.0,10.0,,1.0,10.0,,
1284,7,16.0,0.0,6.0,7.0,3.0,,1.0,3.0,,
1611,7,9.0,1.0,,5.0,4.0,,2.0,,,
1629,7,,,,,,,,,,
1130,7,,,,,,,,,,
1559,7,20.0,9.0,8.0,7.0,5.0,,4.0,1.0,,
1002,7,,,,,,,,,,
961,7,17.0,0.0,7.0,5.0,5.0,,1.0,,,
940,7,22.0,2.0,6.0,13.0,3.0,,2.0,,,
972,7,35.0,7.0,11.0,15.0,9.0,2.0,3.0,,,
1449,7,7.0,0.0,1.0,3.0,3.0,1.0,,1.0,,
1224,7,1.0,0.0,,1.0,,,,,,
1110,7,1.0,0.0,,1.0,,,,,,
1065,7,,,,,,,,,,
394,7,12.0,3.0,2.0,6.0,4.0,,,,,
1351,7,31.0,7.0,9.0,12.0,10.0,1.0,3.0,1.0,,1.0
1436,7,30.0,3.0,12.0,10.0,8.0,,6.0,3.0,2.0,
1216,7,5.0,0.0,1.0,,4.0,1.0,,2.0,,
1427,7,4.0,0.0,,,4.0,,,,,
1340,7,5.0,0.0,2.0,2.0,1.0,1.0,,,1.0,
1207,7,11.0,1.0,4.0,4.0,3.0,,1.0,1.0,,
1535,7,,,,,,,,,,
1175,7,30.0,10.0,12.0,10.0,8.0,1.0,7.0,1.0,,
1560,7,30.0,7.0,7.0,15.0,8.0,,13.0,2.0,1.0,
1622,7,,,,,,,,,,
1020,7,,,,,,,,,,
1610,7,16.0,0.0,4.0,8.0,4.0,2.0,3.0,2.0,,
1350,7,35.0,13.0,13.0,3.0,19.0,1.0,2.0,,,
13,7,36.0,20.0,12.0,3.0,21.0,1.0,5.0,,1.0,
1526,7,,,,,,,,,,
1149,7,30.0,7.0,13.0,3.0,14.0,4.0,9.0,2.0,,
91,7,26.0,3.0,7.0,16.0,3.0,,2.0,,,
1581,7,,,,,,,,,,
1451,7,19.0,4.0,3.0,8.0,8.0,2.0,1.0,7.0,1.0,
1004,7,28.0,1.0,8.0,13.0,7.0,2.0,,1.0,,
1561,7,4.0,0.0,,4.0,,,,,,
903,7,23.0,3.0,4.0,7.0,12.0,,4.0,2.0,,
1163,7,18.0,5.0,7.0,7.0,4.0,,,,,
1498,7,12.0,0.0,2.0,1.0,9.0,,,,,
551,7,16.0,4.0,7.0,6.0,3.0,1.0,2.0,,1.0,
1590,7,14.0,0.0,5.0,5.0,4.0,1.0,1.0,,,
338,7,34.0,7.0,8.0,15.0,11.0,5.0,5.0,14.0,,
1389,7,11.0,1.0,6.0,2.0,3.0,,3.0,,,
1245,7,4.0,1.0,,3.0,1.0,,1.0,,,
669,7,25.0,7.0,10.0,2.0,13.0,,8.0,,,1.0
929,7,36.0,11.0,12.0,16.0,8.0,2.0,10.0,2.0,,
488,7,26.0,5.0,11.0,7.0,8.0,2.0,2.0,6.0,,
1392,7,25.0,3.0,8.0,8.0,9.0,1.0,4.0,,,
528,7,28.0,7.0,5.0,15.0,8.0,4.0,4.0,1.0,1.0,
1418,7,,,,,,,,,,
598,7,35.0,7.0,12.0,14.0,9.0,2.0,2.0,5.0,,1.0
192,7,,,,,,,,,,
1184,7,16.0,5.0,3.0,8.0,5.0,,5.0,,1.0,
1504,7,2.0,0.0,,1.0,1.0,,,,,
1337,7,15.0,1.0,6.0,6.0,3.0,,2.0,1.0,,
1577,7,3.0,0.0,,2.0,1.0,,,,,
35,7,25.0,9.0,6.0,6.0,13.0,2.0,3.0,2.0,,
1503,7,,,,,,,,,,
696,7,9.0,4.0,2.0,3.0,4.0,,2.0,,,
1604,7,2.0,0.0,,2.0,,,,,,
1118,7,33.0,5.0,11.0,12.0,10.0,1.0,4.0,10.0,,
229,7,18.0,4.0,7.0,6.0,5.0,2.0,3.0,1.0,,
1391,7,23.0,5.0,10.0,7.0,6.0,3.0,6.0,,,
1370,7,22.0,3.0,7.0,10.0,5.0,,3.0,,,
389,7,22.0,0.0,7.0,7.0,8.0,,1.0,6.0,,
1601,7,12.0,1.0,2.0,6.0,4.0,,1.0,,,
1445,7,38.0,12.0,7.0,18.0,13.0,2.0,3.0,1.0,,
1533,7,31.0,12.0,13.0,3.0,15.0,1.0,5.0,,,
1156,7,,,,,,,,,,
1564,7,,,,,,,,,,
1397,7,1.0,0.0,,1.0,,,,,,
1105,7,,,,,,,,,,
45,7,1.0,0.0,1.0,,,,,,,
