id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_pull_back,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high_left,att_cmiss_left,att_cmiss_right,att_fastbreak,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_lg_left,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_post,att_obox_target,att_obx_centre,att_openplay,att_post_high,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,final_third_entries,formation_place,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,goal_fastbreak,hand_ball,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,put_through,rightside_pass,second_goal_assist,shield_ball_oop,shot_fastbreak,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,att_freekick_miss,att_freekick_total,att_hd_target,offside_provoked,accurate_corners_intobox,accurate_freekick_cross,assist_attempt_saved,assist_free_kick_won,assist_pass_lost,att_assist_setplay,att_cmiss_high,att_cmiss_high_right,att_freekick_target,att_goal_high_centre,att_obox_goal,att_obx_left,att_one_on_one,att_pen_goal,att_pen_target,freekick_cross,goal_assist_setplay,penalty_won,total_corners_intobox,att_freekick_post,att_ibox_post,att_obxd_right,att_post_left,att_post_right,own_goals,last_man_tackle,att_goal_high_left,att_lg_centre,penalty_conceded,red_card,assist_penalty_won,attempts_obox,six_yard_block,att_obxd_left,goal_assist_deadball,assist_post,attempts_ibox,att_freekick_goal,att_sv_high_right,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,foul_throw_in,second_yellow,assist_own_goal,att_hd_post,dangerous_play,clearance_off_line,att_obp_goal,penalty_save,assist_blocked_shot,assist_handball_won,att_obx_right,att_lg_right,att_pen_miss,back_pass,att_corner,fifty_fifty,successful_fifty_fifty,att_pen_post
15041,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10953,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12215,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4506,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13247,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14637,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,54,272.0,52.0,6.0,6.0,1.0,318.0,18.0,1.0,58.0,584.0,,1.0,129.0,12.0,22.0,23.0,10.0,193.0,126.0,10.0,1.0,,,,,,,,,,,,,,,,,1.0,,3.0,3.0,,,,,,,4.0,,,3.0,7.0,2.0,,,1.0,5.0,2.0,,1.0,1.0,,2.0,74.0,116.0,3.0,1.0,,9.0,34.0,4.0,25.0,6.0,,10.0,22.0,18.0,7.0,89.0,116.0,9.0,62.0,24.0,1.0,2.0,160.0,6.0,6.0,12.0,342.0,21.0,,34.0,29.0,5.0,,,,,,,24.0,31.0,,38.0,6.0,38.0,284.0,167.0,108.0,9.0,20.0,1955.0,6.0,5.0,4.0,717.0,11.0,4.0,22.0,219.0,65.0,,299.0,296.0,2.0,74.0,40.0,,34.0,40.0,1.0,1.0,,,167.0,567.0,13.0,11.0,309.0,92.0,65.0,49.0,32.0,32.0,205189.40380859372,,251.0,2.0,463.0,49.0,1.0,113.0,,740.0,,8.0,,2.0,49.0,1.0,162.0,1278.0,14.0,29.0,29.0,18.0,7.0,27.0,8.0,35.0,1.0,,,,10.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
4835,54,387.0,24.0,,,0.0,177.0,7.0,,69.0,564.0,,,4.0,36.0,24.0,17.0,12.0,153.0,93.0,2.0,4.0,,,,,,,,,,,,2.0,4.0,,,2.0,3.0,,,,,2.0,,,1.0,,,1.0,,1.0,2.0,2.0,,,2.0,3.0,3.0,,,1.0,2.0,1.0,50.0,82.0,,2.0,,5.0,22.0,,10.0,2.0,,,,2.0,2.0,71.0,70.0,5.0,96.0,46.0,2.0,1.0,74.0,41.0,,26.0,248.0,15.0,,36.0,35.0,1.0,,,,,,1.0,49.0,58.0,,29.0,7.0,29.0,117.0,137.0,97.0,11.0,12.0,1408.0,2.0,,4.0,632.0,15.0,,67.0,48.0,2.0,4.0,117.0,104.0,,55.0,27.0,,22.0,243.0,,1.0,,3.0,48.0,540.0,13.0,2.0,425.0,40.0,109.0,6.0,,,142091.62491989136,,81.0,1.0,233.0,47.0,,125.0,,658.0,,7.0,,2.0,36.0,,6.0,909.0,10.0,2.0,2.0,5.0,4.0,5.0,1.0,23.0,5.0,,,2.0,14.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
10460,54,65.0,2.0,,,5.0,117.0,,34.0,1.0,182.0,,1.0,,50.0,22.0,24.0,3.0,157.0,116.0,10.0,13.0,6.0,4.0,,2.0,1.0,3.0,,1.0,3.0,,1.0,3.0,5.0,4.0,4.0,13.0,9.0,2.0,10.0,27.0,,2.0,,2.0,7.0,4.0,2.0,2.0,,5.0,9.0,36.0,,1.0,3.0,7.0,,1.0,2.0,6.0,2.0,2.0,91.0,29.0,1.0,2.0,3.0,,19.0,6.0,12.0,1.0,,,1.0,18.0,3.0,103.0,41.0,,3.0,1.0,,,26.0,54.0,4.0,19.0,54.0,16.0,4.0,23.0,20.0,3.0,4.0,3.0,1.0,2.0,,2.0,1.0,46.0,,3.0,,3.0,63.0,13.0,6.0,12.0,1.0,1428.0,6.0,7.0,18.0,229.0,0.0,3.0,31.0,26.0,13.0,5.0,141.0,141.0,6.0,9.0,14.0,,19.0,44.0,,,3.0,15.0,60.0,160.0,10.0,13.0,78.0,4.0,3.0,10.0,1.0,1.0,145737.01428222656,4.0,95.0,32.0,175.0,,36.0,2.0,11.0,252.0,,39.0,10.0,8.0,7.0,1.0,,409.0,54.0,40.0,40.0,11.0,9.0,2.0,6.0,5.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
4317,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4714,54,360.0,86.0,59.0,20.0,17.0,1526.0,,121.0,56.0,1827.0,2.0,4.0,21.0,16.0,7.0,33.0,7.0,219.0,128.0,66.0,21.0,6.0,2.0,0.0,1.0,,1.0,,3.0,2.0,2.0,2.0,,2.0,8.0,7.0,8.0,8.0,5.0,9.0,33.0,,5.0,1.0,1.0,2.0,3.0,2.0,4.0,,2.0,8.0,37.0,,1.0,1.0,4.0,,,,4.0,4.0,2.0,344.0,161.0,9.0,4.0,5.0,2.0,50.0,10.0,25.0,9.0,143.0,35.0,11.0,40.0,5.0,110.0,98.0,2.0,9.0,3.0,,1.0,253.0,50.0,12.0,14.0,591.0,32.0,8.0,30.0,27.0,3.0,8.0,9.0,8.0,5.0,1.0,,3.0,44.0,,15.0,,15.0,620.0,104.0,91.0,6.0,,2847.0,36.0,64.0,18.0,2028.0,1.0,6.0,339.0,281.0,339.0,8.0,548.0,548.0,23.0,50.0,88.0,,50.0,555.0,2.0,2.0,1.0,12.0,958.0,1759.0,14.0,100.0,396.0,151.0,9.0,50.0,187.0,75.0,315732.3117675781,1.0,1170.0,38.0,1901.0,2.0,126.0,87.0,20.0,2110.0,9.0,40.0,8.0,1.0,26.0,16.0,22.0,2647.0,145.0,62.0,62.0,33.0,22.0,32.0,24.0,20.0,2.0,1.0,3.0,,,39.0,7.0,1.0,,,25.0,1.0,,,,1.0,1.0,2.0,,,29.0,4.0,,112.0,,,,,,,,1.0,,,,,,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
6204,54,56.0,5.0,1.0,1.0,2.0,84.0,,12.0,6.0,139.0,,1.0,,14.0,7.0,15.0,11.0,74.0,52.0,3.0,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,2.0,,,,3.0,1.0,,,,,,38.0,27.0,,,,1.0,11.0,2.0,5.0,,,11.0,1.0,7.0,3.0,40.0,33.0,1.0,13.0,5.0,,,21.0,4.0,1.0,15.0,53.0,6.0,,13.0,13.0,,,,,,,,5.0,23.0,,5.0,,5.0,46.0,20.0,11.0,9.0,,633.0,1.0,2.0,,179.0,3.0,,22.0,49.0,6.0,2.0,68.0,68.0,4.0,9.0,14.0,,11.0,45.0,,,,1.0,41.0,136.0,7.0,3.0,64.0,14.0,13.0,3.0,12.0,12.0,84670.89797973633,,64.0,10.0,130.0,0.0,14.0,11.0,1.0,182.0,,3.0,4.0,9.0,14.0,1.0,1.0,277.0,18.0,4.0,4.0,12.0,3.0,2.0,5.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14161,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3719,54,263.0,8.0,,,0.0,242.0,144.0,,306.0,505.0,,,,,13.0,38.0,1.0,295.0,226.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,388.0,,,,,1.0,,1.0,6.0,,,,,7.0,2.0,17.0,,58.0,1.0,1.0,1.0,271.0,7.0,,1.0,847.0,38.0,,64.0,56.0,8.0,,,,,,,1.0,0.0,,2.0,2.0,2.0,97.0,747.0,257.0,20.0,38.0,3339.0,,1.0,,511.0,,,109.0,53.0,13.0,3.0,573.0,573.0,,63.0,0.0,,1.0,90.0,,,,,75.0,277.0,0.0,1.0,338.0,13.0,58.0,1.0,,,156887.15258789062,,258.0,0.0,696.0,450.0,,833.0,,1034.0,,,2.0,,,,,1460.0,,2.0,2.0,3.0,11.0,1.0,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,146.0,31.0,131.0,1.0,6.0,37.0,84.0,17.0,310.0,50.0,276.0,169.0,4.0,35.0,68.0,45.0,115.0,5.0,10.0,52.0,32.0,,,,,,,,1.0,,,,,,,,,,
1881,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4525,54,250.0,80.0,37.0,8.0,19.0,963.0,,67.0,72.0,1176.0,1.0,7.0,8.0,32.0,6.0,31.0,13.0,119.0,70.0,43.0,28.0,11.0,,,4.0,3.0,2.0,1.0,3.0,7.0,1.0,,2.0,3.0,12.0,7.0,11.0,13.0,1.0,6.0,13.0,,11.0,,3.0,7.0,10.0,25.0,20.0,,12.0,62.0,92.0,,12.0,18.0,89.0,1.0,4.0,3.0,8.0,8.0,2.0,219.0,129.0,7.0,4.0,4.0,4.0,57.0,37.0,47.0,4.0,92.0,21.0,9.0,57.0,8.0,196.0,147.0,4.0,5.0,1.0,,,241.0,66.0,9.0,18.0,415.0,28.0,13.0,27.0,23.0,4.0,10.0,7.0,6.0,3.0,1.0,,1.0,36.0,1.0,18.0,,18.0,263.0,73.0,56.0,5.0,1.0,2243.0,28.0,37.0,38.0,1377.0,,11.0,326.0,106.0,227.0,,489.0,489.0,19.0,33.0,77.0,,57.0,505.0,1.0,,2.0,31.0,617.0,1153.0,30.0,65.0,268.0,128.0,5.0,113.0,126.0,42.0,240936.02221679688,2.0,793.0,31.0,1260.0,2.0,67.0,107.0,4.0,1402.0,1.0,106.0,19.0,3.0,35.0,15.0,8.0,2038.0,110.0,56.0,56.0,36.0,18.0,70.0,28.0,23.0,2.0,2.0,9.0,1.0,,29.0,4.0,,,,15.0,1.0,,,,6.0,1.0,1.0,,,12.0,4.0,,84.0,,,,,,,,1.0,,,,,,1.0,1.0,2.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
13825,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10512,54,30.0,2.0,1.0,,,60.0,1.0,7.0,2.0,89.0,,,,1.0,1.0,5.0,2.0,22.0,14.0,2.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,26.0,13.0,,1.0,,1.0,7.0,,2.0,,3.0,4.0,1.0,8.0,1.0,15.0,24.0,1.0,1.0,0.0,,,13.0,0.0,2.0,4.0,29.0,2.0,,4.0,4.0,,,,,,,1.0,0.0,6.0,,4.0,1.0,4.0,26.0,6.0,2.0,3.0,,233.0,1.0,1.0,1.0,107.0,,1.0,24.0,19.0,9.0,,47.0,47.0,,5.0,8.0,,7.0,27.0,1.0,,,1.0,37.0,88.0,5.0,2.0,35.0,3.0,1.0,7.0,9.0,6.0,32623.92407226562,,46.0,1.0,82.0,5.0,8.0,7.0,2.0,108.0,,2.0,1.0,3.0,9.0,,,176.0,6.0,10.0,10.0,8.0,1.0,6.0,,9.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,54,109.0,7.0,6.0,3.0,1.0,209.0,1.0,21.0,4.0,312.0,,,8.0,7.0,0.0,25.0,1.0,99.0,81.0,15.0,1.0,2.0,3.0,,1.0,,1.0,,,,,,,,5.0,,1.0,,,1.0,5.0,,1.0,,1.0,1.0,1.0,5.0,3.0,,1.0,9.0,13.0,,,,10.0,,,,1.0,,,105.0,68.0,,,,1.0,20.0,10.0,12.0,,18.0,22.0,2.0,31.0,7.0,89.0,65.0,1.0,3.0,1.0,,,19.0,63.0,8.0,7.0,77.0,13.0,,22.0,17.0,5.0,,,,,,,1.0,9.0,,9.0,2.0,9.0,101.0,8.0,7.0,12.0,2.0,1057.0,10.0,8.0,1.0,369.0,2.0,17.0,59.0,48.0,47.0,,224.0,224.0,7.0,34.0,27.0,,20.0,95.0,,1.0,1.0,4.0,124.0,306.0,5.0,18.0,120.0,14.0,3.0,72.0,43.0,30.0,115913.28759765624,1.0,167.0,2.0,301.0,1.0,21.0,7.0,1.0,378.0,3.0,15.0,13.0,12.0,12.0,,9.0,665.0,49.0,39.0,39.0,13.0,6.0,40.0,16.0,10.0,,1.0,2.0,,,3.0,1.0,,,,3.0,1.0,1.0,,,,,,,,6.0,,,13.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13551,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4821,54,474.0,40.0,20.0,20.0,2.0,555.0,21.0,6.0,58.0,1009.0,,,269.0,39.0,54.0,36.0,25.0,301.0,204.0,14.0,,2.0,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,8.0,,,,,1.0,4.0,2.0,3.0,,,5.0,8.0,,,,,0.0,,,,,,248.0,191.0,1.0,1.0,,29.0,80.0,4.0,32.0,10.0,,56.0,49.0,21.0,10.0,154.0,231.0,29.0,100.0,57.0,1.0,1.0,252.0,18.0,10.0,60.0,550.0,35.0,,50.0,43.0,7.0,,1.0,1.0,1.0,,2.0,60.0,129.0,,54.0,4.0,54.0,89.0,260.0,131.0,15.0,32.0,3151.0,8.0,10.0,,1303.0,20.0,4.0,414.0,17.0,129.0,1.0,559.0,549.0,4.0,107.0,80.0,,80.0,444.0,,11.0,,5.0,235.0,990.0,40.0,18.0,574.0,93.0,110.0,20.0,109.0,109.0,360316.0606689453,,360.0,3.0,866.0,93.0,6.0,168.0,1.0,1331.0,,9.0,,1.0,106.0,1.0,341.0,2338.0,20.0,26.0,26.0,58.0,11.0,15.0,18.0,81.0,4.0,,,,8.0,,1.0,,,,3.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
12582,54,686.0,40.0,4.0,4.0,3.0,945.0,15.0,41.0,97.0,1627.0,,1.0,,19.0,32.0,33.0,36.0,206.0,131.0,24.0,7.0,1.0,2.0,,,,,,,,,,,,3.0,1.0,5.0,2.0,,1.0,5.0,,2.0,1.0,1.0,2.0,2.0,7.0,3.0,1.0,3.0,13.0,20.0,,1.0,4.0,20.0,1.0,,,3.0,1.0,,288.0,245.0,2.0,2.0,,8.0,62.0,10.0,51.0,8.0,,9.0,3.0,36.0,9.0,166.0,246.0,8.0,39.0,15.0,,1.0,243.0,53.0,5.0,51.0,583.0,32.0,1.0,31.0,23.0,8.0,1.0,1.0,1.0,1.0,,,15.0,141.0,1.0,81.0,3.0,81.0,555.0,231.0,158.0,10.0,6.0,2685.0,12.0,13.0,6.0,1858.0,9.0,4.0,176.0,338.0,45.0,2.0,346.0,346.0,11.0,110.0,124.0,1.0,62.0,459.0,,,,9.0,397.0,1600.0,41.0,25.0,757.0,80.0,39.0,36.0,12.0,12.0,316316.42626953125,,513.0,4.0,1140.0,39.0,41.0,158.0,,1885.0,,25.0,8.0,1.0,135.0,1.0,,2420.0,25.0,26.0,26.0,52.0,14.0,27.0,5.0,99.0,11.0,,,,1.0,,0.0,,,,,,,,1.0,,,,,,0.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,54,28.0,3.0,,,,6.0,8.0,,14.0,34.0,,,,,1.0,2.0,,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,2.0,,,,,,1.0,2.0,1.0,,3.0,,1.0,,5.0,0.0,,,32.0,1.0,,4.0,4.0,,,,,,,,,,,,,,7.0,15.0,6.0,1.0,,142.0,,,,25.0,,,1.0,4.0,1.0,,10.0,10.0,,2.0,,,,5.0,,,,,2.0,20.0,,,29.0,3.0,3.0,,,,5930.71997070312,,5.0,,15.0,16.0,,24.0,,44.0,,,,1.0,,,,59.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,6.0,,1.0,3.0,4.0,,11.0,1.0,6.0,6.0,,,3.0,1.0,4.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,
