id,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
3042,14,,,,,,,,,,
1771,14,17.0,8.0,4.0,,5.0,8.0,,2.0,,
2922,14,,,,,,,,,,
1972,14,24.0,3.0,3.0,1.0,19.0,2.0,3.0,5.0,,
566,14,,,,,,,,,,
2914,14,,,,,,,,,,
2873,14,,,,,,,,,,
2430,14,,,,,,,,,,
2875,14,,,,,,,,,,
3030,14,37.0,9.0,6.0,,16.0,15.0,,3.0,,
1843,14,31.0,1.0,11.0,3.0,14.0,6.0,1.0,3.0,,
2517,14,8.0,0.0,1.0,,2.0,5.0,,1.0,,
2972,14,5.0,0.0,,,5.0,,,,,
2622,14,9.0,1.0,2.0,1.0,5.0,2.0,1.0,,,
2547,14,22.0,4.0,5.0,,6.0,11.0,2.0,2.0,,
1999,14,17.0,3.0,4.0,,10.0,3.0,,,,
2905,14,2.0,0.0,2.0,1.0,,,,,,
1706,14,14.0,1.0,4.0,,6.0,4.0,,1.0,,
2093,14,28.0,3.0,6.0,3.0,15.0,7.0,2.0,2.0,,1.0
2428,14,,,,,,,,,,
1145,14,28.0,10.0,5.0,,12.0,11.0,1.0,3.0,,1.0
2913,14,,,,,,,,,,
2704,14,29.0,6.0,6.0,1.0,11.0,12.0,7.0,5.0,,1.0
2361,14,3.0,0.0,,,2.0,1.0,,1.0,,
3007,14,,,,,,,,,,
1854,14,16.0,1.0,2.0,1.0,7.0,7.0,,,,
1983,14,13.0,1.0,4.0,,7.0,2.0,,,,
2111,14,27.0,5.0,10.0,8.0,9.0,8.0,3.0,7.0,,
1308,14,36.0,8.0,11.0,3.0,15.0,10.0,2.0,9.0,,1.0
2349,14,,,,,,,,,,
2527,14,16.0,2.0,5.0,,8.0,3.0,1.0,4.0,,
2645,14,34.0,12.0,10.0,,11.0,13.0,,7.0,,1.0
1005,14,32.0,6.0,6.0,10.0,13.0,13.0,3.0,3.0,,
2969,14,16.0,0.0,3.0,1.0,7.0,6.0,2.0,1.0,,
2140,14,8.0,0.0,1.0,,6.0,1.0,,,,
2844,14,,,,,,,,,,
3013,14,34.0,6.0,6.0,5.0,13.0,15.0,6.0,3.0,,
2009,14,29.0,3.0,4.0,3.0,9.0,16.0,1.0,7.0,,
2537,14,,,,,,,,,,
2303,14,31.0,4.0,3.0,6.0,16.0,12.0,4.0,9.0,,1.0
1205,14,8.0,0.0,1.0,,5.0,2.0,1.0,1.0,,
1382,14,31.0,3.0,9.0,3.0,13.0,9.0,,,,
1869,14,27.0,6.0,4.0,13.0,9.0,14.0,2.0,5.0,,
2621,14,,,,,,,,,,
2857,14,1.0,0.0,,,1.0,,,,,
2886,14,,,,,,,,,,
2734,14,,,,,,,,,,
3004,14,,,,,,,,,,
2463,14,21.0,5.0,4.0,1.0,10.0,7.0,,5.0,1.0,
2881,14,19.0,0.0,5.0,2.0,6.0,8.0,,,,
2297,14,,,,,,,,,,
2421,14,,,,,,,,,,
1472,14,1.0,0.0,,,,1.0,,,,
2899,14,,,,,,,,,,
2624,14,6.0,0.0,1.0,,5.0,,,1.0,,
1890,14,24.0,7.0,5.0,2.0,6.0,13.0,1.0,4.0,,
2144,14,,,,,,,,,,
2876,14,,,,,,,,,,
1155,14,35.0,3.0,6.0,1.0,26.0,3.0,1.0,8.0,,1.0
918,14,16.0,5.0,5.0,,6.0,5.0,,3.0,1.0,1.0
1658,14,18.0,0.0,6.0,2.0,8.0,4.0,,,,
2620,14,7.0,1.0,1.0,1.0,4.0,2.0,,3.0,,
1190,14,28.0,5.0,5.0,1.0,12.0,11.0,2.0,2.0,1.0,1.0
1361,14,26.0,6.0,6.0,2.0,10.0,10.0,1.0,5.0,1.0,
2754,14,33.0,8.0,7.0,,14.0,12.0,,2.0,,1.0
2590,14,29.0,2.0,3.0,12.0,14.0,12.0,3.0,,,
2846,14,20.0,6.0,6.0,,8.0,6.0,,2.0,,
2743,14,,,,,,,,,,
332,14,24.0,3.0,6.0,3.0,13.0,5.0,,5.0,,1.0
1633,14,36.0,8.0,6.0,4.0,15.0,15.0,4.0,,,
1847,14,,,,,,,,,,
1589,14,24.0,3.0,3.0,,18.0,3.0,1.0,7.0,,1.0
776,14,19.0,6.0,4.0,,6.0,9.0,,5.0,,1.0
2533,14,,,,,,,,,,
1458,14,12.0,3.0,,,6.0,6.0,2.0,2.0,,
