id,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
1004,14,28.0,3.0,3.0,3.0,4.0,21.0,4.0,3.0,,
2246,14,3.0,0.0,1.0,,1.0,1.0,,,,
2803,14,3.0,3.0,1.0,,,2.0,,,,
2109,14,6.0,2.0,,,2.0,4.0,,1.0,,
2632,14,,,,,,,,,,
2344,14,10.0,0.0,2.0,,5.0,3.0,1.0,1.0,,
35,14,18.0,2.0,4.0,,10.0,4.0,,,,1.0
1948,14,20.0,5.0,5.0,2.0,6.0,9.0,,1.0,,
2524,14,,,,,,,,,,
19,14,13.0,3.0,3.0,,7.0,3.0,,3.0,,
2713,14,,,,,,,,,,
2940,14,34.0,6.0,8.0,1.0,4.0,22.0,8.0,,,
2630,14,17.0,0.0,4.0,2.0,10.0,3.0,,1.0,,
2654,14,21.0,11.0,1.0,,3.0,17.0,1.0,1.0,,
96,14,10.0,4.0,1.0,,3.0,6.0,,1.0,,
1518,14,26.0,7.0,5.0,1.0,11.0,10.0,1.0,8.0,,1.0
2808,14,20.0,2.0,6.0,3.0,6.0,8.0,,5.0,,
2814,14,,,,,,,,,,
2911,14,33.0,20.0,7.0,,5.0,21.0,,,,1.0
2554,14,6.0,0.0,1.0,,4.0,1.0,,,,
587,14,28.0,10.0,6.0,1.0,12.0,10.0,,5.0,,
2048,14,21.0,6.0,3.0,1.0,10.0,8.0,,,,
1096,14,5.0,2.0,1.0,,3.0,1.0,,,,
2869,14,8.0,0.0,,,3.0,5.0,1.0,2.0,,
921,14,34.0,12.0,8.0,,14.0,12.0,1.0,10.0,1.0,2.0
1768,14,23.0,5.0,6.0,4.0,9.0,8.0,4.0,,,
2737,14,3.0,1.0,,,,3.0,,,,
1914,14,,,,,,,,,,
1184,14,32.0,5.0,3.0,3.0,19.0,10.0,,9.0,,
8273,14,,,,,,,,,,
1433,14,2.0,0.0,,,1.0,1.0,,1.0,,
2231,14,1.0,0.0,,,1.0,,,,,
1835,14,33.0,6.0,5.0,7.0,11.0,17.0,4.0,2.0,,
1161,14,,,,,,,,,,
2885,14,,,,,,,,,,
2946,14,24.0,4.0,5.0,1.0,10.0,9.0,2.0,6.0,,
2167,14,,,,,,,,,,
2629,14,,,,,,,,,,
1168,14,27.0,8.0,5.0,,11.0,11.0,2.0,2.0,1.0,
2066,14,33.0,2.0,6.0,2.0,17.0,10.0,4.0,3.0,,
1092,14,9.0,2.0,3.0,1.0,5.0,1.0,,1.0,,1.0
2506,14,,,,,,,,,,
2541,14,20.0,2.0,4.0,,8.0,8.0,,,,
2958,14,30.0,4.0,7.0,,13.0,10.0,3.0,1.0,,
2471,14,,,,,,,,,,
2532,14,23.0,6.0,3.0,,10.0,10.0,1.0,4.0,,
3003,14,,,,,,,,,,
2468,14,3.0,1.0,1.0,,2.0,,,1.0,,
2120,14,29.0,6.0,8.0,3.0,11.0,10.0,3.0,5.0,,
2216,14,,,,,,,,,,
2715,14,,,,,,,,,,
2748,14,4.0,2.0,1.0,,2.0,1.0,,1.0,,
3041,14,8.0,0.0,4.0,,2.0,2.0,,1.0,,
2435,14,34.0,11.0,6.0,4.0,11.0,17.0,2.0,7.0,,
2888,14,,,,,,,,,,
2415,14,26.0,3.0,7.0,5.0,5.0,14.0,10.0,5.0,,
2150,14,19.0,4.0,5.0,,6.0,8.0,,4.0,,
2708,14,,,,,,,,,,
2138,14,22.0,2.0,2.0,1.0,12.0,8.0,1.0,3.0,,
3015,14,31.0,7.0,6.0,5.0,11.0,14.0,4.0,3.0,,
2653,14,24.0,11.0,3.0,1.0,4.0,17.0,1.0,5.0,,1.0
1695,14,22.0,7.0,5.0,,9.0,8.0,,2.0,1.0,1.0
2649,14,,,,,,,,,,
2790,14,,,,,,,,,,
1982,14,22.0,3.0,5.0,1.0,5.0,12.0,1.0,4.0,,
2549,14,5.0,0.0,,,5.0,,,1.0,,
2658,14,28.0,4.0,3.0,6.0,2.0,23.0,3.0,2.0,,2.0
2464,14,24.0,7.0,3.0,,10.0,11.0,1.0,5.0,,
2929,14,15.0,1.0,,1.0,10.0,5.0,,2.0,,
2925,14,13.0,1.0,,,9.0,4.0,1.0,2.0,,
2745,14,5.0,1.0,3.0,1.0,,2.0,,,,
2225,14,21.0,2.0,4.0,2.0,8.0,9.0,4.0,1.0,,
2110,14,32.0,14.0,5.0,1.0,5.0,22.0,1.0,,,
2183,14,8.0,4.0,4.0,,2.0,2.0,,1.0,,
2013,14,32.0,9.0,9.0,5.0,14.0,9.0,,5.0,,
2681,14,16.0,0.0,3.0,,7.0,6.0,3.0,,,
2064,14,36.0,14.0,7.0,16.0,5.0,24.0,9.0,8.0,,
2930,14,14.0,0.0,,4.0,10.0,4.0,1.0,1.0,,
2896,14,1.0,0.0,,,,1.0,,,,
2126,14,17.0,1.0,4.0,1.0,10.0,3.0,3.0,1.0,,1.0
2919,14,,,,,,,,,,
2385,14,34.0,7.0,4.0,8.0,16.0,14.0,3.0,4.0,,1.0
2447,14,22.0,1.0,8.0,3.0,6.0,8.0,4.0,3.0,,
1598,14,19.0,1.0,2.0,7.0,3.0,14.0,1.0,,,
1505,14,19.0,2.0,5.0,,10.0,4.0,1.0,2.0,,
2247,14,,,,,,,,,,
2224,14,2.0,0.0,,,2.0,,,,,
2219,14,4.0,0.0,,,3.0,1.0,,,,
660,14,2.0,0.0,,,2.0,,,,,
3029,14,16.0,2.0,5.0,3.0,7.0,4.0,2.0,5.0,,
3008,14,13.0,4.0,1.0,,6.0,6.0,,3.0,,
336,14,20.0,6.0,5.0,2.0,2.0,13.0,2.0,3.0,,
706,14,34.0,14.0,6.0,1.0,12.0,16.0,3.0,10.0,,1.0
2412,14,20.0,6.0,2.0,2.0,9.0,9.0,,2.0,,
1849,14,,,,,,,,,,
1934,14,27.0,0.0,2.0,,5.0,20.0,3.0,,,
1218,14,27.0,8.0,7.0,,11.0,9.0,1.0,,,
2508,14,,,,,,,,,,
2513,14,24.0,1.0,3.0,2.0,14.0,7.0,1.0,,,
2965,14,13.0,1.0,4.0,2.0,6.0,3.0,,1.0,,
89,14,32.0,5.0,5.0,10.0,13.0,14.0,4.0,3.0,,
1962,14,30.0,8.0,5.0,9.0,10.0,15.0,2.0,4.0,,
2288,14,17.0,0.0,3.0,1.0,5.0,9.0,1.0,1.0,,
576,14,26.0,2.0,6.0,6.0,10.0,10.0,3.0,5.0,,
2880,14,,,,,,,,,,
2786,14,5.0,0.0,1.0,,4.0,,,1.0,,
1719,14,33.0,10.0,7.0,1.0,5.0,21.0,2.0,4.0,,
3035,14,5.0,0.0,,,4.0,1.0,,,,
2882,14,,,,,,,,,,
2921,14,26.0,9.0,4.0,,5.0,17.0,1.0,8.0,,1.0
2998,14,1.0,0.0,1.0,,,,,,,
2452,14,18.0,2.0,2.0,,8.0,8.0,,,,
1217,14,3.0,0.0,2.0,,,1.0,,,,
2396,14,,,,,,,,,,
2416,14,,,,,,,,,,
2721,14,,,,,,,,,,
1597,14,32.0,6.0,6.0,6.0,11.0,15.0,2.0,2.0,1.0,1.0
2295,14,16.0,2.0,1.0,2.0,10.0,5.0,1.0,2.0,,
2970,14,2.0,0.0,1.0,,1.0,,,,,
2675,14,7.0,1.0,1.0,,5.0,1.0,,2.0,,
2837,14,5.0,1.0,1.0,,,4.0,,,,
2392,14,,,,,,,,,,
239,14,31.0,11.0,7.0,4.0,11.0,13.0,3.0,2.0,,
153,14,24.0,7.0,7.0,,9.0,8.0,2.0,2.0,,
2518,14,20.0,5.0,5.0,,11.0,4.0,,1.0,,
1828,14,,,,,,,,,,
2989,14,33.0,11.0,10.0,1.0,7.0,16.0,1.0,5.0,,1.0
2113,14,,,,,,,,,,
1974,14,9.0,2.0,1.0,,4.0,4.0,,,,
1095,14,28.0,5.0,8.0,,12.0,8.0,,5.0,,
2849,14,,,,,,,,,,
2436,14,30.0,0.0,5.0,1.0,24.0,1.0,,3.0,,
1017,14,24.0,4.0,7.0,1.0,11.0,6.0,,3.0,,
1295,14,2.0,0.0,,,1.0,1.0,,,,
2842,14,,,,,,,,,,
2296,14,29.0,3.0,3.0,,14.0,12.0,,3.0,,
2992,14,24.0,5.0,6.0,1.0,5.0,13.0,4.0,4.0,,
1353,14,36.0,20.0,4.0,4.0,3.0,29.0,,4.0,,
390,14,10.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,,
2184,14,16.0,2.0,5.0,,8.0,3.0,,3.0,,
1282,14,18.0,1.0,2.0,,11.0,5.0,,5.0,,
1751,14,36.0,11.0,12.0,,15.0,9.0,,,,
2045,14,,,,,,,,,,
1242,14,34.0,8.0,10.0,,18.0,6.0,,,,
3034,14,24.0,1.0,4.0,,11.0,9.0,3.0,,,1.0
2008,14,25.0,0.0,4.0,1.0,11.0,10.0,2.0,1.0,,
1206,14,16.0,0.0,4.0,2.0,8.0,4.0,1.0,5.0,1.0,
2242,14,,,,,,,,,,
2626,14,,,,,,,,,,
2712,14,,,,,,,,,,
2308,14,,,,,,,,,,
2656,14,,,,,,,,,,
356,14,22.0,5.0,3.0,2.0,11.0,8.0,,4.0,,1.0
1984,14,24.0,0.0,5.0,4.0,11.0,8.0,1.0,,,
3016,14,,,,,,,,,,
2024,14,27.0,4.0,3.0,1.0,8.0,16.0,,4.0,,1.0
2835,14,,,,,,,,,,
19110,14,,,,,,,,,,
2235,14,3.0,0.0,1.0,,,2.0,,,,1.0
2309,14,2.0,0.0,1.0,,1.0,,,,,
181,14,,,,,,,,,,
1131,14,24.0,5.0,5.0,1.0,14.0,5.0,,2.0,,
2070,14,38.0,18.0,8.0,,5.0,25.0,,,,
2901,14,10.0,0.0,2.0,,2.0,6.0,3.0,1.0,,1.0
2616,14,24.0,0.0,5.0,5.0,7.0,12.0,1.0,2.0,,
1309,14,36.0,2.0,4.0,8.0,19.0,13.0,7.0,4.0,,
2707,14,1.0,0.0,,,1.0,,,,,
2116,14,,,,,,,,,,
2960,14,14.0,0.0,3.0,1.0,9.0,2.0,,4.0,,
2964,14,9.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,,
1909,14,27.0,1.0,7.0,7.0,14.0,6.0,4.0,,,
2279,14,20.0,5.0,4.0,1.0,2.0,14.0,,1.0,1.0,
2710,14,,,,,,,,,,
544,14,,,,,,,,,,
2903,14,,,,,,,,,,
2868,14,,,,,,,,,,
1830,14,23.0,6.0,5.0,,11.0,7.0,1.0,3.0,,
2843,14,,,,,,,,,,
3031,14,,,,,,,,,,
309,14,,,,,,,,,,
2151,14,4.0,1.0,,,3.0,1.0,,,,
720,14,30.0,6.0,8.0,1.0,16.0,6.0,,4.0,1.0,
2935,14,11.0,3.0,,,2.0,9.0,,3.0,,
2282,14,,,,,,,,,,
912,14,18.0,2.0,2.0,,12.0,4.0,,,1.0,
2221,14,,,,,,,,,,
1558,14,33.0,11.0,6.0,1.0,14.0,13.0,,3.0,1.0,
2900,14,,,,,,,,,,
2171,14,4.0,0.0,1.0,,2.0,1.0,,1.0,,
1709,14,8.0,1.0,2.0,,5.0,1.0,,,,
2749,14,6.0,1.0,1.0,,4.0,1.0,1.0,,,
2853,14,,,,,,,,,,
2980,14,37.0,3.0,5.0,3.0,29.0,3.0,6.0,10.0,,
2514,14,5.0,0.0,,,5.0,,,,,
2505,14,,,,,,,,,,
2733,14,18.0,0.0,3.0,1.0,10.0,5.0,,1.0,,
2839,14,,,,,,,,,,
2850,14,,,,,,,,,,
2719,14,35.0,15.0,7.0,3.0,6.0,22.0,7.0,6.0,1.0,1.0
2218,14,,,,,,,,,,
2553,14,34.0,2.0,8.0,13.0,16.0,10.0,6.0,,,
2603,14,34.0,0.0,7.0,6.0,13.0,14.0,6.0,,,
2474,14,7.0,0.0,,,7.0,,,1.0,,
3023,14,,,,,,,,,,
1464,14,32.0,11.0,7.0,1.0,13.0,12.0,2.0,8.0,,
2056,14,7.0,3.0,2.0,2.0,,5.0,,,,
1726,14,,,,,,,,,,
1495,14,38.0,7.0,10.0,2.0,20.0,8.0,6.0,4.0,,
2239,14,29.0,10.0,5.0,1.0,15.0,9.0,,1.0,,
2117,14,35.0,12.0,7.0,21.0,5.0,23.0,3.0,5.0,,
922,14,31.0,6.0,7.0,,17.0,7.0,2.0,11.0,1.0,
2228,14,,,,,,,,,,
2360,14,,,,,,,,,,
