id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,attempts_conceded_ibox,game_started,goals_conceded,goals_conceded_ibox,goal_assist_openplay,mins_played,ontarget_att_assist,open_play_pass,poss_lost_all,poss_lost_ctrl,times_tackled,total_att_assist,total_pass,touches,winning_goal,own_goals,attempts_ibox,att_bx_centre,att_ibox_goal,att_lf_goal,att_lf_total,att_openplay,goals_openplay,ontarget_scoring_att,total_scoring_att,att_rf_goal,att_rf_total,total_sub_on,accurate_pass,successful_open_play_pass,total_sub_off
262,1,29.0,6.0,7.0,2.0,12.0,10.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,1,5.0,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,1,12.0,2.0,1.0,,4.0,7.0,3.0,1.0,,2.0,1.0,2.0,2.0,1.0,90.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
484,1,14.0,2.0,5.0,5.0,2.0,7.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1,41.0,10.0,12.0,8.0,16.0,13.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1,32.0,7.0,11.0,,11.0,10.0,5.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
367,1,28.0,4.0,7.0,5.0,13.0,8.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,1,11.0,0.0,4.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,24.0,3.0,7.0,3.0,11.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,31.0,7.0,9.0,15.0,11.0,11.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1,16.0,0.0,7.0,,6.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,1,41.0,8.0,11.0,13.0,19.0,11.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,9.0,3.0,3.0,,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,1,32.0,4.0,11.0,1.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1,23.0,7.0,8.0,2.0,7.0,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1,28.0,5.0,7.0,1.0,10.0,11.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,39.0,15.0,10.0,,14.0,15.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
568,1,34.0,8.0,9.0,,12.0,13.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,1,32.0,11.0,8.0,1.0,12.0,12.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,1,27.0,6.0,8.0,3.0,10.0,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,42.0,15.0,11.0,2.0,10.0,21.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,1,2.0,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,1,32.0,10.0,10.0,14.0,9.0,13.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,15.0,4.0,5.0,,4.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,1,41.0,10.0,9.0,22.0,15.0,17.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,1,12.0,0.0,2.0,3.0,5.0,5.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1,3.0,0.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1,13.0,2.0,6.0,,6.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,40.0,15.0,10.0,7.0,10.0,20.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,1,28.0,5.0,8.0,,9.0,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,38.0,7.0,11.0,11.0,13.0,14.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,1,37.0,5.0,7.0,14.0,12.0,18.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,21.0,9.0,7.0,16.0,4.0,10.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1,27.0,10.0,6.0,1.0,3.0,18.0,,9.0,,1.0,1.0,1.0,1.0,,90.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
310,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,1,7.0,0.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,39.0,16.0,10.0,3.0,11.0,18.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,1,22.0,3.0,7.0,3.0,9.0,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,1,42.0,18.0,12.0,,6.0,24.0,,1.0,,1.0,1.0,1.0,1.0,,90.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
336,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,1,38.0,10.0,11.0,3.0,13.0,14.0,8.0,2.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
124,1,9.0,2.0,3.0,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
