id,year_id,appearances,clean_sheet,draws,losses,wins,goals,goal_assist,yellow_card,own_goals,red_card
1131,12,30.0,12.0,10.0,10.0,10.0,,1.0,2.0,,
2217,12,,,,,,,,,,
2333,12,,,,,,,,,,
2504,12,,,,,,,,,,
1909,12,30.0,3.0,7.0,15.0,8.0,11.0,3.0,3.0,,2.0
2510,12,5.0,1.0,1.0,3.0,1.0,,,,,1.0
2117,12,32.0,10.0,6.0,6.0,20.0,20.0,2.0,4.0,,
2003,12,,,,,,,,,,
1309,12,32.0,6.0,10.0,8.0,14.0,9.0,1.0,,,
2070,12,37.0,15.0,10.0,13.0,14.0,,,,,
2116,12,7.0,1.0,2.0,,5.0,1.0,,,,
867,12,,,,,,,,,,
2552,12,,,,,,,,,,
2047,12,,,,,,,,,,
2269,12,,,,,,,,,,
1179,12,22.0,1.0,10.0,7.0,5.0,6.0,2.0,1.0,,
2229,12,,,,,,,,,,
1830,12,33.0,12.0,9.0,12.0,12.0,,,5.0,,
501,12,,,,,,,,,,
2228,12,,,,,,,,,,
1558,12,10.0,3.0,3.0,7.0,,,,1.0,,
720,12,24.0,2.0,9.0,9.0,6.0,5.0,3.0,4.0,,
2536,12,5.0,1.0,,4.0,1.0,,,,,
2282,12,1.0,0.0,,1.0,,,,1.0,,
1132,12,29.0,12.0,9.0,,20.0,3.0,4.0,9.0,,1.0
2507,12,,,,,,,,,,
2279,12,,,,,,,,,,
2221,12,,,,,,,,,,
2299,12,,,,,,,,,,
1997,12,,,,,,,,,,
2304,12,,,,,,,,,,
1936,12,,,,,,,,,,
80,12,6.0,0.0,3.0,3.0,,,,1.0,,
2476,12,,,,,,,,,,
2171,12,32.0,5.0,10.0,11.0,11.0,,4.0,5.0,,
2505,12,,,,,,,,,,
2084,12,,,,,,,,,,
1726,12,,,,,,,,,,
2492,12,,,,,,,,,,
1836,12,12.0,1.0,4.0,,8.0,3.0,,,,
1565,12,18.0,6.0,8.0,2.0,8.0,,,3.0,,
2429,12,,,,,,,,,,
2336,12,,,,,,,,,,
2239,12,28.0,7.0,9.0,12.0,7.0,2.0,,,1.0,
2192,12,,,,,,,,,,
878,12,4.0,0.0,2.0,1.0,1.0,,,,,
1428,12,,,,,,,,,,
2194,12,14.0,0.0,5.0,4.0,5.0,1.0,1.0,4.0,,1.0
2553,12,37.0,3.0,9.0,16.0,12.0,16.0,3.0,2.0,,
59,12,23.0,1.0,5.0,12.0,6.0,4.0,2.0,,,
2474,12,,,,,,,,,,
1834,12,30.0,4.0,8.0,,22.0,2.0,2.0,4.0,,
35,12,16.0,3.0,1.0,9.0,6.0,,,4.0,,
2211,12,1.0,0.0,,1.0,,,,,,
2417,12,,,,,,,,,,
2267,12,,,,,,,,,,
2603,12,16.0,0.0,2.0,10.0,4.0,,2.0,1.0,,
2343,12,,,,,,,,,,
462,12,29.0,2.0,14.0,10.0,5.0,12.0,2.0,1.0,,1.0
1727,12,8.0,1.0,,5.0,3.0,,,2.0,,
1464,12,24.0,4.0,6.0,9.0,9.0,,,5.0,,
1337,12,21.0,7.0,7.0,6.0,8.0,2.0,1.0,3.0,,
2168,12,,,,,,,,,,
2434,12,37.0,5.0,7.0,18.0,12.0,2.0,11.0,4.0,,
2218,12,,,,,,,,,,
1503,12,2.0,0.0,1.0,1.0,,,,,,
2355,12,,,,,,,,,,
1740,12,25.0,8.0,13.0,3.0,9.0,1.0,3.0,1.0,,
2601,12,18.0,5.0,4.0,10.0,4.0,,1.0,4.0,,
2332,12,,,,,,,,,,
2525,12,,,,,,,,,,
45,12,,,,,,,,,,
2360,12,1.0,1.0,,,1.0,,,,,
2214,12,,,,,,,,,,
1184,12,29.0,4.0,11.0,12.0,6.0,,,5.0,,
2195,12,,,,,,,,,,
2534,12,,,,,,,,,,
1196,12,7.0,0.0,2.0,4.0,1.0,,1.0,,,1.0
2514,12,,,,,,,,,,
2172,12,,,,,,,,,,
1118,12,31.0,7.0,11.0,9.0,11.0,10.0,2.0,4.0,,1.0
1445,12,26.0,6.0,8.0,8.0,10.0,,1.0,7.0,,
2524,12,,,,,,,,,,
877,12,20.0,3.0,6.0,9.0,5.0,5.0,2.0,4.0,,1.0
2056,12,31.0,11.0,7.0,12.0,12.0,4.0,4.0,3.0,,1.0
2131,12,27.0,1.0,9.0,11.0,7.0,1.0,2.0,2.0,,
2234,12,1.0,0.0,1.0,,,,,,,
