id,year_id,appearances,clean_sheet,draws,losses,wins,goals,goal_assist,yellow_card,own_goals,red_card
1342,12,38.0,10.0,11.0,13.0,14.0,,,2.0,,
1381,12,19.0,0.0,3.0,10.0,6.0,2.0,2.0,,,
2597,12,5.0,0.0,,5.0,,,,1.0,,1.0
1864,12,,,,,,,,,,
2445,12,7.0,0.0,3.0,4.0,,,,1.0,,
1402,12,18.0,1.0,7.0,8.0,3.0,,,2.0,,
1978,12,,,,,,,,,,
1335,12,18.0,6.0,7.0,5.0,6.0,,,4.0,,
2199,12,,,,,,,,,,
1515,12,33.0,5.0,7.0,14.0,12.0,,3.0,7.0,,
2205,12,5.0,1.0,2.0,2.0,1.0,,,1.0,,
70,12,19.0,7.0,7.0,6.0,6.0,,1.0,4.0,,
1850,12,33.0,8.0,9.0,11.0,13.0,,,4.0,,
1336,12,35.0,11.0,14.0,10.0,11.0,1.0,4.0,6.0,,
1267,12,,,,,,,,,,
908,12,35.0,6.0,9.0,10.0,16.0,7.0,4.0,1.0,,
1805,12,27.0,2.0,5.0,13.0,9.0,7.0,1.0,,,
524,12,17.0,5.0,6.0,3.0,8.0,2.0,,1.0,,
1502,12,10.0,0.0,4.0,,6.0,1.0,2.0,,,
2538,12,,,,,,,,,,
407,12,28.0,8.0,5.0,4.0,19.0,3.0,3.0,2.0,,
1881,12,25.0,8.0,7.0,12.0,6.0,,1.0,1.0,,
1704,12,,,,,,,,,,
365,12,13.0,0.0,4.0,6.0,3.0,1.0,,2.0,,
916,12,31.0,4.0,11.0,16.0,4.0,2.0,5.0,1.0,,
14,12,10.0,1.0,4.0,,6.0,,,1.0,,
2175,12,15.0,0.0,3.0,7.0,5.0,1.0,,,,
1848,12,37.0,10.0,11.0,12.0,14.0,,1.0,,,
2093,12,24.0,0.0,8.0,5.0,11.0,2.0,2.0,3.0,,
1627,12,29.0,5.0,4.0,15.0,10.0,1.0,4.0,1.0,,
2422,12,,,,,,,,,,
2031,12,31.0,6.0,7.0,10.0,14.0,1.0,1.0,6.0,,
2468,12,1.0,0.0,1.0,,,,,,,
2283,12,,,,,,,,,,
2005,12,22.0,4.0,8.0,5.0,9.0,2.0,1.0,8.0,,
2187,12,26.0,3.0,11.0,9.0,6.0,3.0,1.0,,,
1520,12,2.0,0.0,1.0,1.0,,,,,,
1597,12,22.0,4.0,9.0,4.0,9.0,,5.0,1.0,,1.0
714,12,16.0,5.0,5.0,7.0,4.0,1.0,,2.0,,
2604,12,,,,,,,,,,
315,12,32.0,5.0,11.0,16.0,5.0,,2.0,4.0,,
1049,12,36.0,11.0,11.0,9.0,16.0,7.0,3.0,6.0,,
326,12,32.0,6.0,9.0,17.0,6.0,2.0,2.0,13.0,,1.0
1838,12,,,,,,,,,,
1773,12,11.0,0.0,2.0,5.0,4.0,1.0,2.0,,,
2446,12,8.0,0.0,1.0,3.0,4.0,,,,,
2174,12,,,,,,,,,,
1952,12,24.0,0.0,3.0,12.0,9.0,5.0,3.0,1.0,,
1831,12,32.0,10.0,9.0,,23.0,,1.0,5.0,1.0,
2189,12,6.0,0.0,1.0,3.0,2.0,,,,,
1929,12,2.0,0.0,,,2.0,,,,,
2193,12,29.0,0.0,13.0,8.0,8.0,4.0,,,,
1656,12,10.0,0.0,4.0,,6.0,,,1.0,,
2602,12,,,,,,,,,,
800,12,38.0,19.0,7.0,7.0,24.0,10.0,5.0,3.0,,
1843,12,33.0,5.0,9.0,11.0,13.0,16.0,,3.0,,
2291,12,,,,,,,,,,
2257,12,,,,,,,,,,
2017,12,14.0,1.0,6.0,5.0,3.0,,,,,
2064,12,34.0,4.0,11.0,15.0,8.0,9.0,4.0,11.0,,
1681,12,,,,,,,,,,
1249,12,38.0,9.0,11.0,13.0,14.0,9.0,9.0,9.0,,
1757,12,30.0,7.0,10.0,12.0,8.0,3.0,1.0,1.0,,
2519,12,12.0,2.0,3.0,4.0,5.0,2.0,3.0,1.0,,
2579,12,,,,,,,,,,
1839,12,6.0,0.0,1.0,3.0,2.0,1.0,,,,
2547,12,27.0,6.0,9.0,10.0,8.0,,,7.0,,
2584,12,1.0,0.0,1.0,,,,,,,
2430,12,12.0,2.0,2.0,4.0,6.0,3.0,,3.0,,
2075,12,31.0,12.0,7.0,13.0,11.0,,1.0,4.0,1.0,
1114,12,30.0,5.0,12.0,10.0,8.0,2.0,5.0,,,
566,12,20.0,3.0,4.0,9.0,7.0,1.0,4.0,4.0,,
1920,12,25.0,5.0,6.0,11.0,8.0,3.0,3.0,2.0,,
1145,12,6.0,2.0,2.0,,4.0,1.0,2.0,,,
2002,12,37.0,14.0,12.0,,25.0,1.0,1.0,4.0,,
1680,12,,,,,,,,,,
1706,12,10.0,0.0,3.0,5.0,2.0,1.0,,2.0,,
1135,12,32.0,4.0,13.0,13.0,6.0,16.0,4.0,1.0,,1.0
2129,12,4.0,0.0,,3.0,1.0,,,1.0,,
2215,12,,,,,,,,,,
1415,12,,,,,,,,,,
2264,12,,,,,,,,,,
1808,12,11.0,2.0,2.0,4.0,5.0,,,3.0,,
2449,12,8.0,4.0,2.0,2.0,4.0,,,,,
2220,12,,,,,,,,,,
1956,12,,,,,,,,,,
1447,12,,,,,,,,,,
2517,12,,,,,,,,,,
1771,12,33.0,8.0,5.0,18.0,10.0,,,8.0,1.0,
104,12,15.0,1.0,4.0,4.0,7.0,,,,,
2111,12,13.0,1.0,5.0,4.0,4.0,1.0,3.0,2.0,,
2014,12,,,,,,,,,,
2428,12,1.0,0.0,,1.0,,,,,,
569,12,6.0,0.0,,6.0,,,,,,
1499,12,,,,,,,,,,
2442,12,9.0,0.0,2.0,5.0,2.0,,,,,
2361,12,,,,,,,,,,
509,12,,,,,,,,,,
1308,12,36.0,10.0,11.0,11.0,14.0,3.0,8.0,3.0,,1.0
2527,12,,,,,,,,,,
243,12,12.0,2.0,4.0,5.0,3.0,,1.0,5.0,,
1940,12,,,,,,,,,,
1854,12,19.0,1.0,5.0,8.0,6.0,5.0,,1.0,,
2140,12,14.0,1.0,1.0,5.0,8.0,2.0,1.0,,,
2009,12,1.0,0.0,1.0,,,,,,,
1917,12,4.0,0.0,1.0,1.0,2.0,,,,,
1869,12,16.0,3.0,9.0,3.0,4.0,4.0,,2.0,,
2433,12,15.0,2.0,1.0,9.0,5.0,1.0,1.0,3.0,,
1005,12,37.0,10.0,11.0,14.0,12.0,14.0,6.0,3.0,,
991,12,28.0,2.0,10.0,,18.0,4.0,7.0,2.0,,
1205,12,20.0,5.0,5.0,9.0,6.0,5.0,5.0,3.0,,1.0
2537,12,,,,,,,,,,
2176,12,6.0,2.0,2.0,4.0,,,,,,
523,12,,,,,,,,,,
1661,12,,,,,,,,,,
2420,12,,,,,,,,,,
1955,12,35.0,11.0,16.0,6.0,13.0,1.0,3.0,4.0,,
2303,12,28.0,4.0,9.0,12.0,7.0,1.0,2.0,9.0,,
1382,12,33.0,5.0,12.0,15.0,6.0,9.0,3.0,3.0,,
2297,12,,,,,,,,,,
1247,12,15.0,0.0,4.0,7.0,4.0,1.0,1.0,2.0,,
2466,12,16.0,6.0,4.0,4.0,8.0,,1.0,,,
1921,12,29.0,9.0,7.0,9.0,13.0,,,4.0,,
2328,12,2.0,0.0,1.0,1.0,,,,,,
2511,12,25.0,3.0,11.0,10.0,4.0,,1.0,3.0,,
2463,12,15.0,6.0,5.0,6.0,4.0,,,2.0,,1.0
1361,12,35.0,13.0,9.0,15.0,11.0,,2.0,6.0,,
2421,12,,,,,,,,,,
1458,12,33.0,18.0,6.0,7.0,20.0,1.0,4.0,1.0,,
2488,12,3.0,0.0,1.0,2.0,,,,,,
2564,12,,,,,,,,,,
2356,12,1.0,0.0,,1.0,,,,1.0,,
2533,12,1.0,0.0,,1.0,,,,,,
1857,12,,,,,,,,,,
1734,12,,,,,,,,,,
1211,12,17.0,4.0,4.0,6.0,7.0,,1.0,1.0,,
1393,12,1.0,0.0,,1.0,,,,,,
2539,12,,,,,,,,,,
1190,12,24.0,1.0,10.0,6.0,8.0,2.0,1.0,5.0,,
745,12,13.0,3.0,4.0,7.0,2.0,1.0,2.0,3.0,,
332,12,21.0,3.0,1.0,6.0,14.0,1.0,,2.0,,
2581,12,30.0,5.0,9.0,15.0,6.0,4.0,,5.0,,
1752,12,37.0,7.0,12.0,18.0,7.0,1.0,,7.0,,
1890,12,29.0,7.0,11.0,7.0,11.0,,,7.0,1.0,
2143,12,,,,,,,,,,
2144,12,7.0,0.0,3.0,4.0,,,,,,
2600,12,,,,,,,,,,
557,12,35.0,14.0,11.0,,24.0,1.0,1.0,2.0,,1.0
1904,12,,,,,,,,,,
1333,12,13.0,1.0,7.0,5.0,1.0,,,2.0,,
2469,12,3.0,0.0,,2.0,1.0,,,,,
1589,12,18.0,0.0,7.0,7.0,4.0,1.0,1.0,3.0,,
1270,12,16.0,0.0,4.0,9.0,3.0,,,3.0,,
2318,12,,,,,,,,,,
1847,12,,,,,,,,,,
2287,12,13.0,1.0,2.0,5.0,6.0,,1.0,,,
2572,12,38.0,7.0,12.0,19.0,7.0,,,6.0,,
2079,12,32.0,10.0,9.0,12.0,11.0,,1.0,7.0,,1.0
2473,12,13.0,1.0,2.0,9.0,2.0,1.0,,4.0,,
2076,12,4.0,1.0,1.0,1.0,2.0,,,2.0,,
2213,12,,,,,,,,,,
2270,12,11.0,0.0,1.0,9.0,1.0,,1.0,,,
2276,12,,,,,,,,,,
2063,12,27.0,5.0,10.0,11.0,6.0,,2.0,5.0,,
2317,12,,,,,,,,,,
868,12,4.0,0.0,2.0,2.0,,,1.0,,,
1916,12,,,,,,,,,,
1497,12,30.0,2.0,10.0,,20.0,4.0,5.0,2.0,,
2574,12,,,,,,,,,,
2493,12,,,,,,,,,,
2594,12,1.0,0.0,,,1.0,,,,,
2207,12,,,,,,,,,,
1246,12,31.0,10.0,10.0,10.0,11.0,1.0,2.0,2.0,,
1959,12,22.0,0.0,7.0,7.0,8.0,4.0,1.0,1.0,,
2115,12,,,,,,,,,,
1650,12,6.0,0.0,1.0,4.0,1.0,,,2.0,,
1529,12,9.0,0.0,2.0,3.0,4.0,4.0,,,,
2450,12,,,,,,,,,,
2567,12,6.0,0.0,,5.0,1.0,1.0,,1.0,,
2319,12,23.0,0.0,6.0,9.0,8.0,6.0,2.0,3.0,,
1215,12,15.0,1.0,7.0,4.0,4.0,1.0,2.0,,,
2454,12,30.0,14.0,5.0,6.0,19.0,,,2.0,,
2022,12,3.0,1.0,1.0,1.0,1.0,,,,,
1967,12,,,,,,,,,,
2078,12,38.0,13.0,10.0,14.0,14.0,6.0,10.0,3.0,,
2583,12,,,,,,,,,,
2086,12,1.0,0.0,,,1.0,1.0,,,,
146,12,34.0,10.0,11.0,15.0,8.0,,,,,
2277,12,1.0,0.0,,,1.0,,,,,
2556,12,,,,,,,,,,
2166,12,,,,,,,,,,
812,12,13.0,1.0,1.0,6.0,6.0,,1.0,4.0,,
2402,12,16.0,1.0,6.0,5.0,5.0,4.0,1.0,,,
259,12,33.0,2.0,9.0,16.0,8.0,2.0,,8.0,,1.0
1438,12,,,,,,,,,,
2587,12,,,,,,,,,,
2340,12,,,,,,,,,,
2222,12,,,,,,,,,,
1907,12,,,,,,,,,,
2580,12,,,,,,,,,,
1885,12,,,,,,,,,,
271,12,22.0,2.0,9.0,8.0,5.0,,1.0,1.0,,
2358,12,,,,,,,,,,
1728,12,1.0,0.0,,1.0,,1.0,,,,
1677,12,23.0,11.0,4.0,4.0,15.0,2.0,,1.0,,
2503,12,,,,,,,,,,
730,12,,,,,,,,,,
2585,12,,,,,,,,,,
2012,12,33.0,12.0,9.0,10.0,14.0,1.0,,4.0,,
2286,12,,,,,,,,,,
1003,12,16.0,4.0,5.0,6.0,5.0,,,5.0,,
2359,12,3.0,0.0,,2.0,1.0,,,1.0,,
1407,12,12.0,0.0,5.0,5.0,2.0,1.0,,2.0,,
2331,12,,,,,,,,,,
1042,12,28.0,9.0,9.0,7.0,12.0,,,4.0,,1.0
2528,12,31.0,12.0,9.0,12.0,10.0,2.0,4.0,3.0,,
2253,12,,,,,,,,,,
2589,12,25.0,1.0,9.0,11.0,5.0,2.0,1.0,2.0,,
1703,12,,,,,,,,,,
1620,12,,,,,,,,,,
2460,12,23.0,0.0,5.0,13.0,5.0,,1.0,3.0,,
2292,12,,,,,,,,,,
1254,12,9.0,2.0,1.0,5.0,3.0,,,1.0,,
2432,12,,,,,,,,,,
2243,12,,,,,,,,,,
2100,12,30.0,2.0,7.0,17.0,6.0,3.0,,2.0,,
2266,12,,,,,,,,,,
2555,12,8.0,0.0,3.0,5.0,,1.0,,,,
1423,12,31.0,7.0,10.0,6.0,15.0,5.0,4.0,3.0,,
1384,12,32.0,3.0,12.0,11.0,9.0,4.0,4.0,2.0,,
2482,12,,,,,,,,,,
2571,12,1.0,0.0,,1.0,,,,,,
2456,12,25.0,5.0,4.0,6.0,15.0,6.0,4.0,5.0,,
1944,12,,,,,,,,,,
2032,12,33.0,7.0,9.0,10.0,14.0,2.0,1.0,4.0,,
2261,12,,,,,,,,,,
2298,12,,,,,,,,,,
1367,12,1.0,1.0,,,1.0,,,,,
168,12,,,,,,,,,,
1927,12,,,,,,,,,,
2271,12,,,,,,,,,,
2018,12,32.0,6.0,8.0,13.0,11.0,2.0,,6.0,,1.0
2441,12,,,,,,,,,,
2177,12,,,,,,,,,,
2329,12,28.0,8.0,7.0,12.0,9.0,,,1.0,,
2491,12,20.0,1.0,7.0,10.0,3.0,1.0,,1.0,1.0,
1882,12,29.0,7.0,11.0,12.0,6.0,2.0,5.0,2.0,,1.0
2011,12,,,,,,,,,,
2233,12,2.0,1.0,,,2.0,,,,,
1884,12,11.0,1.0,2.0,7.0,2.0,,,1.0,,
2088,12,,,,,,,,,,
2040,12,37.0,9.0,11.0,12.0,14.0,9.0,1.0,8.0,1.0,
2123,12,32.0,1.0,8.0,14.0,10.0,9.0,2.0,2.0,,
1519,12,28.0,2.0,9.0,13.0,6.0,,1.0,1.0,,
1456,12,,,,,,,,,,
2409,12,38.0,15.0,12.0,,26.0,,,2.0,,
1306,12,33.0,10.0,8.0,13.0,12.0,9.0,4.0,9.0,,1.0
1842,12,8.0,0.0,2.0,2.0,4.0,1.0,,,,
