id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_centre,att_bx_right,att_cmiss_high,att_fastbreak,att_hd_miss,att_hd_total,att_ibox_miss,att_lf_total,att_miss_high,att_miss_high_right,att_miss_left,att_obox_blocked,att_obox_miss,att_obx_centre,att_openplay,att_rf_total,backward_pass,ball_recovery,blocked_cross,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_shot,final_third_entries,formation_place,fouls,foul_throw_in,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_openplay,head_clearance,interception,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_def_3rd,poss_won_mid_3rd,rightside_pass,shot_fastbreak,shot_off_target,successful_final_third_passes,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,pen_goals_conceded,total_sub_on,accurate_cross,accurate_cross_nocorner,att_bx_left,att_cmiss_left,att_freekick_miss,att_freekick_total,att_goal_high_left,att_goal_low_centre,att_goal_low_right,att_hd_goal,att_hd_target,att_ibox_blocked,att_ibox_goal,att_ibox_target,att_lf_goal,att_lf_target,att_lg_centre,att_miss_high_left,att_obox_target,att_one_on_one,att_rf_goal,att_rf_target,att_setpiece,att_sv_low_centre,att_sv_low_left,att_sv_low_right,big_chance_created,big_chance_missed,big_chance_scored,fouled_final_third,goals,goals_openplay,hand_ball,ontarget_scoring_att,overrun,poss_won_att_3rd,red_card,six_yard_block,total_offside,yellow_card,accurate_corners_intobox,accurate_freekick_cross,accurate_through_ball,att_cmiss_right,att_freekick_target,att_miss_right,att_sv_high_centre,att_sv_high_left,att_sv_high_right,corner_taken,freekick_cross,goal_assist_intentional,hit_woodwork,interceptions_in_box,second_goal_assist,total_corners_intobox,total_pull_back,total_through_ball,accurate_keeper_throws,att_cmiss_high_right,goal_kicks,head_pass,keeper_throws,open_play_pass,penalty_conceded,successful_open_play_pass,accurate_pull_back,att_freekick_goal,att_goal_high_centre,att_goal_low_left,att_obox_goal,clearance_off_line,dangerous_play,goal_fastbreak,error_lead_to_goal,last_man_tackle,shield_ball_oop,att_cmiss_high_left,att_goal_high_right,att_hd_post,att_ibox_post,att_post_high,att_post_right,penalty_won,post_scoring_att,accurate_goal_kicks,accurate_keeper_sweeper,back_pass,cross_not_claimed,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,att_obp_goal,att_obxd_left,att_post_left,second_yellow,touches_in_opp_box,att_obxd_right,att_obx_right,att_obox_post,att_obx_left,attempts_obox,goal_assist_setplay,att_pen_goal,att_freekick_post,goal_assist_deadball,att_pen_miss,own_goals,dive_catch,penalty_faced,penalty_save,att_pen_target,attempts_ibox,att_pen_post,att_lg_right,att_lg_left
3241,21,283.0,39.0,7.0,692.0,1.0,123.0,86.0,939.0,9.0,28.0,7.0,31.0,232.0,171.0,54.0,19.0,11.0,7.0,2.0,6.0,,,8.0,15.0,8.0,12.0,9.0,22.0,30.0,70.0,82.0,83.0,253.0,164.0,2.0,31.0,19.0,3.0,19.0,15.0,52.0,11.0,174.0,176.0,2.0,2.0,,,176.0,340.0,16.0,,323.0,25.0,40.0,32.0,8.0,4.0,1.0,,29.0,26.0,221.0,99.0,66.0,18.0,4.0,2244.0,,39.0,38.0,1.0,177.0,166.0,90.0,494.0,493.0,52.0,107.0,356.0,6.0,38.0,351.0,77.0,309.0,71.0,3.0,147.0,108.0,53.0,8.0,489.0,21.0,952.0,4.0,130.0,115.0,1153.0,98.0,8.0,26.0,9.0,1765.0,69.0,69.0,60.0,2.0,83.0,17.0,23.0,1.0,6.0,36.0,13.0,3.0,4.0,6.0,11.0,,,1.0,,,9.0,1.0,6.0,,6.0,3.0,,18.0,1.0,5.0,18.0,4.0,10.0,6.0,5.0,11.0,4.0,,15.0,5.0,5.0,5.0,29.0,12.0,5.0,,2.0,1.0,5.0,24.0,4.0,9.0,6.0,1.0,9.0,2.0,,1.0,66.0,19.0,4.0,1.0,1.0,,56.0,1.0,23.0,,4.0,,,,,,,,,,3.0,4.0,,,,1.0,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,1.0,,,,,,1.0,,,,
4168,21,9.0,1.0,,11.0,1.0,,2.0,20.0,1.0,1.0,4.0,2.0,10.0,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,2.0,,1.0,2.0,5.0,,3.0,3.0,,5.0,0.0,,,13.0,,3.0,3.0,,,,4.0,,,7.0,6.0,4.0,1.0,,37.0,,,,,5.0,2.0,4.0,10.0,7.0,1.0,1.0,3.0,,,3.0,,10.0,2.0,6.0,,2.0,2.0,,6.0,,17.0,2.0,,4.0,25.0,,,1.0,1.0,37.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,21,114.0,12.0,2.0,64.0,5.0,3.0,27.0,175.0,32.0,8.0,7.0,11.0,73.0,58.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,21.0,22.0,2.0,1.0,8.0,,6.0,3.0,2.0,1.0,28.0,27.0,2.0,27.0,10.0,1.0,51.0,0.0,10.0,,120.0,7.0,12.0,9.0,3.0,,,21.0,5.0,4.0,62.0,75.0,35.0,5.0,7.0,631.0,,1.0,3.0,6.0,12.0,26.0,10.0,106.0,88.0,15.0,7.0,38.0,,1.0,24.0,4.0,130.0,30.0,45.0,,9.0,9.0,,56.0,2.0,120.0,25.0,3.0,52.0,241.0,2.0,2.0,15.0,38.0,376.0,5.0,5.0,5.0,5.0,,1.0,11.0,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,3.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4215,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543,21,198.0,12.0,,93.0,98.0,,134.0,291.0,,,5.0,25.0,142.0,125.0,,,,,,,,,,,,,,,,,,,,219.0,,,3.0,10.0,,,,7.0,4.0,7.0,,25.0,2.0,1.0,116.0,28.0,2.0,,323.0,25.0,24.0,18.0,6.0,,,2.0,1.0,1.0,39.0,352.0,153.0,4.0,15.0,2250.0,,,,,24.0,28.0,7.0,235.0,233.0,45.0,,78.0,,,25.0,,222.0,14.0,27.0,,,,,88.0,,218.0,228.0,,278.0,440.0,,,,,906.0,2.0,2.0,1.0,14.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,126.0,,171.0,,132.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,96.0,33.0,,2.0,19.0,39.0,13.0,17.0,157.0,14.0,34.0,37.0,72.0,12.0,4.0,19.0,34.0,,,,,,,,,,,,,,,,,10.0,3.0,1.0,,,,,
4298,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,21,10.0,,,5.0,,,1.0,14.0,3.0,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,6.0,2.0,,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,0.0,,,2.0,,,,,,,1.0,2.0,2.0,8.0,3.0,2.0,1.0,,26.0,,1.0,1.0,,2.0,2.0,1.0,8.0,7.0,,2.0,,,,1.0,2.0,11.0,,1.0,,4.0,3.0,,2.0,,9.0,2.0,,2.0,16.0,,,,3.0,28.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,21,827.0,23.0,1.0,218.0,2.0,,82.0,1045.0,8.0,31.0,72.0,25.0,126.0,152.0,7.0,,11.0,,1.0,,8.0,10.0,8.0,1.0,2.0,1.0,4.0,,,,1.0,4.0,121.0,112.0,1.0,2.0,2.0,8.0,2.0,,6.0,8.0,62.0,115.0,1.0,101.0,55.0,3.0,91.0,175.0,22.0,,495.0,23.0,31.0,25.0,6.0,,,99.0,39.0,30.0,382.0,206.0,148.0,8.0,18.0,2079.0,7.0,2.0,5.0,25.0,19.0,106.0,9.0,191.0,124.0,78.0,32.0,157.0,,9.0,64.0,7.0,856.0,47.0,168.0,3.0,2.0,2.0,,116.0,4.0,301.0,14.0,,114.0,1155.0,15.0,1.0,34.0,8.0,1475.0,4.0,4.0,7.0,9.0,2.0,1.0,29.0,3.0,2.0,,,2.0,,,,,,,1.0,1.0,2.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,,,4.0,,2.0,,,2.0,4.0,,,1.0,,,1.0,,,,,,,1.0,2.0,,,,1.0,,,,,,,1.0,,,,2.0,,,1.0,,,2.0,1.0,7.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,21,26.0,3.0,,85.0,1.0,3.0,,106.0,3.0,3.0,1.0,10.0,40.0,17.0,7.0,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,3.0,34.0,23.0,1.0,1.0,2.0,,20.0,7.0,7.0,3.0,19.0,23.0,1.0,,,,17.0,0.0,5.0,,38.0,4.0,8.0,8.0,,,,,6.0,5.0,20.0,5.0,2.0,5.0,,402.0,,5.0,2.0,,63.0,1.0,13.0,64.0,64.0,10.0,13.0,35.0,,2.0,64.0,7.0,29.0,7.0,,8.0,27.0,27.0,,78.0,,125.0,2.0,3.0,3.0,127.0,3.0,3.0,8.0,3.0,208.0,7.0,7.0,9.0,2.0,5.0,5.0,6.0,2.0,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,3.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4560,21,435.0,13.0,3.0,458.0,4.0,8.0,56.0,892.0,1.0,40.0,31.0,27.0,167.0,120.0,7.0,,2.0,,,1.0,1.0,1.0,2.0,6.0,,1.0,6.0,8.0,9.0,18.0,19.0,14.0,156.0,110.0,2.0,8.0,17.0,7.0,7.0,3.0,12.0,9.0,100.0,116.0,2.0,24.0,11.0,2.0,156.0,0.0,25.0,,362.0,21.0,26.0,21.0,5.0,,,15.0,61.0,47.0,261.0,165.0,99.0,10.0,11.0,1902.0,1.0,2.0,5.0,9.0,55.0,221.0,8.0,251.0,226.0,48.0,61.0,292.0,1.0,11.0,171.0,7.0,483.0,33.0,49.0,16.0,10.0,10.0,1.0,240.0,7.0,598.0,23.0,8.0,83.0,1071.0,21.0,4.0,55.0,1.0,1361.0,11.0,11.0,20.0,8.0,10.0,5.0,46.0,2.0,6.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,1.0,,,,4.0,,,1.0,,,3.0,,,,,,,,5.0,,,,3.0,,,,3.0,,27.0,,25.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4148,21,848.0,58.0,5.0,1402.0,3.0,61.0,174.0,2245.0,2.0,34.0,26.0,32.0,178.0,145.0,38.0,2.0,17.0,2.0,,3.0,3.0,4.0,9.0,7.0,7.0,6.0,7.0,12.0,17.0,40.0,52.0,57.0,278.0,166.0,2.0,20.0,20.0,13.0,13.0,9.0,39.0,7.0,153.0,131.0,2.0,9.0,4.0,2.0,401.0,256.0,43.0,1.0,777.0,32.0,29.0,25.0,4.0,5.0,4.0,8.0,28.0,22.0,729.0,320.0,262.0,5.0,5.0,2829.0,,18.0,27.0,1.0,323.0,393.0,132.0,405.0,395.0,58.0,100.0,741.0,3.0,26.0,685.0,45.0,901.0,131.0,19.0,52.0,23.0,23.0,8.0,861.0,15.0,1647.0,6.0,62.0,209.0,2525.0,69.0,2.0,37.0,3.0,2870.0,21.0,21.0,33.0,20.0,35.0,23.0,28.0,1.0,,5.0,5.0,3.0,1.0,2.0,4.0,1.0,,2.0,,1.0,8.0,6.0,5.0,3.0,2.0,1.0,3.0,11.0,,4.0,13.0,2.0,2.0,6.0,4.0,9.0,2.0,1.0,4.0,7.0,6.0,,23.0,6.0,8.0,,2.0,1.0,6.0,,,12.0,2.0,1.0,3.0,2.0,,2.0,,1.0,2.0,1.0,1.0,1.0,,1.0,31.0,,,,,,85.0,,72.0,,,,3.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2707,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4309,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3724,21,81.0,4.0,3.0,196.0,2.0,8.0,5.0,268.0,7.0,5.0,,17.0,81.0,78.0,17.0,2.0,,,3.0,2.0,,,,31.0,6.0,,3.0,14.0,16.0,36.0,34.0,6.0,56.0,75.0,,14.0,13.0,1.0,33.0,12.0,33.0,2.0,85.0,111.0,,3.0,1.0,,44.0,0.0,7.0,,111.0,12.0,21.0,16.0,5.0,1.0,1.0,1.0,16.0,16.0,127.0,34.0,20.0,9.0,6.0,1047.0,,12.0,8.0,1.0,29.0,78.0,28.0,215.0,211.0,27.0,43.0,44.0,2.0,16.0,113.0,20.0,104.0,16.0,7.0,79.0,53.0,47.0,3.0,141.0,7.0,287.0,13.0,8.0,16.0,338.0,37.0,2.0,37.0,8.0,664.0,25.0,25.0,23.0,6.0,51.0,7.0,33.0,2.0,5.0,9.0,8.0,,1.0,2.0,2.0,1.0,,1.0,,,,,,2.0,4.0,,3.0,5.0,1.0,,1.0,,2.0,,2.0,1.0,1.0,,11.0,2.0,2.0,,7.0,6.0,5.0,,,,2.0,1.0,,1.0,2.0,,4.0,1.0,,,7.0,2.0,,,1.0,,6.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
3923,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3517,21,282.0,35.0,1.0,200.0,29.0,2.0,66.0,476.0,29.0,26.0,71.0,26.0,150.0,149.0,3.0,,14.0,2.0,1.0,,4.0,8.0,8.0,2.0,2.0,,4.0,1.0,,1.0,8.0,10.0,71.0,68.0,9.0,7.0,7.0,2.0,5.0,9.0,3.0,5.0,46.0,118.0,9.0,105.0,54.0,,151.0,0.0,10.0,,321.0,18.0,34.0,28.0,6.0,1.0,,98.0,29.0,24.0,161.0,196.0,98.0,13.0,17.0,1728.0,19.0,1.0,3.0,17.0,38.0,122.0,32.0,265.0,187.0,47.0,21.0,81.0,,8.0,104.0,4.0,301.0,64.0,183.0,1.0,14.0,14.0,,205.0,4.0,347.0,85.0,2.0,124.0,634.0,20.0,5.0,33.0,36.0,1014.0,7.0,7.0,13.0,8.0,1.0,6.0,26.0,1.0,8.0,6.0,6.0,1.0,1.0,,,1.0,,,1.0,3.0,6.0,1.0,4.0,,1.0,,,,,,,2.0,1.0,,,,2.0,1.0,,1.0,1.0,,5.0,,,,2.0,2.0,5.0,,,,,,2.0,1.0,,2.0,,,1.0,1.0,4.0,,,,,,,,6.0,,12.0,,10.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1131,21,10.0,4.0,,8.0,2.0,,3.0,18.0,2.0,1.0,2.0,1.0,8.0,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,5.0,3.0,,,,,,,,1.0,1.0,3.0,,7.0,4.0,,6.0,0.0,,,15.0,1.0,3.0,3.0,,,,6.0,2.0,1.0,2.0,11.0,4.0,,,90.0,,,,1.0,6.0,3.0,,17.0,12.0,,3.0,7.0,,1.0,4.0,,13.0,7.0,12.0,,,,,7.0,,16.0,5.0,,6.0,29.0,2.0,,1.0,3.0,52.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4316,21,134.0,4.0,2.0,481.0,,34.0,4.0,607.0,4.0,20.0,4.0,24.0,104.0,128.0,35.0,,14.0,2.0,,1.0,1.0,1.0,6.0,10.0,,1.0,5.0,4.0,4.0,11.0,29.0,23.0,200.0,103.0,4.0,11.0,17.0,5.0,49.0,2.0,64.0,7.0,186.0,144.0,4.0,1.0,,,71.0,0.0,28.0,,190.0,19.0,24.0,21.0,3.0,2.0,2.0,1.0,15.0,13.0,162.0,25.0,17.0,7.0,2.0,1748.0,,17.0,20.0,,157.0,144.0,34.0,345.0,341.0,31.0,58.0,166.0,1.0,13.0,326.0,37.0,151.0,13.0,5.0,105.0,52.0,51.0,4.0,403.0,6.0,619.0,5.0,34.0,9.0,718.0,34.0,4.0,40.0,6.0,1133.0,44.0,44.0,54.0,10.0,46.0,19.0,34.0,1.0,5.0,8.0,7.0,5.0,2.0,,,,,,,,7.0,2.0,5.0,,4.0,,1.0,3.0,2.0,2.0,4.0,2.0,5.0,,1.0,5.0,3.0,1.0,23.0,2.0,2.0,2.0,10.0,10.0,14.0,,,6.0,1.0,1.0,,1.0,1.0,,3.0,2.0,,,8.0,,2.0,3.0,,,1.0,2.0,2.0,,,,,,,,,2.0,,1.0,1.0,,,,,,,1.0,,,,3.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
3613,21,244.0,7.0,1.0,144.0,3.0,,27.0,384.0,41.0,17.0,30.0,15.0,64.0,71.0,2.0,,3.0,1.0,,,3.0,4.0,3.0,,1.0,,1.0,,1.0,1.0,3.0,3.0,37.0,40.0,8.0,3.0,2.0,5.0,10.0,4.0,6.0,,33.0,54.0,8.0,41.0,29.0,1.0,53.0,0.0,6.0,,150.0,10.0,10.0,10.0,,,,58.0,16.0,12.0,204.0,67.0,41.0,1.0,8.0,1013.0,3.0,1.0,1.0,10.0,9.0,101.0,8.0,139.0,98.0,26.0,14.0,62.0,,4.0,54.0,2.0,257.0,21.0,82.0,3.0,14.0,14.0,,91.0,9.0,210.0,15.0,,43.0,453.0,8.0,1.0,15.0,47.0,675.0,3.0,3.0,8.0,14.0,1.0,3.0,12.0,,5.0,4.0,4.0,,,,,,,,,1.0,3.0,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4031,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4143,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,21,164.0,19.0,1.0,199.0,7.0,2.0,17.0,358.0,154.0,27.0,26.0,18.0,194.0,119.0,6.0,,2.0,,,,3.0,3.0,3.0,1.0,,,3.0,1.0,,1.0,4.0,,99.0,53.0,12.0,2.0,10.0,1.0,22.0,14.0,6.0,3.0,58.0,58.0,12.0,42.0,21.0,1.0,126.0,0.0,11.0,,252.0,16.0,36.0,29.0,7.0,,,30.0,36.0,24.0,84.0,127.0,61.0,12.0,20.0,1530.0,5.0,4.0,2.0,10.0,92.0,104.0,32.0,279.0,248.0,35.0,16.0,64.0,,3.0,88.0,6.0,203.0,61.0,73.0,6.0,36.0,36.0,,153.0,2.0,332.0,26.0,2.0,50.0,499.0,5.0,2.0,23.0,205.0,944.0,12.0,12.0,7.0,3.0,2.0,5.0,18.0,2.0,2.0,5.0,5.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616,21,245.0,36.0,23.0,615.0,1.0,99.0,43.0,820.0,7.0,56.0,50.0,38.0,220.0,226.0,41.0,20.0,60.0,10.0,2.0,6.0,6.0,20.0,34.0,96.0,10.0,1.0,17.0,11.0,14.0,38.0,117.0,23.0,243.0,96.0,5.0,23.0,7.0,8.0,42.0,20.0,76.0,5.0,188.0,153.0,5.0,19.0,14.0,,127.0,0.0,37.0,,265.0,35.0,42.0,38.0,4.0,9.0,5.0,33.0,14.0,12.0,284.0,51.0,39.0,5.0,4.0,3123.0,,33.0,37.0,6.0,147.0,187.0,104.0,519.0,494.0,18.0,59.0,230.0,6.0,53.0,364.0,70.0,272.0,63.0,44.0,40.0,179.0,83.0,6.0,501.0,62.0,929.0,6.0,108.0,60.0,1022.0,141.0,4.0,24.0,8.0,1646.0,48.0,48.0,54.0,28.0,25.0,38.0,20.0,,3.0,40.0,15.0,14.0,5.0,3.0,11.0,4.0,2.0,10.0,2.0,11.0,12.0,23.0,29.0,18.0,24.0,1.0,9.0,10.0,3.0,6.0,4.0,2.0,13.0,9.0,10.0,15.0,23.0,17.0,21.0,26.0,20.0,3.0,65.0,5.0,19.0,,1.0,46.0,6.0,25.0,8.0,3.0,6.0,4.0,11.0,5.0,,2.0,107.0,21.0,9.0,7.0,2.0,3.0,96.0,4.0,19.0,,,,1.0,,32.0,,31.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,,,1.0,,3.0,1.0,3.0,2.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,2.0,,,4.0,3.0,,4.0,,,,,,1.0,2.0,,,
4687,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
