id,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,assist_handball_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_left,att_cmiss_right,att_corner,att_fastbreak,att_freekick_miss,att_freekick_total,att_goal_high_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_target,att_lf_total,att_lg_centre,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_post,att_obox_target,att_obp_goal,att_obx_centre,att_openplay,att_post_high,att_post_right,att_rf_target,att_rf_total,att_setpiece,att_sv_high_right,att_sv_low_centre,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,fifty_fifty,final_third_entries,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,put_through,rightside_pass,shot_fastbreak,shot_off_target,six_yard_block,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,assist_attempt_saved,assist_blocked_shot,att_assist_setplay,att_cmiss_high_left,att_lf_goal,att_sv_high_left,att_sv_low_left,big_chance_created,corner_taken,goals_openplay,hand_ball,total_corners_intobox,total_offside,att_cmiss_high_right,att_freekick_target,att_goal_high_centre,att_goal_low_centre,att_goal_low_left,att_obxd_left,att_obx_left,att_one_on_one,att_rf_goal,att_sv_high_centre,freekick_cross,goal_assist_setplay,accurate_pull_back,att_hd_post,clearance_off_line,foul_throw_in,offside_provoked,shield_ball_oop,total_pull_back,att_goal_high_right,red_card,penalty_conceded,goal_kicks,accurate_freekick_cross,assist_own_goal,assist_penalty_won,penalty_won,goal_assist_deadball,att_lg_right,second_goal_assist,assist_pass_lost,assist_post,att_post_left,last_man_tackle,att_obox_goal,att_pen_goal,dangerous_play,assist_free_kick_won,att_pen_target,att_freekick_goal,goal_fastbreak,accurate_goal_kicks,att_lg_left,att_obxd_right,own_goals,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,second_yellow,att_freekick_post,dive_catch,penalty_save,att_pen_post,att_pen_miss,att_obx_right
108924,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4936,418,489.0,48.0,1.0,542.0,4.0,9.0,72.0,1031.0,1.0,1.0,26.0,24.0,24.0,1.0,21.0,145.0,103.0,13.0,31.0,16.0,4.0,2.0,2.0,1.0,1.0,3.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,3.0,2.0,5.0,1.0,2.0,1.0,4.0,0.0,5.0,1.0,3.0,4.0,5.0,11.0,13.0,1.0,6.0,1.0,31.0,30.0,0.0,2.0,6.0,33.0,2.0,2.0,4.0,2.0,162.0,153.0,2.0,0.0,1.0,28.0,14.0,26.0,7.0,2.0,1.0,17.0,2.0,109.0,118.0,1.0,34.0,11.0,1.0,1.0,60.0,173.0,6.0,33.0,351.0,23.0,2.0,24.0,21.0,3.0,1.0,1.0,1.0,11.0,61.0,2.0,23.0,3.0,23.0,368.0,156.0,108.0,6.0,6.0,2032.0,5.0,12.0,10.0,1183.0,4.0,2.0,81.0,176.0,31.0,3.0,243.0,243.0,17.0,56.0,80.0,2.0,28.0,324.0,1.0,20.0,0.0,39.0,244.0,1016.0,18.0,25.0,17.0,537.0,88.0,34.0,43.0,3.0,3.0,2.0,323.0,3.0,671.0,14.0,9.0,115.0,1205.0,44.0,6.0,1.0,43.0,9.0,2.0,1527.0,23.0,34.0,34.0,17.0,1.0,16.0,35.0,6.0,29.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14984,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13485,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50252,418,66.0,4.0,1.0,212.0,,7.0,3.0,267.0,,5.0,31.0,18.0,20.0,,4.0,65.0,38.0,17.0,6.0,5.0,5.0,2.0,5.0,,2.0,,3.0,1.0,2.0,3.0,,1.0,,1.0,0.0,1.0,4.0,1.0,5.0,0.0,7.0,6.0,19.0,,0.0,4.0,,5.0,,1.0,4.0,,1.0,,6.0,17.0,,0.0,2.0,3.0,,,3.0,1.0,104.0,43.0,3.0,1.0,,13.0,5.0,6.0,2.0,3.0,8.0,18.0,2.0,87.0,48.0,,2.0,0.0,,,32.0,17.0,0.0,8.0,56.0,5.0,1.0,9.0,9.0,,2.0,0.0,2.0,0.0,27.0,2.0,8.0,,8.0,140.0,6.0,3.0,6.0,,681.0,6.0,6.0,9.0,312.0,1.0,4.0,11.0,83.0,43.0,,163.0,163.0,4.0,20.0,19.0,0.0,13.0,19.0,1.0,9.0,1.0,15.0,135.0,260.0,8.0,43.0,12.0,81.0,7.0,2.0,44.0,37.0,11.0,1.0,160.0,4.0,275.0,2.0,8.0,6.0,319.0,23.0,,15.0,8.0,1.0,5.0,549.0,58.0,34.0,34.0,3.0,0.0,12.0,19.0,15.0,5.0,,8.0,11.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,31.0,1.0,1.0,26.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4525,418,154.0,33.0,7.0,374.0,,12.0,27.0,524.0,2.0,3.0,17.0,5.0,19.0,,6.0,108.0,67.0,18.0,25.0,20.0,9.0,3.0,4.0,3.0,3.0,2.0,2.0,,2.0,6.0,,1.0,,,1.0,1.0,3.0,5.0,5.0,,5.0,1.0,2.0,,5.0,2.0,2.0,7.0,2.0,6.0,13.0,,6.0,,23.0,32.0,,,9.0,40.0,2.0,,2.0,1.0,143.0,53.0,2.0,1.0,,19.0,9.0,15.0,,5.0,5.0,20.0,5.0,82.0,63.0,,4.0,2.0,,,43.0,96.0,6.0,8.0,182.0,16.0,5.0,17.0,15.0,2.0,3.0,3.0,2.0,2.0,20.0,,7.0,,7.0,137.0,42.0,30.0,8.0,3.0,1339.0,6.0,19.0,16.0,605.0,1.0,1.0,171.0,53.0,46.0,,202.0,202.0,10.0,14.0,29.0,,19.0,167.0,,18.0,1.0,20.0,211.0,501.0,10.0,42.0,25.0,168.0,55.0,4.0,43.0,18.0,12.0,1.0,279.0,15.0,479.0,2.0,13.0,39.0,629.0,43.0,11.0,3.0,17.0,3.0,3.0,882.0,51.0,35.0,35.0,20.0,1.0,6.0,21.0,6.0,12.0,,1.0,4.0,3.0,,0.0,2.0,1.0,,2.0,3.0,5.0,6.0,3.0,,6.0,4.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14577,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21495,418,125.0,20.0,,258.0,5.0,,11.0,377.0,,95.0,24.0,16.0,20.0,,15.0,173.0,75.0,12.0,7.0,7.0,4.0,6.0,1.0,,1.0,,5.0,,,,,,,,1.0,2.0,3.0,,5.0,1.0,3.0,,12.0,0.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,,,6.0,13.0,2.0,,2.0,5.0,1.0,,,1.0,108.0,77.0,1.0,,4.0,56.0,5.0,13.0,3.0,55.0,12.0,9.0,8.0,86.0,74.0,4.0,38.0,10.0,,,45.0,95.0,2.0,31.0,228.0,18.0,,33.0,29.0,4.0,1.0,1.0,1.0,10.0,36.0,2.0,17.0,1.0,17.0,28.0,98.0,42.0,8.0,5.0,1625.0,3.0,5.0,3.0,525.0,6.0,4.0,263.0,7.0,58.0,2.0,326.0,326.0,6.0,48.0,23.0,2.0,56.0,170.0,,11.0,,19.0,154.0,368.0,18.0,19.0,8.0,180.0,54.0,38.0,18.0,69.0,67.0,,213.0,1.0,423.0,42.0,,75.0,534.0,19.0,4.0,2.0,34.0,1.0,142.0,995.0,26.0,31.0,31.0,16.0,0.0,4.0,8.0,25.0,22.0,3.0,,6.0,6.0,,,,,,1.0,1.0,1.0,3.0,,1.0,2.0,0.0,,,,,,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10487,418,46.0,5.0,2.0,77.0,,6.0,2.0,121.0,,,13.0,6.0,14.0,,4.0,48.0,26.0,9.0,2.0,8.0,6.0,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,2.0,2.0,2.0,,3.0,2.0,2.0,,,,,2.0,,1.0,,,1.0,,2.0,11.0,,,2.0,8.0,,,2.0,1.0,37.0,21.0,1.0,2.0,1.0,14.0,3.0,13.0,,3.0,,12.0,4.0,50.0,27.0,1.0,4.0,2.0,,,22.0,17.0,1.0,6.0,45.0,6.0,2.0,12.0,11.0,1.0,3.0,2.0,2.0,2.0,9.0,,2.0,,2.0,37.0,8.0,6.0,6.0,1.0,442.0,1.0,10.0,6.0,147.0,1.0,,18.0,34.0,11.0,3.0,67.0,67.0,3.0,5.0,13.0,,14.0,31.0,1.0,2.0,,6.0,38.0,118.0,10.0,18.0,11.0,49.0,9.0,4.0,16.0,3.0,3.0,1.0,56.0,2.0,104.0,2.0,6.0,6.0,150.0,11.0,5.0,8.0,4.0,1.0,1.0,260.0,19.0,16.0,16.0,7.0,0.0,4.0,10.0,3.0,2.0,,,2.0,2.0,,,,,,,1.0,2.0,,2.0,,,,,,0.0,,1.0,,,,2.0,,,1.0,0.0,,,,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16642,418,261.0,19.0,1.0,450.0,4.0,3.0,19.0,706.0,,205.0,27.0,15.0,25.0,,10.0,198.0,109.0,11.0,8.0,17.0,2.0,,9.0,,1.0,2.0,2.0,2.0,,,,,,,,,4.0,,3.0,,4.0,0.0,5.0,,1.0,,4.0,3.0,2.0,1.0,7.0,,0.0,,8.0,17.0,,,4.0,14.0,,2.0,1.0,1.0,208.0,155.0,2.0,,12.0,60.0,5.0,24.0,6.0,20.0,12.0,27.0,3.0,125.0,136.0,12.0,52.0,22.0,,1.0,57.0,100.0,3.0,23.0,327.0,25.0,,18.0,15.0,3.0,1.0,1.0,1.0,22.0,28.0,,21.0,2.0,21.0,339.0,100.0,50.0,10.0,20.0,2137.0,5.0,13.0,4.0,909.0,4.0,9.0,8.0,344.0,39.0,5.0,365.0,365.0,11.0,89.0,55.0,,60.0,38.0,2.0,10.0,,28.0,241.0,703.0,19.0,52.0,18.0,342.0,72.0,52.0,64.0,32.0,32.0,2.0,317.0,2.0,602.0,46.0,3.0,89.0,912.0,19.0,6.0,,58.0,1.0,220.0,1581.0,54.0,51.0,51.0,24.0,0.0,12.0,39.0,7.0,39.0,1.0,,5.0,5.0,,,,,,,,1.0,,,1.0,,4.0,1.0,,,,,,,,,,,,5.0,,,,2.0,3.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
